event_reference_cycle,xy_region,n_roi,n_event,event_fraction,event_enriched_mode_fraction,front_proxy_mode_fraction,mean_mode_review_priority,mean_cycle,mean_x,mean_y,mean_V,mean_I_mA,top_modes,top_roi_ids
156.0,x2_y3,5,3,0.6,0.8,0.0,2.6846153846153844,156.6,1218.3663103204522,1028.6999866033138,,,optical_brightening_decorrelating_rollout_hard_front_positive;optical_loss_rollout_hard,cycle156_rank7_obj27;cycle157_rank2_obj2;cycle156_rank2_obj2;cycle158_rank2_obj1;cycle156_rank8_obj10
60.0,x1_y2,3,1,0.3333333333333333,0.6666666666666666,0.0,3.2980769230769234,60.0,800.3692553312807,322.57269928156006,3.826937776082236,0.013633471780193399,optical_brightening_decorrelating_rollout_hard_front_positive;near_baseline_or_context_like,cycle60_rank3_obj9;cycle62_rank3_obj9;cycle58_rank3_obj9
60.0,x2_y3,4,2,0.5,0.5,0.0,2.9519230769230766,60.0,1206.2750949667616,937.085641364808,3.8276964797239206,0.015636174610086127,optical_brightening_decorrelating_rollout_hard_front_positive;near_baseline_or_context_like,cycle60_rank6_obj26;cycle60_rank2_obj2;cycle58_rank6_obj29;cycle62_rank1_obj4
60.0,x1_y1,3,1,0.3333333333333333,0.3333333333333333,0.0,2.9647435897435894,60.0,567.7115927072583,170.88723770209842,3.826937776082236,0.013633471780193399,optical_brightening_decorrelating_rollout_hard_front_positive;optical_loss_rollout_hard;near_baseline_or_context_like,cycle60_rank4_obj5;cycle62_rank4_obj1;cycle58_rank4_obj2
156.0,x1_y2,3,1,0.3333333333333333,0.3333333333333333,0.0,2.5705128205128207,157.0,659.3734964040755,230.5257738959756,,,optical_brightening_decorrelating_rollout_hard_front_positive;optical_loss_rollout_hard;near_baseline_or_context_like,cycle156_rank5_obj4;cycle157_rank4_obj8;cycle158_rank4_obj8
60.0,x3_y1,4,2,0.5,0.25,0.5,2.512019230769231,60.0,1410.689394468095,117.96336683183287,3.82769647972392,0.015636174610086127,front_negative_high_apparent_front_proxy;optical_brightening_decorrelating_rollout_hard_front_positive;near_baseline_or_context_like,cycle60_rank5_obj18;cycle62_rank2_obj2;cycle60_rank1_obj1;cycle58_rank1_obj1
116.0,x2_y3,4,3,0.75,0.25,0.25,1.002403846153846,116.5,1224.4040843214757,1063.400329380764,3.904752833782746,0.00957282581064225,near_baseline_or_context_like;optical_brightening_decorrelating_rollout_hard_front_positive;front_negative_high_apparent_front_proxy,cycle116_rank7_obj37;cycle116_rank1_obj6;cycle116_rank5_obj43;cycle118_rank1_obj7
86.0,x1_y2,5,2,0.4,0.2,0.0,1.476923076923077,88.0,711.0973896543189,319.51717597557956,3.8257272573159504,0.01548151733316586,near_baseline_or_context_like;optical_brightening_decorrelating_rollout_hard_front_positive,cycle86_rank4_obj9;cycle86_rank6_obj78;cycle88_rank5_obj9;cycle90_rank6_obj3;cycle90_rank5_obj10
156.0,x3_y1,6,2,0.3333333333333333,0.0,0.16666666666666666,2.405448717948718,157.0,1507.9347971544014,136.98580088785278,,,near_baseline_or_context_like;optical_loss_rollout_hard;front_negative_high_apparent_front_proxy,cycle156_rank1_obj1;cycle156_rank6_obj3;cycle157_rank1_obj1;cycle158_rank6_obj3;cycle157_rank6_obj3
86.0,x3_y1,3,1,0.3333333333333333,0.0,0.6666666666666666,1.4326923076923077,88.0,1335.5100811709697,171.6413259448661,3.8266394652668994,0.017494037629215198,front_negative_high_apparent_front_proxy;near_baseline_or_context_like,cycle88_rank2_obj4;cycle86_rank2_obj6;cycle90_rank3_obj4
86.0,x3_y2,3,1,0.3333333333333333,0.0,0.6666666666666666,1.3974358974358971,88.0,1660.6592968556376,189.77850323026914,3.8266394652668994,0.017494037629215198,front_negative_high_apparent_front_proxy;near_baseline_or_context_like,cycle86_rank5_obj8;cycle88_rank4_obj8;cycle90_rank4_obj6
86.0,x2_y3,2,1,0.5,0.0,0.5,1.4230769230769231,87.0,1183.6017176596888,1084.4224369296833,3.8264180586229806,0.0155214110542322,near_baseline_or_context_like;front_negative_high_apparent_front_proxy,cycle86_rank3_obj5;cycle88_rank3_obj6
116.0,x1_y2,2,0,0.0,0.0,0.0,0.9326923076923077,118.0,703.1212121212121,305.93939393939394,3.907195405317094,0.0171682831328283,near_baseline_or_context_like,cycle118_rank4_obj1;cycle118_rank3_obj9
116.0,x3_y1,2,1,0.5,0.0,0.0,0.7884615384615383,117.0,1349.3630870953032,177.69733242134063,3.9055670242941956,0.0121046449180376,near_baseline_or_context_like,cycle116_rank2_obj2;cycle118_rank2_obj2
86.0,x1_y3,1,1,1.0,0.0,0.0,2.3076923076923075,86.0,116.0,1002.9019607843136,3.821635612224316,0.0034861829990025,near_baseline_or_context_like,cycle86_rank8_obj17
116.0,x1_y3,1,1,1.0,0.0,1.0,0.5,116.0,88.47058823529412,1086.1176470588234,3.903938643271297,0.0070410067032469,front_negative_high_apparent_front_proxy,cycle116_rank8_obj20
116.0,x2_y2,1,1,1.0,0.0,0.0,0.8076923076923077,116.0,820.927536231884,380.1159420289855,3.903938643271297,0.0070410067032469,near_baseline_or_context_like,cycle116_rank3_obj9
