review_rank,roi_id,cycleNo,source_stem,future16_label,source_heldout_future16_probability,review_priority_score,review_tier,review_reason,manual_qc_status,dictionary_recon_error_last_minus_first_source_residual,masked_minus_background_mean_slope_source_residual,front_radius_q80_slope_source_residual,front_radius_q60_slope_source_residual,apparent_diffusion_q70_source_residual,preview_png,npz_path,manual_qc_instruction
1,source_balanced_cycle108_rank6_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,1.0,0.7807031853187688,0.9167457997223765,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,4.344563785707578e-05,0.008253829261484826,0.5203608247422682,,0.2734206680412371,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj2_12_c2_x10_070723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
2,source_balanced_cycle132_rank14_obj2_15_c2_x5_HighCOV_120723,132.0,15_c2_x5_HighCOV_120723,0.0,0.827843216513223,0.9043524987340887,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,5.659773584435849e-05,0.005485163523921217,-0.5714132302405501,-0.9791666666666672,-0.6174482474226802,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle132_rank14_obj2_15_c2_x5_HighCOV_120723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
3,source_balanced_cycle145_rank20_obj2_16_c2_x10_HighHighCOV_130723,145.0,16_c2_x10_HighHighCOV_130723,1.0,0.5848283996386839,0.8869398630297416,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;front_motion_check,pending,2.000837503146613e-05,0.0109238102918097,-0.8554553264604817,-1.098950662739323,-0.039916206185566884,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle145_rank20_obj2_16_c2_x10_HighHighCOV_130723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
4,source_balanced_cycle132_rank14_obj1_15_c2_x5_HighCOV_120723,132.0,15_c2_x5_HighCOV_120723,0.0,0.7734800046951336,0.8779103559866079,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;front_motion_check,pending,4.425487410723387e-05,0.0022400830915563167,0.8448238831615124,0.5298539518900347,-0.028764371134020417,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle132_rank14_obj1_15_c2_x5_HighCOV_120723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
5,source_balanced_cycle108_rank6_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,1.0,0.746594817461111,0.8746646653349268,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,3.70393245248124e-05,0.005614486319545826,,0.09568298969072186,-0.0483792494845362,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj1_12_c2_x10_070723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
6,source_balanced_cycle145_rank20_obj1_16_c2_x10_HighHighCOV_130723,145.0,16_c2_x10_HighHighCOV_130723,1.0,0.591659444861837,0.8529090590985876,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,2.164297711715335e-05,0.013681467283473902,0.18191580756013756,0.21548232695139888,0.1712679587628867,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle145_rank20_obj1_16_c2_x10_HighHighCOV_130723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
7,source_balanced_cycle144_rank19_obj2_16_c2_x10_HighHighCOV_130723,144.0,16_c2_x10_HighHighCOV_130723,1.0,0.5838228548511272,0.8484840549138764,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.9768432139244396e-05,0.011277614089962801,,0.31213181148748137,0.09221938144329911,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle144_rank19_obj2_16_c2_x10_HighHighCOV_130723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
8,source_balanced_cycle144_rank19_obj1_16_c2_x10_HighHighCOV_130723,144.0,16_c2_x10_HighHighCOV_130723,1.0,0.5861796439711012,0.8402995158327432,immediate_manual_qc,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,2.0331074665591586e-05,0.011329465894359802,0.1864261168384881,0.1626472754050076,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle144_rank19_obj1_16_c2_x10_HighHighCOV_130723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
9,source_balanced_cycle151_rank22_obj2_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,1.0,0.6049787154782088,0.7972430176093682,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,2.0482879335759208e-05,0.0046388932211321,-0.06357388316151197,-0.7798539518900349,-0.2389113402061858,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle151_rank22_obj2_17_c2_x10_HighHighCOV_150723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
10,source_balanced_cycle72_rank43_obj2_8_c2_x10_300623,72.0,8_c2_x10_300623,1.0,0.5516188415740697,0.769458770846966,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.780856473487802e-05,0.002946992131422887,-0.46327319587628896,,-0.49468701030927836,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle72_rank43_obj2_8_c2_x10_300623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
