n_eval,n_positive,n_covered,n_covered_positive,coverage,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,n_sources,n_sources_with_hits,n_sources_with_positive_hits,min_source_precision_with_hits,median_source_precision_with_hits,rule_name,n_terms,terms,features,directions,quantile,max_feature_source_eta2,priority_score
72,57,27,24,0.375,0.8888888888888888,0.42105263157894735,0.7916666666666666,1.1228070175438596,0.6105263157894737,0.0991806098307005,9,7,6,0.0,1.0,particle_std_diff_positive_fraction,1,low(particle_std_diff_positive_fraction),particle_std_diff_positive_fraction,low,0.75,0.18373913668031286,3.7108534513439237
72,57,21,19,0.2916666666666667,0.9047619047619048,0.3333333333333333,0.7916666666666666,1.142857142857143,0.6,0.11281291672457265,9,6,5,0.0,1.0,particle_vs_context_mean_diff_positive_fraction,1,low(particle_vs_context_mean_diff_positive_fraction),particle_vs_context_mean_diff_positive_fraction,low,0.75,0.390125035521455,2.6257976625474537
72,57,18,18,0.25,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,9,4,4,1.0,1.0,shape_V_q10,1,low(shape_V_q10),shape_V_q10,low,0.75,0.19636453528031728,2.2649064675915223
72,57,18,18,0.25,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,9,4,4,1.0,1.0,shape_dVdt_slope,1,low(shape_dVdt_slope),shape_dVdt_slope,low,0.75,0.315949586030444,2.193698551537668
72,57,18,18,0.25,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,9,4,4,1.0,1.0,shape_V_q10__AND__shape_dVdt_slope,2,low(shape_V_q10) AND low(shape_dVdt_slope),shape_V_q10;shape_dVdt_slope,low;low,0.75,0.315949586030444,2.193698551537668
72,57,13,12,0.18055555555555555,0.9230769230769231,0.21052631578947367,0.7916666666666666,1.1659919028340082,0.5719298245614035,0.1841495629975342,9,6,5,0.0,1.0,particle_vs_context_mean_diff_positive_fraction__AND__particle_std_diff_positive_fraction,2,low(particle_vs_context_mean_diff_positive_fraction) AND low(particle_std_diff_positive_fraction),particle_vs_context_mean_diff_positive_fraction;particle_std_diff_positive_fraction,low;low,0.75,0.390125035521455,2.1077877380471484
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,shape_V_q05,1,low(shape_V_q05),shape_V_q05,low,0.75,0.14248911926330604,2.096852687565912
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,neg_dq_abs_total_mAh,1,low(neg_dq_abs_total_mAh),neg_dq_abs_total_mAh,low,0.75,0.5067365273647748,1.8988563162710057
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,shape_charge_mAh_neg_abs,1,low(shape_charge_mAh_neg_abs),shape_charge_mAh_neg_abs,low,0.75,0.5193325844201949,1.8920093942775293
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,shape_charge_mAh_neg_abs__AND__neg_dq_abs_total_mAh,2,low(shape_charge_mAh_neg_abs) AND low(neg_dq_abs_total_mAh),shape_charge_mAh_neg_abs;neg_dq_abs_total_mAh,low;low,0.75,0.5193325844201949,1.8920093942775293
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,capacity_fraction_of_first,1,low(capacity_fraction_of_first),capacity_fraction_of_first,low,0.75,0.5193993446290935,1.8919731049894937
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,2,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs),capacity_fraction_of_first;shape_charge_mAh_neg_abs,low;low,0.75,0.5193993446290935,1.8919731049894937
72,57,15,15,0.20833333333333334,1.0,0.2631578947368421,0.7916666666666666,1.2631578947368423,0.631578947368421,0.019090314866562028,9,4,4,1.0,1.0,capacity_fraction_of_first__AND__neg_dq_abs_total_mAh,2,low(capacity_fraction_of_first) AND low(neg_dq_abs_total_mAh),capacity_fraction_of_first;neg_dq_abs_total_mAh,low;low,0.75,0.5193993446290935,1.8919731049894937
72,57,21,18,0.2916666666666667,0.8571428571428571,0.3157894736842105,0.7916666666666666,1.0827067669172932,0.5578947368421053,0.2955480156712237,9,4,4,0.5,1.0,threshold_robust_diffusion_score,1,high(threshold_robust_diffusion_score),threshold_robust_diffusion_score,high,0.75,0.6386625776049069,1.8530626375234
