n_eval,n_positive,n_covered,n_covered_positive,coverage,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,heldout_source,n_cycles,rule_name,terms
30,30,3,3,0.1,1.0,0.1,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,neg_dq_abs_total_mAh,low(neg_dq_abs_total_mAh)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,neg_dq_abs_total_mAh,low(neg_dq_abs_total_mAh)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,neg_dq_abs_total_mAh,low(neg_dq_abs_total_mAh)
9,9,3,3,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,1.0,9_c2_x10_010723,3,neg_dq_abs_total_mAh,low(neg_dq_abs_total_mAh)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
6,6,6,6,1.0,1.0,1.0,1.0,1.0,,1.0,12_c2_x10_070723,2,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
30,30,3,3,0.1,1.0,0.1,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
9,9,0,0,0.0,,0.0,1.0,,,1.0,9_c2_x10_010723,3,shape_charge_mAh_abs,low(shape_charge_mAh_abs)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
6,6,6,6,1.0,1.0,1.0,1.0,1.0,,1.0,12_c2_x10_070723,2,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
30,30,0,0,0.0,,0.0,1.0,,,1.0,17_c2_x10_HighHighCOV_150723,10,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
9,9,9,9,1.0,1.0,1.0,1.0,1.0,,1.0,9_c2_x10_010723,3,pos_dq_abs_total_mAh,low(pos_dq_abs_total_mAh)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,shape_V_q10,low(shape_V_q10)
6,6,3,3,0.5,1.0,0.5,1.0,1.0,,1.0,12_c2_x10_070723,2,shape_V_q10,low(shape_V_q10)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,shape_V_q10,low(shape_V_q10)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,shape_V_q10,low(shape_V_q10)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,shape_V_q10,low(shape_V_q10)
30,30,0,0,0.0,,0.0,1.0,,,1.0,17_c2_x10_HighHighCOV_150723,10,shape_V_q10,low(shape_V_q10)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,shape_V_q10,low(shape_V_q10)
6,3,3,3,0.5,1.0,1.0,0.5,2.0,,0.05000000000000001,5_c2_x10_260623,2,shape_V_q10,low(shape_V_q10)
9,9,9,9,1.0,1.0,1.0,1.0,1.0,,1.0,9_c2_x10_010723,3,shape_V_q10,low(shape_V_q10)
3,3,0,0,0.0,,0.0,1.0,,,1.0,11_c2_x10_050723,1,shape_V_q05,low(shape_V_q05)
6,6,3,3,0.5,1.0,0.5,1.0,1.0,,1.0,12_c2_x10_070723,2,shape_V_q05,low(shape_V_q05)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,shape_V_q05,low(shape_V_q05)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,shape_V_q05,low(shape_V_q05)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,shape_V_q05,low(shape_V_q05)
30,30,6,6,0.2,1.0,0.2,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,shape_V_q05,low(shape_V_q05)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,shape_V_q05,low(shape_V_q05)
6,3,3,3,0.5,1.0,1.0,0.5,2.0,,0.05000000000000001,5_c2_x10_260623,2,shape_V_q05,low(shape_V_q05)
9,9,3,3,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,1.0,9_c2_x10_010723,3,shape_V_q05,low(shape_V_q05)
3,3,0,0,0.0,,0.0,1.0,,,1.0,11_c2_x10_050723,1,cycle_state_pc3,high(cycle_state_pc3)
6,6,0,0,0.0,,0.0,1.0,,,1.0,12_c2_x10_070723,2,cycle_state_pc3,high(cycle_state_pc3)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,cycle_state_pc3,high(cycle_state_pc3)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,cycle_state_pc3,high(cycle_state_pc3)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,cycle_state_pc3,high(cycle_state_pc3)
30,30,21,21,0.7,1.0,0.7,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,cycle_state_pc3,high(cycle_state_pc3)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,cycle_state_pc3,high(cycle_state_pc3)
6,3,3,3,0.5,1.0,1.0,0.5,2.0,,0.05000000000000001,5_c2_x10_260623,2,cycle_state_pc3,high(cycle_state_pc3)
9,9,0,0,0.0,,0.0,1.0,,,1.0,9_c2_x10_010723,3,cycle_state_pc3,high(cycle_state_pc3)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
6,6,6,6,1.0,1.0,1.0,1.0,1.0,,1.0,12_c2_x10_070723,2,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
30,30,0,0,0.0,,0.0,1.0,,,1.0,17_c2_x10_HighHighCOV_150723,10,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
9,9,9,9,1.0,1.0,1.0,1.0,1.0,,1.0,9_c2_x10_010723,3,neg_dq_abs_highV_frac,low(neg_dq_abs_highV_frac)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
6,6,0,0,0.0,,0.0,1.0,,,1.0,12_c2_x10_070723,2,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
9,6,6,3,0.6666666666666666,0.5,0.5,0.6666666666666666,0.75,0.25,1.0,16_c2_x10_HighHighCOV_130723,3,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
30,30,9,9,0.3,1.0,0.3,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
9,9,3,3,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,1.0,9_c2_x10_010723,3,threshold_robust_diffusion_score,high(threshold_robust_diffusion_score)
3,3,2,2,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,,1.0,11_c2_x10_050723,1,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
6,6,3,3,0.5,1.0,0.5,1.0,1.0,,1.0,12_c2_x10_070723,2,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
9,6,1,1,0.1111111111111111,1.0,0.16666666666666666,0.6666666666666666,1.5,0.5833333333333334,0.6666666666666666,16_c2_x10_HighHighCOV_130723,3,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
30,30,10,10,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
6,3,2,0,0.3333333333333333,0.0,0.0,0.5,0.0,,1.0,5_c2_x10_260623,2,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
9,9,3,3,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,1.0,9_c2_x10_010723,3,particle_vs_context_mean_diff_positive_fraction,low(particle_vs_context_mean_diff_positive_fraction)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,shape_dVdt_slope,low(shape_dVdt_slope)
6,6,3,3,0.5,1.0,0.5,1.0,1.0,,1.0,12_c2_x10_070723,2,shape_dVdt_slope,low(shape_dVdt_slope)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,shape_dVdt_slope,low(shape_dVdt_slope)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,shape_dVdt_slope,low(shape_dVdt_slope)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,shape_dVdt_slope,low(shape_dVdt_slope)
30,30,0,0,0.0,,0.0,1.0,,,1.0,17_c2_x10_HighHighCOV_150723,10,shape_dVdt_slope,low(shape_dVdt_slope)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,shape_dVdt_slope,low(shape_dVdt_slope)
6,3,3,3,0.5,1.0,1.0,0.5,2.0,,0.05000000000000001,5_c2_x10_260623,2,shape_dVdt_slope,low(shape_dVdt_slope)
