pre_event_review_rank,roi_id,event_relative_bin,radial_kymograph_png
1,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/01_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
2,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/02_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
3,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/03_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
4,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/04_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
5,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/05_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
6,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/06_source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
7,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/07_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_radial_kymograph.png
8,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/08_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
9,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/09_source_balanced_cycle80_rank62_obj1_9_c2_x10_010723_radial_kymograph.png
10,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/10_source_balanced_cycle84_rank64_obj1_9_c2_x10_010723_radial_kymograph.png
11,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/11_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_radial_kymograph.png
12,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/12_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_radial_kymograph.png
13,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/13_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_radial_kymograph.png
14,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,far_pre_event_17_32,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/14_source_balanced_cycle38_rank42_obj2_5_c2_x10_260623_radial_kymograph.png
15,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/15_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_radial_kymograph.png
16,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/16_source_balanced_cycle82_rank63_obj1_9_c2_x10_010723_radial_kymograph.png
17,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/17_source_balanced_cycle112_rank13_obj2_12_c2_x10_070723_radial_kymograph.png
18,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/18_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_radial_kymograph.png
19,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/19_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_radial_kymograph.png
20,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/20_source_balanced_cycle108_rank11_obj1_12_c2_x10_070723_radial_kymograph.png
21,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,far_pre_event_17_32,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/21_source_balanced_cycle40_rank43_obj2_5_c2_x10_260623_radial_kymograph.png
22,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/22_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_radial_kymograph.png
23,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/23_source_balanced_cycle58_rank52_obj1_7_c2_x10_290623_radial_kymograph.png
24,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/24_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_radial_kymograph.png
25,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/25_source_balanced_cycle112_rank13_obj1_12_c2_x10_070723_radial_kymograph.png
26,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/26_source_balanced_cycle56_rank51_obj1_7_c2_x10_290623_radial_kymograph.png
27,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/27_source_balanced_cycle78_rank61_obj1_9_c2_x10_010723_radial_kymograph.png
28,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,near_pre_event_1_8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/28_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_radial_kymograph.png
29,source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,post_event_1_16,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/29_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_radial_kymograph.png
30,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,far_pre_event_17_32,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_radial_kymograph_audit/kymograph_pngs/30_source_balanced_cycle42_rank44_obj2_5_c2_x10_260623_radial_kymograph.png
