roi_id,cycleNo,frame_index,frame_local_index,candidate_area_px,accepted_area_px,candidate_area_fraction_of_prior,accepted_area_fraction_of_prior,candidate_components,candidate_largest_component_fraction,accepted_components,accepted_largest_component_fraction,candidate_centroid_x,candidate_centroid_y,accepted_centroid_x,accepted_centroid_y,candidate_centroid_jump_from_history_px,fallback_used,fallback_reason,low_area_flag,high_area_flag,fragmented_flag,centroid_jump_flag
cycle40_rank2_obj3,40.0,4639,0,1335.0,1335.0,0.27737377934760027,0.27737377934760027,1,1.0,1,1.0,52.63370786516854,34.75805243445693,52.63370786516854,34.75805243445693,13.737255337509831,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4648,1,1425.0,1425.0,0.2960731352586744,0.2960731352586744,1,1.0,1,1.0,52.99298245614035,33.9859649122807,52.99298245614035,33.9859649122807,0.8515852121885353,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4658,2,2014.0,2014.0,0.4184500311655932,0.4184500311655932,1,1.0,1,1.0,62.20059582919563,37.70605759682224,62.20059582919563,37.70605759682224,9.961744693476527,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4668,3,1422.0,1422.0,0.29544982339497194,0.29544982339497194,1,1.0,1,1.0,52.958509142053444,33.88959212376934,52.958509142053444,33.88959212376934,0.8691442461546398,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4678,4,1337.0,1337.0,0.27778932059006856,0.27778932059006856,1,1.0,1,1.0,52.58115183246073,34.94091249065071,52.58115183246073,34.94091249065071,0.6923553652739178,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4687,5,1333.0,1333.0,0.2769582381051319,0.2769582381051319,1,1.0,1,1.0,52.58589647411853,34.78994748687172,52.58589647411853,34.78994748687172,0.3739752594412075,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4697,6,1440.0,1440.0,0.2991896945771868,0.2991896945771868,1,1.0,1,1.0,52.97361111111111,34.07361111111111,52.97361111111111,34.07361111111111,0.7225314638462569,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4707,7,1343.0,1343.0,0.2790359443174735,0.2790359443174735,1,1.0,1,1.0,52.62323157110946,34.87862993298585,52.62323157110946,34.87862993298585,0.35630041079065955,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4717,8,1426.0,1426.0,0.2962809058799086,0.2962809058799086,1,1.0,1,1.0,52.983870967741936,33.94950911640954,52.983870967741936,33.94950911640954,0.8456003164595545,0,,0,0,0,0
cycle40_rank2_obj3,40.0,4726,9,1433.0,1433.0,0.29773530022854766,0.29773530022854766,1,1.0,1,1.0,53.00976971388695,33.908583391486395,53.00976971388695,33.908583391486395,0.52501855743616,0,,0,0,0,0
