roi_id,cycleNo,cohort_role,event_reference_cycle,n_frames,height,width,stage_drift_xy_sampled,validation_score,validation_label,prior_area_px,prior_area_fraction,fallback_frame_fraction,low_area_fraction,high_area_fraction,fragmented_fraction,centroid_jump_fraction,candidate_area_cv,accepted_area_cv,accepted_area_fraction_median,accepted_area_fraction_iqr,accepted_centroid_path_px,accepted_centroid_max_step_px,candidate_centroid_max_jump_px,mask_instability_score,front_quality_score,front_radius_slope_r2,apparent_diffusion_proxy_ds_px2_per_frame,high_fraction_slope_per_s,first_last_corr,cumulative_abs_first_last,evidence_score,mean_drop_frac,mae_max_low_rank_dmd,mae_max_persistence,mae_max_velocity,mae_mean_low_rank_dmd,mae_mean_persistence,mae_mean_velocity,q90_undercoverage_rate_low_rank_dmd,q90_undercoverage_rate_persistence,q90_undercoverage_rate_velocity
cycle40_rank2_obj3,40.0,,,96,96,96,0.2500000000000227,26.16938597041552,balanced_future_roi_candidate,4813.0,0.5222439236111112,0.0,0.0,0.0,0.0,0.0,0.1370642948275149,0.1370642948275149,0.2935798878038645,0.029970912113027215,152.3476237524968,10.801269519877943,13.737255337509831,1.724018708916023,,,,,,,,,,,,,,,,,
cycle40_rank2_obj1,40.0,,,96,96,96,0.2500000000000227,25.31408396943277,balanced_future_roi_candidate,4559.0,0.4946831597222222,0.0,0.0,0.0,0.0,0.0,0.030076810228716794,0.030076810228716794,0.3264970388243036,0.006909409958324175,83.09724145409211,2.975257521187446,11.08001168489786,0.8956730753755097,,,,,,,,,,,,,,,,,
cycle40_rank2_obj2,40.0,,,96,96,96,0.2500000000000227,24.798367448484505,balanced_future_roi_candidate,4954.0,0.5375434027777778,0.0,0.0,0.0,0.0,0.0,0.05725094163061428,0.05725094163061428,0.3787848203471942,0.025686314089624573,133.51308672931458,5.4550960953455245,10.132058228501254,1.4480122617276412,,,,,,,,,,,,,,,,,
cycle44_rank4_obj1,44.0,,,96,96,96,0.2915475947422533,27.21840723515396,balanced_future_roi_candidate,5157.0,0.5595703125,0.0,0.0,0.0,0.0,0.0,0.0712084801802498,0.0712084801802498,0.26207097149505526,0.01963350785340312,148.71873013996472,10.304850328837418,15.435317815952345,1.6203619191382155,,,,,,,,,,,,,,,,,
cycle44_rank4_obj3,44.0,,,96,96,96,0.2915475947422533,26.52636345001568,balanced_future_roi_candidate,3631.0,0.3939887152777778,0.0,0.0,0.0,0.0,0.0,0.033414480637286054,0.033414480637286054,0.22142660424125588,0.010740842743045986,55.59766469389464,4.797392206145078,10.034910116436428,0.6125568211986886,,,,,,,,,,,,,,,,,
cycle44_rank4_obj2,44.0,,,96,96,96,0.2915475947422533,24.701245784994107,balanced_future_roi_candidate,5069.0,0.5500217013888888,0.0,0.0,0.0,0.0,0.0,0.15516847736296108,0.15516847736296108,0.42927599131978694,0.0687019135924245,404.5012729074832,13.749690201107672,14.07426218955516,2.155168477362961,,,,,,,,,,,,,,,,,
cycle76_rank8_obj1,76.0,,,96,96,96,0.2500000000000227,26.288093847288607,balanced_future_roi_candidate,5398.0,0.5857204861111112,0.0,0.0,0.0,0.0,0.0,0.09774756095768879,0.09774756095768879,0.37124861059651726,0.04821230085216749,386.979497645456,13.841054237794603,11.255167712885086,2.0977475609576888,,,,,,,,,,,,,,,,,
cycle76_rank8_obj3,76.0,,,96,96,96,0.2500000000000227,25.981851806001654,balanced_future_roi_candidate,3526.0,0.3825954861111111,0.0,0.0,0.0,0.0,0.0,0.043296665634553526,0.043296665634553526,0.3201928530913216,0.015527509926262006,88.39762586616084,3.264512546780738,10.295794712047488,0.9641052684070622,,,,,,,,,,,,,,,,,
cycle76_rank8_obj2,76.0,,,96,96,96,0.2500000000000227,25.083032624261563,balanced_future_roi_candidate,2536.0,0.2751736111111111,0.0,0.0,0.0,0.0,0.0,0.007049337843759689,0.007049337843759689,0.4388801261829653,0.005126182965299653,11.440167072248697,0.37023388603314566,10.94481387972177,0.12621774484635026,,,,,,,,,,,,,,,,,
cycle78_rank22_obj1,78.0,,,96,96,96,0.25,24.74683509607009,balanced_future_roi_candidate,5574.0,0.6048177083333334,0.0,0.0,0.0,0.0,0.0,0.046404435199836905,0.046404435199836905,0.41585934696806603,0.029512020093290292,92.93034696717794,3.7222531498736218,12.472763884409623,1.014428882774607,,,,,,,,,,,,,,,,,
cycle78_rank22_obj2,78.0,,,96,96,96,0.25,24.49773808606248,balanced_future_roi_candidate,2634.0,0.2858072916666667,0.0,0.0,0.0,0.0,0.0,0.012064059731407445,0.012064059731407445,0.4286256643887623,0.006833712984054663,18.71927826399596,0.9115966319284428,9.928027312352178,0.20705654164803203,,,,,,,,,,,,,,,,,
cycle78_rank22_obj3,78.0,,,96,96,96,0.25,24.263112458779265,balanced_future_roi_candidate,4922.0,0.5340711805555556,0.0,0.0,0.0,0.0,0.0,0.023112215199698707,0.023112215199698707,0.35026412027631043,0.011275904104022794,44.74264050880348,1.869123164920179,5.854750321890617,0.48918138716640164,,,,,,,,,,,,,,,,,
cycle84_rank23_obj3,84.0,,,96,96,96,0.2915475947422533,24.81387714907142,balanced_future_roi_candidate,5173.0,0.5613064236111112,0.0,0.0,0.0,0.0,0.0,0.07012248602016938,0.07012248602016938,0.32389329209356277,0.03672917069398807,216.85667821495588,6.442420825258301,12.247814625658044,2.0701224860201695,,,,,,,,,,,,,,,,,
cycle84_rank23_obj2,84.0,,,96,96,96,0.2915475947422533,24.753681477229097,balanced_future_roi_candidate,4121.0,0.4471571180555556,0.0,0.0,0.0,0.0,0.0,0.009860895610654294,0.009860895610654294,0.2800291191458384,0.0041252123271050545,15.726746164343558,0.4783180125621084,10.08644034925668,0.17368116815589968,,,,,,,,,,,,,,,,,
cycle84_rank23_obj1,84.0,,,96,96,96,0.2915475947422533,24.70841394342318,balanced_future_roi_candidate,4985.0,0.5409071180555556,0.0,0.0,0.0,0.0,0.0,0.04496732206170958,0.04496732206170958,0.37321965897693077,0.024974924774323004,154.57133625493873,4.439087887686701,7.846039804731682,1.6550854080506545,,,,,,,,,,,,,,,,,
cycle104_rank6_obj3,104.0,,,96,96,96,0.2500000000000227,26.27643821059555,balanced_future_roi_candidate,6643.0,0.7208116319444444,0.0,0.0,0.0,0.0,0.0,0.046709542649739255,0.046709542649739255,0.38935721812434143,0.008994430227307004,118.9633627676612,7.565583749344944,18.83407996985432,1.2859112381462101,,,,,,,,,,,,,,,,,
cycle104_rank6_obj2,104.0,,,96,96,96,0.2500000000000227,26.016309967505705,balanced_future_roi_candidate,4162.0,0.4516059027777778,1.0,0.9895833333333334,0.0,0.0,0.7916666666666666,0.3057493977012369,0.0,1.0,0.0,0.0,0.0,34.66124406240754,1.9895833333333335,,,,,,,,,,,,,,,,,
cycle104_rank6_obj1,104.0,,,96,96,96,0.2500000000000227,25.17135094255524,balanced_future_roi_candidate,5257.0,0.5704210069444444,0.0,0.0,0.0,0.0,0.0,0.0996648654376196,0.0996648654376196,0.29788852957960815,0.011841354384629965,197.99419137848574,14.696789357150397,14.639621333594874,2.0996648654376195,,,,,,,,,,,,,,,,,
cycle108_rank21_obj3,108.0,,,96,96,96,0.2236067977498773,24.6156452256459,balanced_future_roi_candidate,4283.0,0.4647352430555556,0.0,0.0,0.0,0.0,0.0,0.3011002999320663,0.3011002999320663,0.30971281811814144,0.16407891664720994,208.97033231932835,30.730667648568865,17.013112357012965,2.301100299932066,,,,,,,,,,,,,,,,,
cycle108_rank21_obj1,108.0,,,96,96,96,0.2236067977498773,24.57545572680972,balanced_future_roi_candidate,4850.0,0.5262586805555556,0.0,0.0,0.0,0.0,0.0,0.013197214014055022,0.013197214014055022,0.34608247422680416,0.007061855670103145,37.87470458475352,1.0788241546682444,7.488596094221444,0.40772538677190423,,,,,,,,,,,,,,,,,
cycle108_rank21_obj2,108.0,,,96,96,96,0.2236067977498773,24.25594937175352,balanced_future_roi_candidate,5181.0,0.5621744791666666,0.0,0.0,0.0,0.0,0.0,0.032323521537524255,0.032323521537524255,0.37290098436595254,0.009698899826288354,75.12470309095953,3.6608224392522164,8.473046736763042,0.8148725120683527,,,,,,,,,,,,,,,,,
cycle110_rank24_obj1,110.0,,,96,96,96,0.2121320343559321,26.314764358916044,balanced_future_roi_candidate,4084.0,0.4431423611111111,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.3399586687407445,0.33758071607409457,0.2972575905974535,0.17238001958863858,395.3612021976227,16.10582673186527,30.8445524522078,2.347997382740761,,,,,,,,,,,,,,,,,
cycle110_rank24_obj3,110.0,,,96,96,96,0.2121320343559321,24.508921888371106,balanced_future_roi_candidate,3853.0,0.4180772569444444,0.0,0.0,0.0,0.0,0.0,0.01340541359386056,0.01340541359386056,0.3340254347261874,0.005190760446405374,13.895623556806086,0.5611388427168079,4.464637728338351,0.1581514923105906,,,,,,,,,,,,,,,,,
cycle110_rank24_obj2,110.0,,,96,96,96,0.2121320343559321,24.24315454606201,balanced_future_roi_candidate,4869.0,0.5283203125,0.0,0.0,0.0,0.0,0.0,0.04560288528758386,0.04560288528758386,0.37533374409529674,0.014068597247894832,104.81462192258209,4.514133390840001,8.927969380288259,1.137421863647814,,,,,,,,,,,,,,,,,
cycle129_rank7_obj1,129.0,,,96,96,96,0.2500000000000227,26.13056365775394,balanced_future_roi_candidate,5217.0,0.5660807291666666,0.0,0.0,0.0,0.0,0.0,0.06844946626533356,0.06844946626533356,0.3832662449683726,0.04293655357485143,136.2133443587534,8.803486897126668,18.26360611968412,1.4873384700023482,,,,,,,,,,,,,,,,,
cycle129_rank7_obj2,129.0,,,96,96,96,0.2500000000000227,24.688025072654327,balanced_future_roi_candidate,4277.0,0.4640842013888889,0.0,0.0,0.0,0.0,0.0,0.10027943695374693,0.10027943695374693,0.21837736731353752,0.01186579378068739,63.4088557519806,6.062340263391081,6.143576937470289,0.7607883510368783,,,,,,,,,,,,,,,,,
cycle129_rank7_obj3,129.0,,,96,96,96,0.2500000000000227,24.56397203893444,balanced_future_roi_candidate,4707.0,0.5107421875,0.0,0.0,0.0,0.0,0.0,0.07508262854874721,0.07508262854874721,0.3308901635861483,0.03999362651370297,154.43738244927866,6.904683353786631,6.456099802081779,1.6838053623954,,,,,,,,,,,,,,,,,
