task,target,comparison,delta_roc_auc,delta_average_precision,delta_r2,delta_spearman_rho,base_metric,comparison_metric,base_spearman_rho,comparison_spearman_rho
classification,future_any_drop_within_8cycles,video_plus_echem_acquisition_minus_echem_regime,0.28395061728395066,0.3891614504316452,,0.4916877450560962,0.6319444444444443,0.915895061728395,0.22873312086296144,0.7204208659190576
classification,future_any_drop_within_16cycles,video_plus_echem_minus_echem_regime,0.24912280701754386,0.15912255744344028,,0.35050117272498094,0.5052631578947369,0.7543859649122807,0.0074107967497981765,0.3579119694747791
classification,future_any_drop_within_16cycles,video_plus_echem_acquisition_minus_echem_regime,0.2362573099415205,0.15984140547176917,,0.33239987771706103,0.5052631578947369,0.7415204678362574,0.0074107967497981765,0.3398106744668592
classification,future_any_drop_within_16cycles,video_all_minus_echem_regime,0.19181286549707588,0.14571706826013142,,0.2698681313260652,0.5052631578947369,0.6970760233918127,0.0074107967497981765,0.27727892807586335
classification,future_any_drop_within_8cycles,video_all_minus_echem_regime,0.1913580246913582,0.30634537450234345,,0.33129719976799427,0.6319444444444443,0.8233024691358025,0.22873312086296144,0.5600303206309557
classification,future_any_drop_within_8cycles,video_plus_echem_minus_echem_regime,0.17361111111111127,0.2836609280697574,,0.3005556785877748,0.6319444444444443,0.8055555555555556,0.22873312086296144,0.5292887994507363
classification,future_any_drop_within_8cycles,video_plus_echem_acquisition_minus_video_all,0.09259259259259245,0.08281607592930174,,0.16039054528810193,0.8233024691358025,0.915895061728395,0.5600303206309557,0.7204208659190576
classification,future_any_drop_within_16cycles,video_plus_echem_minus_video_all,0.05730994152046798,0.01340548918330886,,0.08063304139891575,0.6970760233918127,0.7543859649122807,0.27727892807586335,0.3579119694747791
classification,future_any_drop_within_16cycles,video_plus_echem_acquisition_minus_video_all,0.04444444444444462,0.01412433721163775,,0.06253174639099585,0.6970760233918127,0.7415204678362574,0.27727892807586335,0.3398106744668592
classification,future_any_drop_within_16cycles,video_plus_echem_minus_acquisition_context,0.025730994152046827,-0.00818564254533527,,0.03620259001583975,0.7286549707602339,0.7543859649122807,0.32170937945893935,0.3579119694747791
classification,future_any_drop_within_16cycles,video_plus_echem_acquisition_minus_acquisition_context,0.012865497076023469,-0.007466794517006381,,0.01810129500791985,0.7286549707602339,0.7415204678362574,0.32170937945893935,0.3398106744668592
classification,future_any_drop_within_8cycles,video_plus_echem_minus_video_all,-0.017746913580246937,-0.022684446432586047,,-0.030741521180219444,0.8233024691358025,0.8055555555555556,0.5600303206309557,0.5292887994507363
classification,future_any_drop_within_16cycles,video_all_minus_acquisition_context,-0.03157894736842115,-0.02159113172864413,,-0.044430451383076,0.7286549707602339,0.6970760233918127,0.32170937945893935,0.27727892807586335
classification,future_any_drop_within_8cycles,video_plus_echem_acquisition_minus_acquisition_context,-0.08410493827160503,-0.04307610368090897,,-0.14568807863669253,1.0,0.915895061728395,0.8661089445557502,0.7204208659190576
classification,future_any_drop_within_8cycles,video_all_minus_acquisition_context,-0.17669753086419748,-0.1258921796102107,,-0.30607862392479446,1.0,0.8233024691358025,0.8661089445557502,0.5600303206309557
classification,future_any_drop_within_8cycles,video_plus_echem_minus_acquisition_context,-0.19444444444444442,-0.14857662604279676,,-0.3368201451050139,1.0,0.8055555555555556,0.8661089445557502,0.5292887994507363
regression,particle_norm_cv,video_all_minus_acquisition_context,,,3.865222799887703,0.8648682887406748,-2.909962489932782,0.955260309954921,0.11424433963244005,0.9791126283731149
regression,particle_norm_cv,video_plus_echem_acquisition_minus_acquisition_context,,,3.7956571455231733,0.826502692813304,-2.909962489932782,0.8856946555903913,0.11424433963244005,0.9407470324457441
regression,particle_norm_cv,video_plus_echem_minus_acquisition_context,,,2.793583543286794,0.8182256723168092,-2.909962489932782,-0.11637894664598769,0.11424433963244005,0.9324700119492493
regression,particle_norm_cv,video_all_minus_echem_regime,,,13.424280853219209,0.8091363142553372,-12.469020543264287,0.955260309954921,0.16997631411777767,0.9791126283731149
regression,particle_norm_cv,video_plus_echem_acquisition_minus_echem_regime,,,13.354715198854679,0.7707707183279664,-12.469020543264287,0.8856946555903913,0.16997631411777767,0.9407470324457441
regression,particle_norm_cv,video_plus_echem_minus_echem_regime,,,12.3526415966183,0.7624936978314716,-12.469020543264287,-0.11637894664598769,0.16997631411777767,0.9324700119492493
regression,transferred_masked_residual_signature,video_plus_echem_minus_video_all,,,2.54280992102914,0.543243646333092,-1.832219206368101,0.7105907146610388,0.03994914090902205,0.583192787242114
regression,threshold_robust_phase_score,video_all_minus_acquisition_context,,,-0.3420124078824911,0.4878186488590426,-0.1708383701167382,-0.5128507779992293,0.10834663836990932,0.5961652872289519
regression,transferred_masked_residual_signature,video_plus_echem_acquisition_minus_video_all,,,2.567589994724539,0.4875113020746859,-1.832219206368101,0.7353707883564379,0.03994914090902205,0.527460442983708
regression,transferred_masked_residual_signature,video_plus_echem_minus_echem_regime,,,0.5452501852285053,0.47327303020640166,0.16534052943253352,0.7105907146610388,0.10991975703571234,0.583192787242114
regression,transferred_masked_residual_signature,video_plus_echem_acquisition_minus_echem_regime,,,0.5700302589239044,0.41754068594799565,0.16534052943253352,0.7353707883564379,0.10991975703571234,0.527460442983708
