n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,task,target,feature_set,observed_roc_auc
1000,0.000999000999000999,0.5013356481481481,0.6050154320987654,classification,future_any_drop_within_8cycles,acquisition_context,1.0
1000,0.025974025974025976,0.5004675925925927,0.6111111111111112,classification,future_any_drop_within_8cycles,echem_regime,0.6319444444444443
1000,0.000999000999000999,0.5005694444444445,0.6103395061728395,classification,future_any_drop_within_8cycles,video_all,0.8233024691358025
1000,0.000999000999000999,0.49964197530864196,0.6111111111111112,classification,future_any_drop_within_8cycles,video_plus_echem,0.8055555555555556
1000,0.000999000999000999,0.49993055555555554,0.6081018518518518,classification,future_any_drop_within_8cycles,video_plus_echem_acquisition,0.915895061728395
1000,0.002997002997002997,0.49824093567251465,0.6350877192982456,classification,future_any_drop_within_16cycles,acquisition_context,0.7286549707602339
1000,0.4945054945054945,0.501859649122807,0.6456140350877193,classification,future_any_drop_within_16cycles,echem_regime,0.5052631578947369
1000,0.01098901098901099,0.4997251461988304,0.637485380116959,classification,future_any_drop_within_16cycles,video_all,0.6970760233918127
1000,0.001998001998001998,0.5003859649122806,0.6444444444444444,classification,future_any_drop_within_16cycles,video_plus_echem,0.7543859649122807
1000,0.001998001998001998,0.5016304093567251,0.6444444444444444,classification,future_any_drop_within_16cycles,video_plus_echem_acquisition,0.7415204678362574
