cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,dictionary_recon_energy_mean,dictionary_recon_error_last_minus_first,dictionary_recon_error_mse_mean,dictionary_recon_error_mse_slope,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,front_radius_q60_delta_px,front_radius_q60_median_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_delta_px,front_radius_q70_median_px,front_radius_q70_positive_step_fraction,front_radius_q70_slope_px_per_norm_time,front_radius_q80_delta_px,front_radius_q80_median_px,front_radius_q80_slope_px_per_norm_time,mask_area_fraction_iqr,mask_area_fraction_median,mask_area_fraction_slope,mask_base_area_fraction,mask_centroid_drift_px,mask_centroid_max_step_px,mask_centroid_path_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,object_area_ds_px,object_mean_abs_z,object_mean_residual,resdict_pc01_last_minus_first,resdict_pc01_mean,resdict_pc01_slope,resdict_pc01_std,resdict_pc02_last_minus_first,resdict_pc02_mean,resdict_pc02_slope,resdict_pc02_std,resdict_pc03_last_minus_first,resdict_pc03_mean,resdict_pc03_slope,resdict_pc03_std,resdict_pc04_last_minus_first,resdict_pc04_mean,resdict_pc04_slope,resdict_pc04_std,resdict_pc05_last_minus_first,resdict_pc05_mean,resdict_pc05_slope,resdict_pc05_std,resdict_pc06_last_minus_first,resdict_pc06_mean,resdict_pc06_slope,resdict_pc06_std,resdict_pc07_last_minus_first,resdict_pc07_mean,resdict_pc07_slope,resdict_pc07_std,resdict_pc08_last_minus_first,resdict_pc08_mean,resdict_pc08_slope,resdict_pc08_std,resdict_pc09_last_minus_first,resdict_pc09_mean,resdict_pc09_slope,resdict_pc09_std,resdict_pc10_last_minus_first,resdict_pc10_mean,resdict_pc10_slope,resdict_pc10_std,resdict_pc11_last_minus_first,resdict_pc11_mean,resdict_pc11_slope,resdict_pc11_std,resdict_pc12_last_minus_first,resdict_pc12_mean,resdict_pc12_slope,resdict_pc12_std,resdict_pc13_last_minus_first,resdict_pc13_mean,resdict_pc13_slope,resdict_pc13_std,resdict_pc14_last_minus_first,resdict_pc14_mean,resdict_pc14_slope,resdict_pc14_std,resdict_pc15_last_minus_first,resdict_pc15_mean,resdict_pc15_slope,resdict_pc15_std,resdict_pc16_last_minus_first,resdict_pc16_mean,resdict_pc16_slope,resdict_pc16_std,residual_energy_last_minus_first,residual_energy_mean,residual_energy_p95,residual_energy_slope,roi_norm_mean_delta_last_minus_first
2.0,2_c2_x14_200623,2,0.0,0.0,,,5.835656452291005e-06,1.866210368461907e-07,7.624607314937748e-05,1.8097962966796892e-05,8.0,0.9793814432989696,0.0,8.0,,0.0,8.0,0.0,,0.5,7.5,0.6394974226804129,0.00851779513888885,0.25409613715277773,-0.0022330617303837,0.2757703993055556,0.6128029874566685,0.4452643933014145,8.72553582655491,0.1604543849825859,0.0110813468615476,91.0,20.068544387817383,7388.587646484375,-0.010910363867878914,-0.0030191215919330716,-0.013592724357563143,0.03537083137780428,0.004912818316370249,0.001664577575866133,0.006565806039342485,0.011638220865279436,-0.025350048555992544,-0.0008776430768193677,-0.03425131171047964,0.03859323193319142,-0.0069274636916816235,-0.00016046221844590036,-0.009728164086080043,0.01454570284113288,-0.00872384523972869,-3.871973603963852e-07,-0.014803091552618611,0.045763442292809486,-0.004605629597790539,-0.0014361808425746858,-0.007610554541507125,0.014972807373851538,-0.016096046194434166,0.001372398342937231,-0.021353407532871262,0.03138638660311699,-0.004649218171834946,-0.00033263535442529246,-0.007375257490581903,0.020853908266872168,0.0004844176000915468,0.001626130542717874,-0.0008871580036755372,0.035635330248624086,0.0019838011357933283,-0.0008514525834470987,0.004066410907513562,0.017413168214261532,0.0017125984450103715,-0.0006641374711762182,0.00021713488225175604,0.017192570492625237,-0.0063532858330290765,0.0003449015930527821,-0.00866356935255585,0.01170725328847766,0.004601770779117942,4.526246993918903e-05,0.006139156716151199,0.01360667310655117,-0.008227984420955181,-0.0011812207367256633,-0.013141402151450172,0.017686795443296432,-0.009108718950301409,-0.00012800510739907622,-0.012582099755443204,0.014502969104796648,0.0003688720753416419,-0.000791931408457458,-0.0025054949276397454,0.03345289081335068,5.694710125681013e-07,8.205168524000328e-05,0.0001434934056305792,2.4577887080867128e-05,-0.0016346275806426499
6.0,2_c2_x14_200623,2,0.0,0.0,-4.358891752577319,-0.1606861855670106,1.6975099242699798e-05,1.5014928067103028e-05,9.50035646383185e-05,2.9993615415055243e-05,7.0,-0.4175257731958764,-0.5,8.0,-0.1875000000000001,0.0,8.0,0.01052631578947365,-0.3962628865979382,0.0,7.0,,0.010321723090277748,0.2518446180555555,-0.0043463253619880505,0.27294921875,0.4286879227137438,0.9431578863581173,10.960505653563946,0.16707976721227163,-0.021502112858141402,85.5,22.246485710144043,8370.017333984375,0.00918826600536704,-0.0027330656303092837,0.011845675778673275,0.02862305473536253,-0.006639514351263642,0.0024338162038475275,-0.008326155429408814,0.021031444892287254,0.009033304639160633,-0.0002184750906053523,0.012364682210835257,0.018154822289943695,0.006891625002026558,0.00023461391901946627,0.008289714159572647,0.02309276256710291,0.0021677338518202305,0.0020810345947666065,0.0013732499280625834,0.08341356366872787,-0.0007636774098500609,-0.0002334127202630043,-0.00254997064115933,0.027493988629430532,0.022058174945414066,-0.00047284930769819766,0.02824474866073089,0.07023607939481735,0.0026085394201800227,0.001021932839648798,0.0019910350020693065,0.028241601772606373,0.003095448249951005,0.0007748100179014727,0.003868678831483857,0.016876131761819124,0.002815710846334696,-0.002579535008408129,0.005104946434393675,0.03931953851133585,-0.0007504808891098946,0.0004394814418446913,-0.0006963154311386868,0.01575539610348642,0.006458377814851701,0.00037616764893755317,0.007734548363996988,0.011285747401416302,-0.016594280255958438,0.0013805798880639486,-0.021797147454028738,0.057753486558794975,0.0021893004595767707,0.00040879381049307995,0.00190141564472517,0.025636952370405197,0.007761803455650806,-0.001064151816535741,0.009215432325780922,0.022329609841108322,-0.015195119194686413,0.0035978193627670407,-0.02194641989661154,0.10340246930718422,2.2960190108278766e-05,0.00011194839316885918,0.00014044206145626944,4.508065113728474e-05,0.0009562484920024501
10.0,2_c2_x14_200623,2,0.0,0.0,12.155283505154646,0.4480923711340212,1.1097015431005275e-06,-1.0105031833518296e-07,4.13431571359979e-05,-4.5217555596439586e-07,3.5,-0.1465850515463918,0.0,8.0,-0.3614690721649486,0.0,7.5,0.0052631578947368,1.105025773195877,0.0,7.5,,0.00927734374999995,0.23657226562499994,-0.01323064605258445,0.2582465277777778,0.47867127895671213,0.18321664602085816,6.858940605764074,0.15313895791769025,-0.0093954412132194,111.5,20.5120792388916,6906.7490234375,-0.006117746292147785,-0.002739734831266105,-0.008160684960450072,0.011791376862674952,0.0018208608962595463,0.0020691322861239314,0.0020825428225706624,0.007585705956444144,0.002165444428101182,-0.00046275038039311767,0.0023493628606765437,0.007860367186367512,-0.007553506176918745,0.00044195209920872003,-0.009409223314517143,0.009445940144360065,-0.00772667583078146,0.002208444057032466,-0.008882991288096252,0.02267263364046812,-0.004382689367048442,-0.0006750810571247712,-0.00554171283614491,0.008701210143044591,-0.0068942675134167075,0.0005882608238607645,-0.00966159506807392,0.011743731331080198,-0.008689654059708118,0.0010011652339017019,-0.010502629187900122,0.01017262926325202,0.001459341263398528,0.0010919318301603198,0.0023265016082931614,0.008063536137342453,0.014306999742984772,-0.0011933513160329312,0.019709112739273178,0.014705547131597996,0.0019460608600638807,0.00040136828465620056,0.0027601200839853855,0.009730990044772625,0.0006597218452952802,0.0013112927917973138,0.0013476407398564717,0.006182302953675389,0.004193863715045154,-0.000688495572831016,0.005424868719561158,0.009896097471937537,-0.006884542293846607,0.0011311402777209878,-0.008859372111787948,0.01548369973897934,-0.009120021713897586,-0.001758796744979918,-0.012180679719734291,0.01378149027004838,-0.0030132622923702,0.00025080778868868947,-0.004473736004844173,0.00962855527177453,2.139477146556601e-07,4.242386785335839e-05,4.9977551134361414e-05,-7.934860198138893e-09,0.0010970272123813
12.0,2_c2_x14_200623,2,0.0,0.0,,,1.1705054703270434e-06,-6.199534254847094e-07,4.083574458491057e-05,-1.090706911399102e-06,3.0,2.910438144329899,-0.5,11.0,-1.251932989690722,0.0,8.0,0.0,,0.5,8.0,0.2989690721649486,0.0071614583333333,0.2416720920138889,-0.0035732133828214,0.26247829861111116,0.3812429461082887,0.20322705243743222,7.184150614830561,0.15128333307802677,-0.01943297476925375,120.5,19.375277519226078,6544.674072265625,-0.006491865497082472,-0.0026146495947614312,-0.006450316246283416,0.01002027839422226,0.003950898419134319,0.0018146945512853563,0.003400101127580888,0.007408337667584419,0.00014846259728074074,-0.0008210279047489166,-0.00037039122199099674,0.007668373174965382,-0.004186049685813487,0.0001799671008484438,-0.0041741719628158825,0.007740117842331529,0.005638101487420499,0.0019978504860773683,0.001449558422992645,0.021597111597657204,-0.001432096934877336,-0.0006158549076644704,-0.0021451653667578577,0.008591827470809221,-0.006425279658287764,0.00039558266871608794,-0.0053714787725000785,0.010624453891068697,-0.004123989026993513,0.0009376019879709929,-0.003655408370717564,0.009393144398927689,0.000608110916800797,0.0011919900425709784,0.0018484359813699383,0.008103976957499981,0.009620316093787551,-0.002090121852234006,0.004419405963562895,0.023041127249598503,0.00173482223181054,-0.0004288010641175788,-0.00044157246700610457,0.011825095629319549,0.0013215047947596759,0.001421174281858839,0.0018654244011773497,0.007899676682427526,0.0016012233681976795,-0.0005315511443768628,0.0005227369707426985,0.0076024874579161406,-0.0025382154271937907,0.0001396164734615013,-0.0035724760075505693,0.009437201777473092,-0.012296452187001705,-0.0016117526538437232,-0.011230613088915374,0.01468677120283246,-0.00029700284358114004,-0.00025282881688326597,-0.0017501729327226438,0.00807354529388249,-7.1812974056229e-07,4.197681300865952e-05,4.7441219248867124e-05,-1.3565149856731266e-06,0.00105599313974375
26.0,4_c2_x10_240623,2,0.0,0.0,0.8009020618556699,0.0295244536082474,5.270199949336529e-06,-1.5478601198992692e-05,8.895920473150909e-05,-2.201115478208908e-05,4.5,0.2528994845360826,0.0,6.5,0.0,0.0,5.5,0.02105263157894735,0.0728092783505155,0.0,5.0,,0.0035807291666666,0.2516004774305556,0.0035177713680376,0.2691514756944444,0.1016728929919247,0.19791703388984655,7.69101804180258,0.14764832239598036,0.0041707324982649,86.0,25.383216857910156,9709.138916015625,-6.555515574291348e-05,-0.002187363221310079,-0.0003965627284120085,0.014855471439659595,0.006672202609479427,0.0019018547609448433,0.008583209913462939,0.02279588719829917,0.00522066350094974,4.5677290472667664e-05,0.006553106706077847,0.02153002843260765,-0.0036321246006991714,0.000469736143713817,-0.005525352901895533,0.01082199439406395,0.008086101384833455,0.0010147729481104761,0.0120702792045593,0.015092410612851381,4.526751581579447e-05,-0.0010945211979560554,-0.00036081787019563846,0.01124814385548234,-0.007281592232175171,0.0009934479312505573,-0.011455760744827691,0.015594286378473043,-0.00622458232101053,3.0556799174519256e-05,-0.008883263407340948,0.022959801368415356,-0.0015549323288723826,0.000646876374958083,-0.001785454531138956,0.014126842841506004,0.008564695715904236,-0.0015401766868308187,0.012778726821201607,0.01588378567248583,0.0009625050879549235,0.0004509129503276199,0.0011810711538265952,0.01527853449806571,-0.006183134042657912,0.0002906510198954493,-0.009486237688925992,0.014110188465565443,0.005033781169913709,0.0004300349173718132,0.010062017085893838,0.03711638879030943,-0.005184864858165383,-0.0007494236197089776,-0.011266984520893626,0.05922933202236891,-0.011504405876621604,-0.0006462536548497155,-0.015336147832606098,0.03063401160761714,0.0055849391501396894,0.0007086473633535206,0.00875608791144547,0.014530998654663563,-2.061402665276546e-05,9.419683010492008e-05,0.00015048459645186077,-2.9115549451537472e-05,-0.00010419636964793865
28.0,4_c2_x10_240623,2,0.0,0.0,0.2976804123711343,0.0109736907216495,7.739814549267976e-07,-5.029451131122187e-07,5.0301307055633515e-05,-9.004750585230993e-07,5.5,-12.685567010309283,0.0,23.5,,0.0,22.5,0.01052631578947365,0.0038659793814433,0.0,21.5,,0.0037570529513887996,0.23787434895833334,0.00074227978683415,0.2517361111111111,0.106786521707498,0.21573907938801326,8.566052804416366,0.1392081072553992,0.00383641314212725,82.0,27.346495628356934,10714.01416015625,0.001272318186238408,-0.0021762106334790587,0.0009059436139068552,0.008821960538625717,0.0029231992666609585,0.0020399531349539757,0.00443725921841657,0.007427131524309516,0.0035299142473377287,8.067596991168102e-05,0.005090620003547405,0.008140810765326023,-0.004513278719969094,0.0004922181833535433,-0.007235238539923507,0.007832919247448444,0.004743979778140783,0.001044125616317615,0.007097443846118708,0.008349368115887046,0.0007471673598047346,-0.0010261768475174904,0.0011466743523717601,0.006261044181883335,-0.00578052771743387,0.0011019459343515337,-0.009430589898348494,0.008664519991725683,-0.006885950220748782,0.0001434183504898101,-0.00987803231333888,0.008789094164967537,-0.0014852540043648332,0.0006742064142599702,-0.0022520932452799146,0.007230463204905391,0.004699807846918702,-0.0014558538096025586,0.007651329679433009,0.010796756250783801,-0.001274930575164035,0.0005284427898004651,-0.0014367366588358928,0.008112541399896145,-0.0018841626588255167,0.000708455394487828,-0.0020616875967932984,0.008078733691945672,0.0019584035908337682,-6.119456156739034e-05,0.0026582207670416123,0.013711546547710896,-0.006430774345062673,-7.193103010649793e-05,-0.008649996315082379,0.01855958322994411,-0.007113451603800058,-0.0011730724072549492,-0.012025584890522483,0.012133223237469792,-9.671991574577987e-05,0.00036547117633745074,-0.0002862537998130164,0.007262957515195012,-6.303744157776237e-07,5.104322008264717e-05,5.571341007453157e-05,-1.131569658690233e-06,9.024515748019617e-05
30.0,4_c2_x10_240623,2,0.0,0.0,-38.83891752577322,-1.4317578556701054,6.23883167349959e-07,6.365316949086264e-07,5.0367949370411225e-05,9.943516273013236e-07,5.5,1.3472938144329902,0.0,25.0,,0.5,24.0,0.047368421052631546,-0.36146907216494867,1.0,23.0,0.9967783505154644,0.0074598524305555,0.23559570312499994,0.0105122045143363,0.2518446180555556,0.4079173681920779,0.21331366176054425,8.821822326179568,0.1394103523343801,-1.0886911264400002e-05,100.0,23.25758457183838,8730.18115234375,-0.0033098150743171573,-0.0013705323217436671,-0.005017671261387144,0.008987553417682648,0.0039969938225112855,0.0020288891391828656,0.006283174638137051,0.0065462118946015835,0.003109460463747382,0.00022181974782142788,0.004221740837807661,0.007381641771644354,-0.007847107946872711,0.0007637363451067358,-0.011687868001210616,0.008979529840871692,0.0022614258341491222,0.0019501319038681686,0.003704711837436712,0.0074445020873099566,0.000333259638864547,-0.0009889234497677535,0.0009344801646779836,0.0066492382902652025,-0.0070281760999932885,0.0015364154824055731,-0.01013839764234849,0.00855695130303502,-0.004772901418618858,0.00025249767895729747,-0.006921668675568073,0.006670236820355058,-0.0002912909258157015,0.0006829444610048085,-0.001229701970595145,0.008397450670599937,0.004823684255825356,-0.00271340279141441,0.007109931005183361,0.011562228901311755,0.000807653646916151,-0.00018102771718986332,0.001065291784317722,0.009179029613733292,-0.004019225249066949,0.0004670486960094422,-0.00544031063668387,0.006642058724537492,0.005278476106468588,-0.0005861460595042445,0.006956026464630619,0.010248413775116205,-0.005874391179531813,-0.000523769180290401,-0.00700310539612378,0.01322431187145412,-0.0127006103284657,-0.00021324315457604825,-0.01980602297813963,0.010337752290070057,0.005065155302872881,-0.00020828814012929797,0.0068173287951427295,0.009169892640784383,6.74972397973761e-07,5.096003587823361e-05,5.570675966737326e-05,1.043217789150439e-06,-0.0006928630173206
34.0,4_c2_x10_240623,2,0.0,0.0,1.226159793814434,0.0452011546391753,9.611487712390954e-07,-8.932383934734389e-07,7.348701365117449e-05,-9.237642021425409e-07,4.0,-0.23389175257731976,1.0,5.5,0.802835051546392,0.0,5.5,0.01052631578947365,0.1114690721649485,0.0,5.0,,0.00378417968749995,0.25295681423611105,-0.0055287853822128495,0.2689344618055556,0.3002173520960645,0.18261849786555961,7.200270980539113,0.1451278487220406,0.0040746813822422,83.5,27.22706985473633,10603.6884765625,0.001918433466926217,-0.0026040535885840654,0.0026971024490194404,0.00943614961579442,0.006472701206803322,0.002578362007625401,0.009664047490514353,0.011798109160736203,0.004934871511068195,-0.0002460696086927783,0.007128854921436296,0.010985707864165306,-0.005301834084093571,0.0004171389664406888,-0.007589956947700366,0.008480878081172705,0.008870112185832113,0.0014183912426233292,0.014095952479769233,0.010117773897945881,2.4272012524306774e-05,-0.0009227849368471652,-0.0003708688831370391,0.008007107069715858,-0.007635353482328355,0.0005135510873515159,-0.011664555948472733,0.009919366333633661,-0.007622104836627841,0.0007849193352740258,-0.011026598243207491,0.012019082438200712,-0.00200608535669744,0.001040156523231417,-0.0031784873841388625,0.008783241268247366,0.009454958606511354,-0.0017713801353238523,0.01396117639803714,0.013514682650566101,0.0013330606452655047,0.0002122497244272381,0.0012289366524017068,0.009550518356263638,-0.005912980937864631,0.0008850815211189911,-0.009081999945498723,0.01020194636657834,0.005569624016061425,0.00024001052224775776,0.009140608322147612,0.013432684820145369,-0.007274856558069587,6.85695995343849e-05,-0.011621001151855272,0.017994842026382685,-0.009184673428535461,-0.0018930207006633282,-0.013940148713874431,0.013412038329988718,0.003041721589397639,0.0019679006654769182,0.0048127073162360975,0.009731077821925282,-1.0590392776066437e-06,7.441579509759322e-05,8.117855759337544e-05,-1.0655384453696717e-06,-8.79950821399572e-05
36.0,5_c2_x10_260623,2,0.0,0.0,-8.64336340206186,-0.3186289484536086,7.099507854491094e-06,1.371587859466672e-05,0.00010083320739795454,1.4973919989738774e-05,6.5,-0.4223582474226805,0.0,6.0,-0.0315721649484536,-1.0,6.0,0.0,-0.7857603092783508,-0.5,5.5,-0.962628865979382,0.00912814670138885,0.2679307725694444,-0.00690613142540085,0.2909613715277778,0.36619026124638276,0.45070104355117535,10.764519356600509,0.1532715642824769,0.01110091969519655,51.5,25.163411140441895,10516.2119140625,0.00012253393651917577,-0.0030353267793543637,-0.0002603619548608518,0.017710505053400993,0.00896894047036767,0.0018888430786319077,0.013296527617709022,0.014307063538581133,-0.010408273432403803,-0.001112231799197616,-0.015627331954620835,0.03319912124425173,-0.0017742688651196659,0.0007508148555643857,-0.0025846794000244696,0.01339232549071312,-0.0006796037632739171,0.0010606263531371951,-0.0009485949016954304,0.02402508957311511,-0.003768090158700943,-0.0012157083838246763,-0.005540072427845048,0.012064998038113117,-0.017020248342305422,-0.0002775411994662136,-0.024068332982010603,0.04518904583528638,-0.0071369733195751905,0.0005309156258590519,-0.009776022031923945,0.02280990080907941,-0.008561172639019787,-0.0018119106534868479,-0.012103908792969856,0.014229766558855772,-0.007571070687845349,-0.0023353652795776725,-0.01064746981466765,0.028852288611233234,0.002606742549687624,0.0011304424842819571,0.004480466141026946,0.014039425645023584,-0.011524255387485027,-6.22507359366864e-05,-0.016735635483545546,0.02050292957574129,0.011526861693710089,0.0017463542171753943,0.015340197450400168,0.043188740499317646,-0.009000900899991393,-0.0006681713666694122,-0.014411964514453618,0.028779998887330294,-0.002735234214924276,-1.8454498786013573e-05,-0.003472952078223705,0.014530852437019348,0.007412160513922572,0.0035800744080916047,0.00994011752531821,0.050517065450549126,1.7508955352241173e-05,0.00010790411761263385,0.0001972779929928947,1.8307340082844216e-05,0.0005397722125053113
38.0,5_c2_x10_260623,2,0.0,0.0,40.79188144329899,1.5037519175257734,9.566014568918035e-06,1.2605894880834967e-05,6.660261897195596e-05,1.3353863443243396e-05,4.5,1.6066365979381452,1.0,7.5,1.650773195876289,1.0,7.0,0.01052631578947365,2.913015463917528,0.5,5.5,1.4710051546391758,0.0082194010416666,0.2505967881944444,-0.0118041502787621,0.2748480902777778,0.64806162399237,0.39400446423751423,9.989804068060673,0.14880016539245838,0.011723809372681651,120.5,18.250073432922363,6533.857421875,0.006590768112801015,-0.00385286845266819,0.012909504772151683,0.03190428810194135,0.004936179262585938,0.00241782667580992,0.0066807676249146936,0.009554535150527954,-0.013448007870465517,-0.0033402233702872763,-0.010596509939975808,0.0652090897783637,-0.0051427210855763406,-0.0006112657429184765,-0.008248393199794103,0.014518118929117918,0.004762266180478036,0.00012591638369485736,0.00862640424311394,0.022136375308036804,0.0011506584705784917,-0.0015100360615178943,0.0004273460743685355,0.011453928425908089,-0.020124865230172873,-0.002164388366509229,-0.02806439301325315,0.026816049125045538,-0.0048219028394669294,0.00230315636144951,-0.00928667130001965,0.019634496420621872,-0.005088187754154205,0.004514875297900289,-0.008343262666121036,0.020297052338719368,-0.000518831133376807,0.006098317913711071,0.0031056454297580982,0.031163770705461502,-0.006702471990138292,0.0020681674941442907,-0.011084844890520848,0.015592638868838549,-0.006596722640097141,0.002241382897409494,-0.010611035627248624,0.014495805371552706,0.0030247746035456657,0.00032894298783503473,0.0075117399153321876,0.038497486151754856,-0.0103803682141006,-0.0005111680075060576,-0.02548422323596146,0.06495715491473675,-0.012923577800393105,-0.003568100102711469,-0.015300687409609576,0.030907755717635155,-0.005766698508523405,0.0007748998468741775,-0.009711035462303123,0.030030127614736557,2.1815263608004898e-05,7.614141395606566e-05,0.0001196788842207752,2.2790642026991836e-05,0.00083708018064495
