src_roi_id,dst_roi_id,edge_type,neighbor_rank,src_cycle,dst_cycle,cycle_delta_dst_minus_src,event_reference_cycle,distance_px,same_xy_region,src_is_event_roi,dst_is_event_roi,src_is_event_enriched_mode,dst_is_event_enriched_mode,src_front_positive_residual_binary,dst_front_positive_residual_binary,src_mode_review_priority,dst_mode_review_priority,src_phase_slope_positive_fraction_protocol_residual,dst_phase_slope_positive_fraction_protocol_residual,src_threshold_robust_phase_score_protocol_residual,dst_threshold_robust_phase_score_protocol_residual,src_diffusion_proxy_abs_median_um2_per_s_protocol_residual,dst_diffusion_proxy_abs_median_um2_per_s_protocol_residual,src_mode_label,dst_mode_label,src_cohort_role,dst_cohort_role,src_xy_region,dst_xy_region,is_event_roi_same,is_event_roi_both_positive,is_event_enriched_mode_same,is_event_enriched_mode_both_positive,front_positive_residual_binary_same,front_positive_residual_binary_both_positive
cycle58_rank4_obj2,cycle58_rank1_obj1,same_cycle_spatial_knn,2,58.0,58.0,0.0,60.0,760.090846118948,False,0,0,0,0,1,1,2.4903846153846154,1.9615384615384617,0.0849698428160106,0.0849698428160106,0.2870516082955557,0.056282377526325,-5.58479872104488e-08,4.2578080735404723e-07,near_baseline_or_context_like,near_baseline_or_context_like,control,control,1_0,3_0,True,False,True,False,True,True
cycle58_rank4_obj2,cycle58_rank6_obj29,same_cycle_spatial_knn,3,58.0,58.0,0.0,60.0,945.9243468273936,False,0,0,0,0,1,1,2.4903846153846154,2.6634615384615383,0.0849698428160106,0.0849698428160106,0.2870516082955557,0.1524362236801711,-5.58479872104488e-08,-2.8884899133849952e-06,near_baseline_or_context_like,near_baseline_or_context_like,control,control,1_0,2_2,True,False,True,False,True,True
cycle58_rank4_obj2,cycle60_rank4_obj5,next_cycle_spatial_knn,1,58.0,60.0,2.0,60.0,7.82323366655415,True,0,1,0,1,1,1,2.4903846153846154,3.4807692307692304,0.0849698428160106,0.1594674278574455,0.2870516082955557,0.0413469349585145,-5.58479872104488e-08,-2.1059433793047044e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,1_0,False,False,False,False,True,True
cycle58_rank4_obj2,cycle60_rank3_obj9,next_cycle_spatial_knn,2,58.0,60.0,2.0,60.0,273.8793339057548,True,0,1,0,1,1,1,2.4903846153846154,3.673076923076923,0.0849698428160106,0.1594674278574455,0.2870516082955557,0.1567315503431298,-5.58479872104488e-08,1.877002417149028e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,1_0,False,False,False,False,True,True
cycle58_rank4_obj2,cycle60_rank1_obj1,next_cycle_spatial_knn,3,58.0,60.0,2.0,60.0,764.388263867327,False,0,1,0,1,1,1,2.4903846153846154,2.6538461538461537,0.0849698428160106,0.1594674278574455,0.2870516082955557,0.0028853964969761,-5.58479872104488e-08,-2.501069885685212e-07,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,3_0,False,False,False,False,True,True
cycle58_rank1_obj1,cycle60_rank1_obj1,same_reference_spatial_knn,1,58.0,60.0,2.0,60.0,4.906617052097925,True,0,1,0,1,1,1,1.9615384615384617,2.6538461538461537,0.0849698428160106,0.1594674278574455,0.056282377526325,0.0028853964969761,4.2578080735404723e-07,-2.501069885685212e-07,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,3_0,3_0,False,False,False,False,True,True
cycle58_rank1_obj1,cycle62_rank2_obj2,same_reference_spatial_knn,2,58.0,62.0,4.0,60.0,9.595084995441043,True,0,0,0,0,1,0,1.9615384615384617,2.682692307692308,0.0849698428160106,-0.3596435064490023,0.056282377526325,-0.8666880311024134,4.2578080735404723e-07,1.60085715319586e-06,near_baseline_or_context_like,front_negative_high_apparent_front_proxy,control,control,3_0,3_0,True,False,True,False,False,False
cycle58_rank1_obj1,cycle60_rank5_obj18,same_reference_spatial_knn,3,58.0,60.0,2.0,60.0,335.5964778849116,True,0,1,0,0,1,0,1.9615384615384617,2.75,0.0849698428160106,-0.5548182864282688,0.056282377526325,-0.7374992188876393,4.2578080735404723e-07,4.276389356478945e-07,near_baseline_or_context_like,front_negative_high_apparent_front_proxy,control,event,3_0,3_0,False,False,True,False,False,False
cycle58_rank1_obj1,cycle58_rank3_obj9,same_cycle_spatial_knn,1,58.0,58.0,0.0,60.0,564.5969120353495,False,0,0,0,0,1,1,1.9615384615384617,2.9134615384615383,0.0849698428160106,0.0849698428160106,0.056282377526325,0.0947439159878634,4.2578080735404723e-07,1.0798715843163389e-07,near_baseline_or_context_like,near_baseline_or_context_like,control,control,3_0,1_0,True,False,True,False,True,True
cycle58_rank1_obj1,cycle58_rank6_obj29,same_cycle_spatial_knn,2,58.0,58.0,0.0,60.0,734.5862932839566,False,0,0,0,0,1,1,1.9615384615384617,2.6634615384615383,0.0849698428160106,0.0849698428160106,0.056282377526325,0.1524362236801711,4.2578080735404723e-07,-2.8884899133849952e-06,near_baseline_or_context_like,near_baseline_or_context_like,control,control,3_0,2_2,True,False,True,False,True,True
