roi_id,cycleNo,cohort_role,event_reference_cycle,source_stem,object_x_full_approx,object_y_full_approx,n_frames_percentile,V_mean,I_mean_mA,front_quality_score,degradation_mode_hypothesis,mode_label,mode_review_priority,mode_pc1,mode_pc2,rollout_mobility_difficulty_score,phase_slope_positive_fraction_protocol_residual,phase_slope_median_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,is_event_roi,is_event_enriched_mode,front_positive_residual_binary,xy_region
cycle58_rank6_obj29,58.0,control,60.0,7_c2_x10_290623,1236.076923076923,846.9230769230769,0.3539325842696629,3.828237694919734,0.0163604508805609,1.6155277307729818,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.6634615384615383,0.0614249467895519,3.007796516488652,1.8461538461538465,0.0849698428160106,1.9232411833181338e-07,0.1524362236801711,-2.8884899133849952e-06,0,0,1,2_2
cycle58_rank4_obj2,58.0,control,60.0,7_c2_x10_290623,568.421052631579,176.8421052631579,0.3539325842696629,3.828237694919734,0.0163604508805609,1.1091514494562902,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.4903846153846154,-1.190708287039517,4.037347109722583,1.3269230769230769,0.0849698428160106,-3.557078672312344e-07,0.2870516082955557,-5.58479872104488e-08,0,0,1,1_0
cycle58_rank1_obj1,58.0,control,60.0,7_c2_x10_290623,1326.2222222222222,117.88888888888889,0.3539325842696629,3.828237694919734,0.0163604508805609,0.7330214581610461,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,1.9615384615384617,-2.8786755327461258,3.251782041934024,0.4615384615384614,0.0849698428160106,-1.0521093089264456e-06,0.056282377526325,4.2578080735404723e-07,0,0,1,3_0
cycle58_rank3_obj9,58.0,control,60.0,7_c2_x10_290623,802.0759493670886,327.746835443038,0.3539325842696629,3.828237694919734,0.0163604508805609,0.8161872484866202,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.9134615384615383,-0.4585664342599742,2.229900973271272,2.0961538461538463,0.0849698428160106,1.8524113721453657e-06,0.0947439159878634,1.0798715843163389e-07,0,0,1,1_0
cycle60_rank3_obj9,60.0,event,60.0,7_c2_x10_290623,800.7027027027027,321.94594594594594,0.3707865168539326,3.829972590648973,0.0216442830997643,2.4945534720369364,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.673076923076923,3.057942896552585,-2.1298233119533148,2.846153846153846,0.1594674278574455,2.2998918936290807e-06,0.1567315503431298,1.877002417149028e-06,1,1,1,1_0
cycle60_rank1_obj1,60.0,event,60.0,7_c2_x10_290623,1330.3188405797102,115.18840579710144,0.3707865168539326,3.829972590648973,0.0216442830997643,1.990971834925495,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.6538461538461537,1.8028887329604288,-0.9358865778523744,1.8846153846153848,0.1594674278574455,-5.721108841179414e-07,0.0028853964969761,-2.501069885685212e-07,1,1,1,3_0
cycle60_rank2_obj2,60.0,event,60.0,7_c2_x10_290623,1180.4,1033.6571428571428,0.3707865168539326,3.829972590648973,0.0216442830997643,1.3721660201122636,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.923076923076923,2.7969137520622644,1.3697113517744617,2.307692307692308,0.1594674278574455,6.826234746311135e-07,0.4644238580354375,7.238508764201678e-07,1,1,1,2_3
cycle60_rank4_obj5,60.0,event,60.0,7_c2_x10_290623,568.3137254901961,169.0196078431373,0.3707865168539326,3.829972590648973,0.0216442830997643,1.5337954930279185,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.4807692307692304,3.6141415905548895,-1.5329434148748096,2.596153846153846,0.1594674278574455,-3.020883439614745e-07,0.0413469349585145,-2.1059433793047044e-06,1,1,1,1_0
cycle60_rank6_obj26,60.0,event,60.0,7_c2_x10_290623,1231.8333333333333,843.4166666666666,0.3707865168539326,3.829972590648973,0.0216442830997643,1.320031653911962,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.5961538461538463,3.411487794363526,-1.584629447961331,2.615384615384616,0.1594674278574455,-2.9120416730739998e-08,0.1759623195738991,-1.4897371927501488e-06,1,1,1,2_2
cycle60_rank5_obj18,60.0,event,60.0,7_c2_x10_290623,1661.5873015873017,130.34920634920636,0.3707865168539326,3.829972590648973,0.0216442830997643,1.236404564188312,single_persistent_drop_needs_roi_qc,front_negative_high_apparent_front_proxy,2.75,-1.3631218583303062,-2.402500828350672,1.7884615384615383,-0.5548182864282688,-1.4793108948411167e-06,-0.7374992188876393,4.276389356478945e-07,1,0,0,3_0
cycle62_rank2_obj2,62.0,control,60.0,7_c2_x10_290623,1324.629213483146,108.42696629213484,0.3370786516853932,3.8226030426780016,0.002895681360255,2.079343177314194,single_persistent_drop_needs_roi_qc,front_negative_high_apparent_front_proxy,2.682692307692308,-4.369232432515268,-2.43968074832736,1.326923076923077,-0.3596435064490023,-1.3612615101106182e-06,-0.8666880311024134,1.60085715319586e-06,0,0,0,3_0
cycle62_rank1_obj4,62.0,control,60.0,7_c2_x10_290623,1176.79012345679,1024.3456790123455,0.3370786516853932,3.8226030426780016,0.002895681360255,1.9750338827400629,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.625,-1.185900345055631,1.077128172908972,1.8269230769230769,-0.0739292207347166,-2.116987795829617e-07,0.1236965842822019,3.1989018492053685e-07,0,0,0,2_3
