match_scheme,treated_index,control_index,treated_roi_id,control_roi_id,treated_source_stem,control_source_stem,treated_source_class,control_source_class,same_source,treated_cycleNo,control_cycleNo,match_distance,cycle_delta_treated_minus_control
same_source_class_echem_context,20,87,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,108.0,42.0,0.9309080027190291,66.0
same_source_class_echem_context,21,87,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,108.0,42.0,1.045989960230509,66.0
same_source_class_echem_context,22,83,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,110.0,38.0,0.9235792821303619,72.0
same_source_class_echem_context,23,72,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle28_rank37_obj1_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,110.0,28.0,1.1410557166728947,82.0
same_source_class_echem_context,24,76,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle32_rank39_obj1_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,112.0,32.0,3.863219089014159,80.0
same_source_class_echem_context,25,82,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,112.0,38.0,4.027725512525006,74.0
same_source_class_echem_context,26,79,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,114.0,34.0,4.041258604210616,80.0
same_source_class_echem_context,27,79,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,114.0,34.0,4.0618315429650265,80.0
same_source_class_echem_context,52,41,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,150.0,138.0,6.033065981819038,12.0
same_source_class_echem_context,53,40,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,150.0,138.0,5.956794053927515,12.0
same_source_class_echem_context,54,40,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,151.0,138.0,4.189481145686483,13.0
same_source_class_echem_context,55,41,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,151.0,138.0,4.312327522298655,13.0
same_source_class_echem_context,56,40,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,152.0,138.0,4.190066636414316,14.0
same_source_class_echem_context,57,41,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,152.0,138.0,4.295499547280863,14.0
