n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,target,feature_set,method,observed_roc_auc
500,0.001996007984031936,0.49371461988304094,0.6339766081871344,future_any_drop_within_16cycles,acquisition_context,raw,0.7450292397660818
500,0.001996007984031936,0.4933450292397661,0.6305847953216372,future_any_drop_within_16cycles,acquisition_context,source_mean_resid_1,0.7426900584795322
500,0.780439121756487,0.49880935672514626,0.6411111111111109,future_any_drop_within_16cycles,acquisition_context,source_mean_resid_2,0.43274853801169594
500,0.041916167664670656,0.5046970760233918,0.639766081871345,future_any_drop_within_16cycles,acquisition_context,source_mean_resid_4,0.6514619883040935
500,0.8822355289421158,0.499719298245614,0.6505263157894735,future_any_drop_within_16cycles,acquisition_context,source_mean_resid_8,0.3953216374269006
500,0.001996007984031936,0.4925777777777778,0.6328070175438596,future_any_drop_within_16cycles,acquisition_context,source_confound_filter_0.10,0.7871345029239767
500,0.5409181636726547,0.497812865497076,0.6375438596491227,future_any_drop_within_16cycles,acquisition_context,source_confound_filter_0.25,0.4888888888888888
500,0.812375249500998,0.4951766081871345,0.6316374269005847,future_any_drop_within_16cycles,acquisition_context,source_confound_filter_0.50,0.4152046783625731
500,0.15568862275449102,0.4988070175438596,0.6350877192982456,future_any_drop_within_16cycles,echem_regime,raw,0.5894736842105263
500,0.6906187624750499,0.5026105263157895,0.6491228070175439,future_any_drop_within_16cycles,echem_regime,source_mean_resid_1,0.4631578947368421
500,0.7564870259481038,0.5012421052631579,0.6422807017543858,future_any_drop_within_16cycles,echem_regime,source_mean_resid_2,0.4421052631578948
500,0.34930139720558884,0.4999929824561403,0.6421052631578947,future_any_drop_within_16cycles,echem_regime,source_mean_resid_4,0.5368421052631578
500,0.03592814371257485,0.5012561403508772,0.6491228070175439,future_any_drop_within_16cycles,echem_regime,source_mean_resid_8,0.6631578947368421
500,0.22954091816367264,0.4987859649122807,0.6317543859649122,future_any_drop_within_16cycles,echem_regime,source_confound_filter_0.10,0.5684210526315789
500,0.3153692614770459,0.5001543859649124,0.6350877192982456,future_any_drop_within_16cycles,echem_regime,source_confound_filter_0.25,0.5473684210526315
500,0.6866267465069861,0.5021333333333333,0.6387719298245613,future_any_drop_within_16cycles,echem_regime,source_confound_filter_0.50,0.4631578947368421
500,0.564870259481038,0.4991602339181287,0.6411111111111109,future_any_drop_within_16cycles,video_all,raw,0.4888888888888889
500,0.16367265469061876,0.4975625730994152,0.6374853801169589,future_any_drop_within_16cycles,video_all,source_mean_resid_1,0.583625730994152
500,0.003992015968063872,0.4934807017543859,0.629298245614035,future_any_drop_within_16cycles,video_all,source_mean_resid_2,0.7286549707602339
500,0.1936127744510978,0.4991485380116959,0.6480701754385965,future_any_drop_within_16cycles,video_all,source_mean_resid_4,0.5789473684210527
500,0.09580838323353294,0.4996678362573099,0.643391812865497,future_any_drop_within_16cycles,video_all,source_mean_resid_8,0.6175438596491228
500,0.36926147704590817,0.4974970760233919,0.6363157894736842,future_any_drop_within_16cycles,video_all,source_confound_filter_0.10,0.5321637426900585
500,0.21357285429141717,0.4966479532163743,0.6409941520467836,future_any_drop_within_16cycles,video_all,source_confound_filter_0.25,0.5719298245614035
500,0.003992015968063872,0.4914713450292397,0.6306432748538011,future_any_drop_within_16cycles,video_all,source_confound_filter_0.50,0.7695906432748537
500,0.08782435129740519,0.4965754385964912,0.6339181286549708,future_any_drop_within_16cycles,video_plus_echem,raw,0.6116959064327485
500,0.017964071856287425,0.4980491228070176,0.6457309941520467,future_any_drop_within_16cycles,video_plus_echem,source_mean_resid_1,0.6783625730994152
500,0.031936127744510975,0.4982947368421052,0.6433333333333332,future_any_drop_within_16cycles,video_plus_echem,source_mean_resid_2,0.6561403508771929
500,0.003992015968063872,0.4966479532163743,0.6281286549707602,future_any_drop_within_16cycles,video_plus_echem,source_mean_resid_4,0.7286549707602339
500,0.001996007984031936,0.4967228070175438,0.627017543859649,future_any_drop_within_16cycles,video_plus_echem,source_mean_resid_8,0.7181286549707603
500,0.15568862275449102,0.4968982456140351,0.6374269005847953,future_any_drop_within_16cycles,video_plus_echem,source_confound_filter_0.10,0.5883040935672514
500,0.0658682634730539,0.4965076023391813,0.6328654970760234,future_any_drop_within_16cycles,video_plus_echem,source_confound_filter_0.25,0.6233918128654972
500,0.011976047904191617,0.49808654970760236,0.6411111111111109,future_any_drop_within_16cycles,video_plus_echem,source_confound_filter_0.50,0.7029239766081872
