target,feature_set,method,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_metric,base_metric
future_any_drop_within_16cycles,echem_regime,source_mean_resid_1,echem_regime_source_mean_resid_1_minus_same_raw,-0.12631578947368416,-0.020087330847793128,-0.17785912199515624,0.4631578947368421,0.5894736842105263
future_any_drop_within_16cycles,echem_regime,source_confound_filter_0.50,echem_regime_source_confound_filter_0.50_minus_same_raw,-0.12631578947368416,-0.06630614900933574,-0.1780861496761041,0.4631578947368421,0.5894736842105263
future_any_drop_within_16cycles,video_plus_echem,raw,video_plus_echem_raw_minus_acquisition_raw,-0.1333333333333333,-0.07938064673568879,-0.1875952391729877,0.6116959064327485,0.7450292397660818
future_any_drop_within_16cycles,echem_regime,source_mean_resid_2,echem_regime_source_mean_resid_2_minus_same_raw,-0.14736842105263148,-0.0051551471768119805,-0.20750230899434896,0.4421052631578948,0.5894736842105263
future_any_drop_within_16cycles,video_plus_echem,source_confound_filter_0.10,video_plus_echem_source_confound_filter_0.10_minus_acquisition_raw,-0.15672514619883038,-0.12998354373159504,-0.2205066846419329,0.5883040935672514,0.7450292397660818
future_any_drop_within_16cycles,acquisition_context,source_confound_filter_0.25,acquisition_context_source_confound_filter_0.25_minus_same_raw,-0.256140350877193,-0.0998664088661021,-0.36038032788495,0.4888888888888888,0.7450292397660818
future_any_drop_within_16cycles,acquisition_context,source_mean_resid_2,acquisition_context_source_mean_resid_2_minus_same_raw,-0.3122807017543859,-0.14949261682311688,-0.4393677970104185,0.43274853801169594,0.7450292397660818
future_any_drop_within_16cycles,acquisition_context,source_confound_filter_0.50,acquisition_context_source_confound_filter_0.50_minus_same_raw,-0.32982456140350874,-0.14722279359027468,-0.4640513811121274,0.4152046783625731,0.7450292397660818
future_any_drop_within_16cycles,acquisition_context,source_mean_resid_8,acquisition_context_source_mean_resid_8_minus_same_raw,-0.34970760233918124,-0.15339811539049963,-0.4920261097607308,0.3953216374269006,0.7450292397660818
future_any_drop_within_8cycles,video_all,source_mean_resid_2,video_all_source_mean_resid_2_minus_same_raw,0.13503086419753085,0.09319484972505632,0.23390287854514857,0.8464506172839505,0.7114197530864197
future_any_drop_within_8cycles,video_all,source_confound_filter_0.50,video_all_source_confound_filter_0.50_minus_same_raw,0.09104938271604957,0.06458490622143642,0.15771736953330018,0.8024691358024693,0.7114197530864197
future_any_drop_within_8cycles,video_all,source_mean_resid_1,video_all_source_mean_resid_1_minus_same_raw,0.06790123456790131,0.04681743014861239,0.11761973321127478,0.779320987654321,0.7114197530864197
future_any_drop_within_8cycles,video_all,source_mean_resid_4,video_all_source_mean_resid_4_minus_same_raw,0.044753086419753174,0.019426894373808845,0.07752209688924927,0.7561728395061729,0.7114197530864197
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_1,video_plus_echem_source_mean_resid_1_minus_same_raw,0.03935185185185175,0.020447114308534742,0.06816598174744332,0.7839506172839505,0.7445987654320988
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_2,video_plus_echem_source_mean_resid_2_minus_same_raw,0.024691358024691357,0.017775225056699706,0.04277081207682715,0.7692901234567902,0.7445987654320988
future_any_drop_within_8cycles,echem_regime,source_mean_resid_4,echem_regime_source_mean_resid_4_minus_same_raw,0.006944444444444531,-0.013785759877091075,0.012038585308576877,0.701388888888889,0.6944444444444444
future_any_drop_within_8cycles,acquisition_context,source_mean_resid_1,acquisition_context_source_mean_resid_1_minus_same_raw,0.0,0.0,0.0,1.0,1.0
future_any_drop_within_8cycles,acquisition_context,source_confound_filter_0.10,acquisition_context_source_confound_filter_0.10_minus_same_raw,0.0,0.0,0.0,1.0,1.0
future_any_drop_within_8cycles,echem_regime,source_confound_filter_0.10,echem_regime_source_confound_filter_0.10_minus_same_raw,-0.006944444444444531,-0.0024122807017543657,-0.012038585308576932,0.6874999999999999,0.6944444444444444
future_any_drop_within_8cycles,video_plus_echem,source_confound_filter_0.50,video_plus_echem_source_confound_filter_0.50_minus_same_raw,-0.015432098765432056,-0.034679517954044226,-0.026731757548016988,0.7291666666666667,0.7445987654320988
future_any_drop_within_8cycles,video_all,source_mean_resid_8,video_all_source_mean_resid_8_minus_same_raw,-0.02083333333333326,-0.06813065446077604,-0.036087872689822886,0.6905864197530864,0.7114197530864197
future_any_drop_within_8cycles,video_plus_echem,source_confound_filter_0.25,video_plus_echem_source_confound_filter_0.25_minus_same_raw,-0.02083333333333337,-0.04810795337149565,-0.036087872689823,0.7237654320987654,0.7445987654320988
future_any_drop_within_8cycles,video_plus_echem,source_confound_filter_0.10,video_plus_echem_source_confound_filter_0.10_minus_same_raw,-0.027006172839506237,-0.05305614524691038,-0.046780575709029715,0.7175925925925926,0.7445987654320988
future_any_drop_within_8cycles,video_all,source_confound_filter_0.10,video_all_source_confound_filter_0.10_minus_same_raw,-0.03472222222222221,-0.03332169902594373,-0.06014645448303818,0.6766975308641975,0.7114197530864197
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_4,video_plus_echem_source_mean_resid_4_minus_same_raw,-0.03780864197530864,-0.043430378369034184,-0.06549280599264157,0.7067901234567902,0.7445987654320988
future_any_drop_within_8cycles,echem_regime,source_confound_filter_0.25,echem_regime_source_confound_filter_0.25_minus_same_raw,-0.05555555555555558,-0.06234367484367487,-0.09525497193681656,0.6388888888888888,0.6944444444444444
future_any_drop_within_8cycles,echem_regime,source_confound_filter_0.50,echem_regime_source_confound_filter_0.50_minus_same_raw,-0.05555555555555558,-0.019066568679571794,-0.09525497193681656,0.6388888888888888,0.6944444444444444
future_any_drop_within_8cycles,echem_regime,source_mean_resid_1,echem_regime_source_mean_resid_1_minus_same_raw,-0.06944444444444442,-0.057255204662325365,-0.12038585308576918,0.625,0.6944444444444444
future_any_drop_within_8cycles,acquisition_context,source_mean_resid_2,acquisition_context_source_mean_resid_2_minus_same_raw,-0.08256172839506182,-0.057003910705842764,-0.1430149028818909,0.9174382716049382,1.0
future_any_drop_within_8cycles,video_all,source_confound_filter_0.25,video_all_source_confound_filter_0.25_minus_same_raw,-0.12345679012345667,-0.15730905244996807,-0.21385406038413582,0.587962962962963,0.7114197530864197
future_any_drop_within_8cycles,echem_regime,source_mean_resid_8,echem_regime_source_mean_resid_8_minus_same_raw,-0.16666666666666663,-0.15067944110126763,-0.2889260474058461,0.5277777777777778,0.6944444444444444
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_1,video_plus_echem_source_mean_resid_1_minus_acquisition_raw,-0.21604938271604945,-0.1680147659456357,-0.3742446056722377,0.7839506172839505,1.0
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_2,video_plus_echem_source_mean_resid_2_minus_acquisition_raw,-0.23070987654320985,-0.17068665519747073,-0.3996397753428539,0.7692901234567902,1.0
future_any_drop_within_8cycles,video_plus_echem,raw,video_plus_echem_raw_minus_acquisition_raw,-0.2554012345679012,-0.18846188025417043,-0.44241058741968103,0.7445987654320988,1.0
future_any_drop_within_8cycles,echem_regime,source_mean_resid_2,echem_regime_source_mean_resid_2_minus_same_raw,-0.2638888888888889,-0.1789943766530454,-0.457466241725923,0.4305555555555555,0.6944444444444444
future_any_drop_within_8cycles,acquisition_context,source_mean_resid_4,acquisition_context_source_mean_resid_4_minus_same_raw,-0.2646604938271605,-0.24225642329522068,-0.4584496419484912,0.7353395061728395,1.0
future_any_drop_within_8cycles,video_plus_echem,source_confound_filter_0.50,video_plus_echem_source_confound_filter_0.50_minus_acquisition_raw,-0.27083333333333326,-0.22314139820821466,-0.469142344967698,0.7291666666666667,1.0
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_8,video_plus_echem_source_mean_resid_8_minus_same_raw,-0.2723765432098766,-0.34510276303814424,-0.47181552072249966,0.4722222222222222,0.7445987654320988
future_any_drop_within_8cycles,video_plus_echem,source_confound_filter_0.25,video_plus_echem_source_confound_filter_0.25_minus_acquisition_raw,-0.2762345679012346,-0.23656983362566608,-0.47849846010950403,0.7237654320987654,1.0
future_any_drop_within_8cycles,video_plus_echem,source_confound_filter_0.10,video_plus_echem_source_confound_filter_0.10_minus_acquisition_raw,-0.28240740740740744,-0.2415180255010808,-0.48919116312871075,0.7175925925925926,1.0
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_4,video_plus_echem_source_mean_resid_4_minus_acquisition_raw,-0.29320987654320985,-0.23189225862320462,-0.5079033934123226,0.7067901234567902,1.0
future_any_drop_within_8cycles,acquisition_context,source_mean_resid_8,acquisition_context_source_mean_resid_8_minus_same_raw,-0.3163580246913581,-0.3204761166075505,-0.548001029734348,0.6836419753086419,1.0
future_any_drop_within_8cycles,video_plus_echem,source_mean_resid_8,video_plus_echem_source_mean_resid_8_minus_acquisition_raw,-0.5277777777777778,-0.5335646432923147,-0.9142261081421807,0.4722222222222222,1.0
future_any_drop_within_8cycles,acquisition_context,source_confound_filter_0.50,acquisition_context_source_confound_filter_0.50_minus_same_raw,-0.5779320987654322,-0.4845627960275314,-1.001104320173236,0.4220679012345679,1.0
future_any_drop_within_8cycles,acquisition_context,source_confound_filter_0.25,acquisition_context_source_confound_filter_0.25_minus_same_raw,-0.6435185185185184,-0.49243910250417366,-1.1147142897523081,0.35648148148148157,1.0
