roi_id,source_stem,h5_path,status,n_timing,elapsed_s,dt_median_s,dt_p10_s,dt_p90_s,dt_max_to_median_ratio
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9106.526124715805,99.89405534043908,90.2887824304402,100.78954299315811,1.0134468686794034
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9106.526124715805,99.89405534043908,90.2887824304402,100.78954299315811,1.0134468686794034
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9100.682447873056,100.03544535115361,90.32178763151168,100.90738596245646,1.0136631555467062
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9100.682447873056,100.03544535115361,90.32178763151168,100.90738596245646,1.0136631555467062
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9115.646501589566,99.96477937698364,90.31235132515431,100.8131418466568,1.0148515068380812
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9115.646501589566,99.96477937698364,90.31235132515431,100.8131418466568,1.0148515068380812
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9119.935490276664,99.94118233025074,90.50087394937873,101.01580562964082,1.01485538191652
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,10_c2_x10_030723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/10_c2_x10_030723.hdf5,ok,96,9119.935490276664,99.94118233025074,90.50087394937873,101.01580562964082,1.01485538191652
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9048.67356107384,90.75066605210304,90.14739987850189,100.64817025512457,1.11425600859497
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9048.67356107384,90.75066605210304,90.14739987850189,100.64817025512457,1.11425600859497
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9062.552844729275,91.17483854293823,90.2887778878212,100.94037466645241,1.1139829710911697
source_balanced_cycle98_rank6_obj2_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9062.552844729275,91.17483854293823,90.2887778878212,100.94037466645241,1.1139829710911697
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9064.27415401116,91.1041423715651,90.27465126290917,100.92152078449726,1.1114847884171604
source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9064.27415401116,91.1041423715651,90.27465126290917,100.92152078449726,1.1114847884171604
source_balanced_cycle102_rank8_obj1_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9061.895798057318,91.26912667229772,90.13798727840185,100.87442349418998,1.1110251167578489
source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9061.895798057318,91.26912667229772,90.13798727840185,100.87442349418998,1.1110251167578489
source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9065.996495399624,91.5047853179276,90.17098169773817,101.08180056139827,1.111254246486867
source_balanced_cycle104_rank9_obj2_11_c2_x10_050723,11_c2_x10_050723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/11_c2_x10_050723.hdf5,ok,96,9065.996495399624,91.5047853179276,90.17098169773817,101.08180056139827,1.111254246486867
source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/12_c2_x10_070723.hdf5,ok,96,9086.353796061128,100.08258805051446,90.2887758217752,100.80369159281254,1.0120084820771245
source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/12_c2_x10_070723.hdf5,ok,96,9086.353796061128,100.08258805051446,90.2887758217752,100.80369159281254,1.0120084820771245
source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,12_c2_x10_070723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/12_c2_x10_070723.hdf5,ok,96,9088.19185627997,100.1061520986259,90.35004596337676,100.94508466944099,1.0145951189947866
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,12_c2_x10_070723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/NMC_degradation_3_160623_Halfthedata/12_c2_x10_070723.hdf5,ok,96,9088.19185627997,100.1061520986259,90.35004596337676,100.94508466944099,1.0145951189947866
