roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,degradation_mode_hypothesis,threshold_quantile,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_delta_px2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_um2_per_s,interface_density_delta,interface_density_slope_per_s,interface_density_slope_r2,centroid_path_px,centroid_net_px
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.55,0.05908747389912605,0.445326542840024,0.43828639904134215,-0.007040143798681842,1.7249507197504215e-06,0.01606997831219692,-1.7949161501128401,-0.0005911335005252997,0.019351565738542575,-1.3619715852102905e-06,-0.005392450569203122,-4.547171424775105e-07,0.10464349882199164,18.493993768791086,0.16760274800103306
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.6,0.0645269826054573,0.3943978430197723,0.3876572798082684,-0.006740563211503903,1.6416048472072982e-06,0.015770971512411247,-1.9164289768841627,-0.00033946923303200055,0.007491059716893345,-7.821371129057293e-07,-0.002246854403834625,-2.691522971778093e-07,0.11951293267834551,18.997542251761647,0.3339011409543026
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.65,0.07054155282676221,0.3466147393648892,0.3421210305572199,-0.0044937088076693055,1.5531906341321157e-06,0.01626408980186589,12.061803050645949,0.00019619826851068262,0.004316015721598454,4.5204081064861277e-07,-0.003295386458957439,-2.4539478923951638e-08,0.0003741048004889391,22.969566642661913,0.4300292405218454
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.7,0.07759678438305855,0.292840023966447,0.2901437986818454,-0.002696225284601561,1.2572894658880078e-06,0.01299979312167776,18.962658262110835,0.001130640674112391,0.2900129998542643,2.604996113154949e-06,-0.0008987417615338444,7.269583083988019e-08,0.0017211326197756893,22.61605188393202,0.5737425033661222
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.75,0.08622355200350285,0.2434092270820851,0.24221090473337328,-0.001198322348711811,1.179239475863228e-06,0.01439095441711069,15.40509319252169,0.0018727184568637057,0.32011730672807326,4.314743324613978e-06,0.0008987417615338722,3.453514879501638e-07,0.02304240162472837,23.034028368924123,0.4450378914138955
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.8,0.09805515855550766,0.19562612342720193,0.19412822049131218,-0.00149790293588975,1.1367139704067813e-06,0.01839886665549617,3.925890477000735,0.002038883511844299,0.09907292748384922,4.697587611289266e-06,0.002246854403834639,4.87214375025687e-07,0.029164054217505453,24.305631018031274,0.24469624148789376
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,0.85,0.11617519743740558,0.1469442780107849,0.14409826243259438,-0.0028460155781905305,5.996057785319683e-07,0.009800204917014388,23.162331703616132,0.00317211616210397,0.07966820328069424,7.308555637487547e-06,0.0011983223487117972,3.7733360130966645e-07,0.020104281846637373,25.83393407720822,0.6680410970911278
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.55,0.07739007472991943,0.43753744757339724,0.44802276812462555,0.010485320551228305,3.0038813636319755e-06,0.03794662129989246,2.421756196353499,0.0011859277516558227,0.12245536681767333,2.7323775398150153e-06,-0.0013481126423007805,3.03769782363086e-07,0.040910678781753806,18.07979057192406,0.3816682080087222
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.6,0.08444451987743377,0.38825644098262435,0.39469742360695026,0.006440982624325908,2.71873073887196e-06,0.037141266569062026,4.651081418230319,0.0016544082415942776,0.1158297307776972,3.8117565886332157e-06,0.0035949670461354333,4.896417911245141e-07,0.054578481402097534,19.804404476391365,0.3544727314881224
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.65,0.09254405945539475,0.3373277411623727,0.34766327142001197,0.01033553025763928,2.322074607693005e-06,0.03558985956279359,21.006936435648527,0.0019820891529404904,0.11050689618001619,4.56673340837489e-06,0.007489514679448778,5.835941133720236e-07,0.0645313871743598,20.129866578331594,0.21332833198734102
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.7,0.10179450958967208,0.292840023966447,0.29808268424206114,0.005242660275614153,1.8999294020920254e-06,0.03406732908920351,19.188253286894792,0.0015438734417056903,0.05345145295946785,3.5570844096899108e-06,0.00449370880766925,4.702804845445558e-07,0.03675516069719409,22.049186979886876,0.24812139051096355
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.75,0.11312706768512726,0.2474535650089874,0.2434092270820851,-0.004044337926902314,1.4612588871089248e-06,0.03187446533491267,16.423629726205945,0.0022079947915185734,0.07209941221051386,5.087219999658793e-06,0.002696225284601575,4.3949948609136666e-07,0.03221340651353255,24.817702892705142,0.02856966130954663
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.8,0.12688325345516205,0.19712402636309168,0.1957759137207909,-0.0013481126423007805,1.1042770836453817e-06,0.033726479366831597,9.451509640630434,0.002684340727556993,0.08026542428405148,6.1847210362913115e-06,0.0010485320551228278,2.1324305618131465e-07,0.013018568578725964,27.5940953355782,0.2934898211477635
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,0.85,0.14376966357231136,0.14529658478130617,0.14964050329538645,0.0043439185140802805,8.597799241547975e-07,0.03491464830913482,26.846413423732997,0.0028782295797761255,0.07792202653683455,6.631440951804193e-06,0.002246854403834639,1.0293804437999213e-08,6.141355103672641e-05,27.7214972743726,0.8461175293585084
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.55,0.05933501534163952,0.4381366087477531,0.44547633313361296,0.007339724385859836,1.6543487229356863e-06,0.025998590295151836,15.884117278522126,0.00027947748928228296,0.03401874852620068,6.439161353063799e-07,0.0043439185140802805,-1.1778950168356987e-07,0.005211657465772568,17.74075863985015,0.17336076350311067
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.6,0.06404808163642883,0.39215098861593767,0.3969442780107849,0.004793289394847244,1.3687249530736789e-06,0.01927742838648505,17.74109344595479,0.0002596738960961242,0.014906165819323247,5.982886566054701e-07,0.005392450569203122,-1.0098172460477388e-07,0.005809947000975257,17.87807699374043,0.29358893950871906
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.65,0.069180453941226,0.3421210305572199,0.34376872378669865,0.001647693229478775,1.059427006087725e-06,0.013082164867174062,8.665390382656255,-0.00010664127639688212,0.0015784149935977876,-2.457015008184164e-07,0.0017974835230677166,-8.0098251361605e-08,0.006867780482965102,20.065608834159615,0.33014409167041747
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.7,0.07436080500483512,0.2944877171959257,0.2982324745356501,0.0037447573397244027,9.600876407879318e-07,0.012358466525471345,14.451643279804898,-0.0006508661074446319,0.05332678258722745,-1.499595511552432e-06,0.00149790293588975,1.7673322020627233e-08,0.00017269359070226642,21.938002337596558,0.33453630826348096
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.75,0.08052332885563374,0.24625524266027563,0.2470041941282205,0.000748951467944875,6.98346223984705e-07,0.008114052069990718,15.248904814390244,-0.0011323899464547127,0.13122884381879207,-2.609026436631658e-06,0.003744757339724375,-7.818296647213585e-08,0.0019850655325803768,26.09323358288324,0.5164949905769165
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.8,0.08754271268844604,0.1968244457759137,0.1969742360695027,0.0001497902935889972,6.496732992520133e-07,0.011318034986967929,14.967980971231214,-0.0009397714019725096,0.08042702552299041,-2.165233310144662e-06,0.0016476932294787333,1.1177620519253493e-07,0.005148303706330903,30.113108868024028,0.5049792776961068
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,0.85,0.09631528705358504,0.1476932294787298,0.14844218094667466,0.000748951467944875,2.4622964751119306e-07,0.003488463937599051,12.392645370197897,-0.0009508963416387629,0.059149949504820776,-2.1908651711357095e-06,0.002696225284601561,-3.162811172491627e-08,0.00044414209442344976,36.02617177427302,0.1749468951557041
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.55,0.05329968761652709,0.4394847213900539,0.4486219292989814,0.009137207908927525,2.257455463322371e-06,0.023890356641621202,1.5406101739664564,-5.991956549012523e-06,2.935190383723807e-05,-1.3805467888924853e-08,0.005542240862792064,7.675999860220523e-08,0.0029202120766174122,18.97382194483371,0.5174276385740136
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.6,0.05877793952822685,0.38870581186339126,0.4003894547633313,0.011683642899940061,2.202532801714303e-06,0.0268238859385177,4.717011260107029,-1.8692248349258588e-05,0.00018701496715323174,-4.306694019669179e-08,0.0035949670461354055,6.063266908648213e-08,0.001570307904505075,16.974766698202348,0.30632633818805466
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.65,0.06480160392820836,0.3445176752546435,0.347363690832834,0.0028460155781905305,2.223791369555589e-06,0.03131986591298541,-0.145541369030866,0.0004788972068616737,0.11034897823736889,1.1033791646092963e-06,-0.0013481126423007805,1.1497325796515791e-07,0.0047800684844011565,20.545548899231438,0.31792669629386905
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.7,0.07212409302592278,0.2937387657279808,0.29793289394847217,0.004194128220491367,2.287804201056967e-06,0.03952476224572332,-13.11995936857204,0.0006981126602786982,0.07212154944478943,1.6084515692821207e-06,0.0017974835230677166,3.2732495860957725e-07,0.0323077965688896,20.64813877201497,0.4376651811199399
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.75,0.08138136006891727,0.24251048532055122,0.24820251647693228,0.005692031156381061,2.0573076864402237e-06,0.04055342227447434,-7.103083741165051,0.0004633870617749615,0.024262736857401546,1.0676437903295113e-06,-0.0005991611743558917,3.0535712484955803e-07,0.04032999729775344,23.417898799513974,0.5052887292169461
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.8,0.09206659346818924,0.1908328340323547,0.1983223487118035,0.007489514679448778,1.9547552434298144e-06,0.04186461590320423,9.775268322527722,0.0005209819204161426,0.02239796350398937,1.2003423446387927e-06,0.00644098262432595,4.1941036385153605e-07,0.03815439014693134,24.715916058097697,0.6146177859938842
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,0.85,0.10720989033579824,0.14409826243259438,0.14649490713001798,0.0023966446974235944,1.5406970732842744e-06,0.029415793885530173,-5.084988244497481,-0.00010602175969403588,0.0008026985686929722,-2.4427413433505867e-07,0.002246854403834625,5.031157639967359e-07,0.039340186801744115,26.22728321853309,1.257117546068092
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.55,0.0725836381316185,0.46000599161174355,0.4549131216297184,-0.005092869982025128,4.334116796713372e-06,0.10101664683818323,0.9351517971074372,0.00022400098971607618,0.028926864333635893,5.160982803058395e-07,-0.005991611743559028,4.4469677007255556e-07,0.03598252372177091,19.747473492935548,0.37788343521489165
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.6,0.07956432551145554,0.4078789694427801,0.40533253445176753,-0.0025464349910125916,3.778864967250886e-06,0.08909879858291503,-9.454947710763122,0.0003298734059739182,0.03143674099494309,7.600283273639076e-07,-0.001947273816656686,3.3465631123178757e-07,0.018243811927218245,19.189397913260642,0.11383248533898056
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.65,0.08739463090896607,0.36084481725584183,0.3554523666866387,-0.005392450569203122,3.415950837204047e-06,0.08805464232921356,-4.822964242287867,0.0006008132018937078,0.04668668527210229,1.3842736171631027e-06,-0.0035949670461354055,5.737645506761535e-07,0.04583801402442911,21.504388955645993,0.1701690274384773
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.7,0.09628678783774376,0.3093169562612343,0.30407429598562014,-0.005242660275614153,2.787435819630003e-06,0.07234379477785335,-0.2526676129248244,0.000717555945973259,0.03420286146215856,1.6532488995223887e-06,-0.0032953864589574666,6.917697915338882e-07,0.0485307306320496,22.987042754861516,0.3386734404861837
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.75,0.10575320571660995,0.2541941282204913,0.2547932893948472,0.0005991611743558778,2.713444205550756e-06,0.08231797311663636,4.391172027130892,0.0014608729352001415,0.081177675334274,3.3658512427011262e-06,-0.003145596165368497,9.026106195308469e-07,0.06072566376716526,23.752880058797665,0.3040122767195706
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.8,0.1173106625676155,0.20416417016177352,0.20371479928100658,-0.0004493708807669361,2.3122825432384704e-06,0.07661832298006688,2.0845744680850657,0.0015528683252757256,0.045821131073981,3.577808621435272e-06,-0.002696225284601561,7.357689305629525e-07,0.03683178988752345,27.45859730135182,0.40431232219280794
cycle116_rank12_obj1,116.0,transfer_warning,0,116.0,,0.85,0.13307118415832517,0.15458358298382266,0.15263630916716597,-0.001947273816656686,1.9061462102459193e-06,0.08323746747084881,-4.769765920380905,0.0017735593928802243,0.04829644596113358,4.086280841196037e-06,-0.0025464349910125778,5.983500580842841e-07,0.04244974401678281,30.179092900479095,0.4785882546688792
cycle116_rank12_obj3,116.0,transfer_warning,0,116.0,,0.55,0.04420092925429345,0.45775913720790895,0.4592570401437987,0.00149790293588975,6.178284471940075e-06,0.12876379884236566,1.9703452491949065,-0.0020894374700743323,0.2648831182994408,-4.8140639310512615e-06,-0.0037447573397244027,-3.548983431657178e-07,0.1201258763067613,20.110090848164983,0.24955443539575412
cycle116_rank12_obj3,116.0,transfer_warning,0,116.0,,0.6,0.048418252170085906,0.4072798082684242,0.4072798082684242,0.0,5.967572550246292e-06,0.12269964532021782,-7.229863920558955,-0.002217048126676388,0.24907508811421242,-5.108078883862397e-06,-0.001198322348711811,3.590321128636664e-08,0.000551598718329549,19.82639156539944,0.5410332250645064
cycle116_rank12_obj3,116.0,transfer_warning,0,116.0,,0.65,0.05330774728208781,0.35904733373277414,0.3579988016776513,-0.0010485320551228416,5.68650041851499e-06,0.1229178452305616,-10.594858636056642,-0.0021930477616213767,0.23710625334364388,-5.052782042775652e-06,-0.0010485320551228416,5.774369389716281e-07,0.05035551503743174,22.802505829749453,0.5537806654527068
