rho,p_value,n,roi_feature,event_meta_feature
,,4,roi_norm_mean_delta,n_event_particles
,,4,roi_norm_mean_delta,mean_drop_frac
,,4,roi_norm_mean_delta,evidence_score
,,4,roi_norm_mean_delta,n_frames_percentile
,,3,roi_norm_mean_delta,V_mean
,,3,roi_norm_mean_delta,I_abs_mean_mA
,,4,high_fraction_slope,n_event_particles
,,4,high_fraction_slope,mean_drop_frac
,,4,high_fraction_slope,evidence_score
,,4,high_fraction_slope,n_frames_percentile
,,3,high_fraction_slope,V_mean
,,3,high_fraction_slope,I_abs_mean_mA
,,4,cumulative_abs_norm_change,n_event_particles
,,4,cumulative_abs_norm_change,mean_drop_frac
,,4,cumulative_abs_norm_change,evidence_score
,,4,cumulative_abs_norm_change,n_frames_percentile
,,3,cumulative_abs_norm_change,V_mean
,,3,cumulative_abs_norm_change,I_abs_mean_mA
,,4,latent_net_displacement,n_event_particles
,,4,latent_net_displacement,mean_drop_frac
,,4,latent_net_displacement,evidence_score
,,4,latent_net_displacement,n_frames_percentile
,,3,latent_net_displacement,V_mean
,,3,latent_net_displacement,I_abs_mean_mA
