video_cohort,cycleNo,n_roi,weak_future_drop_label,phase_slope_median_per_s,radius2_slope_median_px2_per_s,persistence_particle_mse_mean,low_rank_dmd_particle_mse_mean,threshold_robust_phase_score
selected,86.0,5,0.0,3.26955286871634e-06,-0.00017579335415258,0.00014480162370772404,0.00834096568505624,0.5365384615384616
selected,116.0,6,0.0,3.593001559653213e-06,-8.029257566325998e-05,8.906306652532454e-05,0.00560250631533558,0.698076923076923
transfer_ranked,40.0,4,0.0,1.5799598276205668e-06,0.0007313126953457501,8.209054432482284e-05,0.005194904845666299,0.6614583333333333
transfer_ranked,116.0,4,0.0,3.254343253030876e-06,-0.0007283046675398001,7.024267657127811e-05,0.00449492949019255,0.96875
transfer_ranked,146.0,4,0.0,2.6414309254655345e-06,-0.0024685355287310997,0.00013213735709876906,0.005118631439927375,0.609375
transfer_ranked,147.0,4,0.0,3.909132403986564e-06,-0.00274935232829705,0.00012671898741697043,0.0028719752376673,0.7291666666666666
transfer_ranked,148.0,4,1.0,3.3765221287578366e-06,-0.001889590585943375,0.00017044649067085,0.003833961683085325,0.8124999999999999
transfer_ranked,150.0,4,1.0,2.4705466750303487e-06,0.000594076006033925,0.000159983973134025,0.004174375328147975,1.0104166666666665
transfer_ranked,151.0,4,1.0,1.225881190181032e-06,0.0020580840618898,0.0008459397190847,0.01038921096369445,0.3984374999999999
transfer_ranked,152.0,4,1.0,-1.5472924804072575e-07,0.002254357184167925,0.000685936834457775,0.008501239724864674,-0.04687500000000004
transfer_ranked,153.0,4,1.0,-1.3935186192669693e-06,0.0058643302259366505,0.00274015241981825,0.0109301441298157,0.12239583333333334
transfer_ranked,154.0,4,1.0,-6.67914978256358e-07,0.0032410684589924002,0.000675018958645475,0.0086876133937039,-0.140625
transfer_ranked,155.0,4,1.0,-6.67807191344622e-07,0.0025268947217784252,0.00279528787362435,0.0072207720477308,0.015624999999999944
transfer_ranked,156.0,4,0.0,2.3041508190211656e-06,-9.358048427107616e-05,0.00017011805610419678,0.0089509379395167,0.9843749999999998
