roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,front_radius_slope_r2,apparent_diffusion_proxy_ds_px2_per_frame,n_event_particles,mean_drop_frac,evidence_score,degradation_mode_hypothesis,roi_mean_delta,timing_elapsed_s,seconds_per_sample,low_threshold,high_threshold,mid_threshold,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,mid_fraction_delta,mid_fraction_slope_per_frame,high_radius2_delta_px2,high_radius2_slope_px2_per_frame,high_radius2_slope_r2,low_radius2_delta_px2,low_radius2_slope_px2_per_frame,interface_density_mean,interface_density_delta,interface_density_slope_per_frame,centroid_path_px,centroid_net_px,temporal_diff_energy,first_last_corr,cumulative_abs_first_last,high_fraction_slope_per_s,low_fraction_slope_per_s,mid_fraction_slope_per_s,high_radius2_slope_px2_per_s,low_radius2_slope_px2_per_s,interface_density_slope_per_s
cycle58_rank6_obj29,58.0,7_c2_x10_290623,control,0,60.0,,1.6155277307729818,0.5355133694368999,0.0003492805402585,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0001609325408935,9250.204203328,97.37057056134736,0.05790708586573601,0.1286580666899681,0.09328257627785205,0.29059316956261233,0.2910425404433793,0.00044937088076696385,0.00019320550252977236,0.032380450453787346,-0.001198322348711811,-0.0001606151415148467,-0.0002995805871779944,0.00025195938382954183,-6.115486732706927,0.0014022868734571042,4.060487837076465e-06,6.84578430657848,0.10479262593975404,0.1812634187138007,0.004943079688436186,-1.550427068950831e-05,17.31302398149852,0.38457184118444926,0.0002939786936622113,0.9707466068408069,0.022415343672037125,1.9842289247760455e-06,-1.6495244978938756e-06,2.5876338443636553e-06,1.4401547257788812e-05,0.0010762248319550565,-1.592295351678154e-07
cycle58_rank4_obj2,58.0,7_c2_x10_290623,control,0,60.0,,1.1091514494562902,0.2533090934767632,-0.0004637138116359,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,2.7194619178771973e-06,9250.204203328,97.37057056134736,0.04714991562068462,0.0955252319574356,0.07133757378906011,0.29343918514080286,0.29463750748951467,0.001198322348711811,0.00014117410069744015,0.020971221661900796,0.00149790293588975,-0.00028740352220943594,0.003445176752546464,0.00020745711836310589,3.7592268343959176,0.1492263573379494,0.046340721607567525,-7.789150219309704,0.021328288075392395,0.20930540992610344,0.00449370880766925,2.704332491213375e-05,18.168419645964555,0.17768622315049282,0.00013120427320245653,0.9775682648340418,0.015563944354653358,1.4498641620724077e-06,-2.95164668906156e-06,2.1305936400198004e-06,0.0015325611884335298,0.00021904244734762766,2.7773612454181285e-07
cycle58_rank1_obj1,58.0,7_c2_x10_290623,control,0,60.0,,0.7330214581610461,0.0116381616728487,-3.551275259375952e-05,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.000137373805046,9250.204203328,97.37057056134736,0.03759052157402039,0.0753799021244049,0.056485211849212645,0.2932893948472139,0.2940383463151588,0.0007489514679449027,7.200276368374754e-05,0.008721732285324468,0.0025464349910125916,-5.549067984149128e-05,0.0,5.819105016406288e-05,-4.3119742821356795,-0.1393291741556181,0.22209633823457098,1.8963621105840502,0.04531626007900104,0.18691176103455165,-0.004943079688436214,-1.5114149469092066e-05,15.515338684593955,0.2760301077913332,5.24935639987234e-05,0.9835700286614135,0.011886497028172016,7.394715186390216e-07,-5.698916985038095e-07,5.976246193134935e-07,-0.0014309166861442508,0.0004653999644630816,-1.5522297324497595e-07
cycle58_rank3_obj9,58.0,7_c2_x10_290623,control,0,60.0,,0.8161872484866202,0.0982345201052843,0.0002580614020299,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0001225546002388,9250.204203328,97.37057056134736,0.03118145316839218,0.06756162196397782,0.049371537566184995,0.2965847813061714,0.29718394248052726,0.0005991611743558778,0.00035482642531600695,0.07558892918251414,0.005392450569203122,-0.0004250848188553368,0.0020970641102456833,0.000489089081579876,-8.420081867057661,-0.12791470949392375,0.22911328161096634,12.04401091650675,0.27449599403326586,0.20249931346115438,0.001198322348711811,5.083462371345509e-05,23.477281878289432,0.127232584883695,0.00013336684787645936,0.9791821792309802,0.016126547008752823,3.644082840127265e-06,-4.3656396014185445e-06,5.022966166884381e-06,-0.0013136896369866946,0.002819085812589774,5.22073799304968e-07
cycle60_rank3_obj9,60.0,7_c2_x10_290623,event,1,60.0,,2.4945534720369364,0.6768568396840542,0.0004867846454059,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0001199692487716,9244.36053955,97.30905831105262,0.03185527138411998,0.06843284443020821,0.0501440579071641,0.28744757339724386,0.29254044337926904,0.005092869982025183,0.00034718959923822433,0.07219988332726734,0.00014979029358896945,-0.00043503290997595024,0.0,0.0004598045915317035,-8.011047527260644,-0.26632442957477914,0.6495584561780495,-5.223214297798677,0.3211669166596207,0.2033528060714999,-0.002696225284601561,3.356668000664527e-05,18.317405833497837,0.3057892894611326,0.00011161317524965852,0.8693920360382953,0.035909391939640045,3.56790626961385e-06,-4.470631177884269e-06,4.725198244770987e-06,-0.0027368924763762647,0.0033004832462050627,3.449491813942739e-07
cycle60_rank1_obj1,60.0,7_c2_x10_290623,event,1,60.0,,1.990971834925495,0.4067763558179186,0.0002043384224409,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-4.567205905914307e-06,9244.36053955,97.30905831105262,0.037199120968580246,0.07570320665836335,0.056451163813471796,0.2937387657279808,0.29224086279209105,-0.00149790293588975,4.5822988348055676e-05,0.0039338651424268845,-0.006890353505092872,-0.00010291682257969598,-0.00044937088076696385,8.119601088048343e-05,0.7067566391377795,-0.17147080625779335,0.2242073231091265,-0.32673306999004126,0.035331435274006444,0.19198746754543636,0.0,-1.2518421036374686e-05,15.224074761708977,0.27702245814424015,4.6774617658229545e-05,0.884558694761182,0.02804960310459137,4.7090157014551004e-07,-1.0576283890315524e-06,8.344136947758436e-07,-0.0017621258414574261,0.00036308475168948795,-1.2864599918703366e-07
cycle60_rank2_obj2,60.0,7_c2_x10_290623,event,1,60.0,,1.3721660201122636,0.2123705939250706,-0.0003672763036167,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0013901814818382,9244.36053955,97.30905831105262,0.03649751842021942,0.07670276314020157,0.056600140780210494,0.286848412222888,0.29224086279209105,0.005392450569203067,0.00018665268515559433,0.026787160442254265,-0.0002995805871779944,-0.00015505286630187982,0.005392450569203122,0.00021942489955191486,19.82137780317521,0.1714045385125117,0.4659159279986633,15.903305808024925,0.18506055303895577,0.16797733173557017,0.00014979029358896945,-2.92062626159498e-05,18.632191325059726,0.24422455068402257,0.00010179403761867434,0.9042864481677793,0.028455154970288277,1.9181429601235163e-06,-1.5934062973484608e-06,2.2549277874061183e-06,0.001761444838615226,0.001901781357778653,-3.0013919693468533e-07
cycle60_rank4_obj5,60.0,7_c2_x10_290623,event,1,60.0,,1.5337954930279185,0.2649429907887313,-0.000649790520133,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0002883002161979,9244.36053955,97.30905831105262,0.04858885444700718,0.09888367950916288,0.07373626697808502,0.28864589574595567,0.28804673457159974,-0.0005991611743559333,7.20515288362995e-05,0.0064143891150633126,-0.006590772917914933,-0.0002092197754397227,-0.0029958058717795,0.0001249901656942394,4.862304590782514,0.04285123645048583,0.00510553763113375,-7.025303029662837,-0.0765608130698532,0.20986244258038747,0.004793289394847217,4.414059058501223e-05,18.5578694782659,0.23563567698513715,0.0001228025066666305,0.843922762808349,0.036674365401268005,7.404400996871604e-07,-2.150054466367793e-06,1.2844658849200134e-06,0.00044036225603489036,-0.0007867799195540793,4.536123496737058e-07
cycle60_rank6_obj26,60.0,7_c2_x10_290623,event,1,60.0,,1.320031653911962,0.1540931493512387,-0.0002687203200089,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0003844499588012,9244.36053955,97.30905831105262,0.05777154490351677,0.13085874170064923,0.094315143302083,0.29119233073696826,0.28744757339724386,-0.0037447573397244027,0.00014715291158845671,0.019801685380678058,-0.0035949670461354333,-6.933185564084262e-05,-0.003744757339724347,0.00011262311981890912,-13.615508334459264,-0.07794634013623843,0.011058506042172178,5.367380815209572,0.12604238583947447,0.17886053275414424,-0.00044937088076690834,-3.7454684981990885e-05,17.708546514885768,0.5920211228448706,0.00027115410193800926,0.8344286417451272,0.048056766390800476,1.5122221316547535e-06,-7.12491281327791e-07,1.1573754979613967e-06,-0.0008010183377489849,0.0012952790626806245,-3.849044028590366e-07
cycle60_rank5_obj18,60.0,7_c2_x10_290623,event,1,60.0,,1.236404564188312,0.0135792364150086,7.914396233751553e-05,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0001413077116012,9244.36053955,97.30905831105262,0.0382134635001421,0.07275727391242981,0.055485368706285954,0.2855002995805872,0.2756141402037148,-0.009886159376872428,-4.760901206027212e-05,0.0020954270394288876,-0.0058418214499700305,-3.829994762622328e-05,-0.0017974835230676889,4.482330272079021e-06,-8.90935147588857,-0.15886730736845525,0.3896033601686282,-0.6756267648272569,0.1052560563070592,0.22166154883163572,0.0035949670461354055,9.470599001875166e-06,17.10714176044822,0.08511319691347975,5.0494541937951e-05,0.8976056754686801,0.030066566541790962,-4.892557063710127e-07,-3.935907744970241e-07,4.606282652279974e-08,-0.001632605536687335,0.0010816676076609811,9.732494760767271e-08
