target,model,prefix_fraction,heldout_event_reference_cycle,n_train,n_test,mae,baseline_median_mae,mae_ratio_vs_baseline,spearman_rho,feature_set
mode_review_priority,random_forest,0.5,86.0,38,14,0.7454064516436242,1.043269230769231,0.7144909766906626,-0.6996703903820868,prefix_plus_context
mode_review_priority,random_forest,0.5,116.0,42,10,0.7877220733556707,1.5423076923076926,0.5107424914525545,0.05454545454545454,prefix_plus_context
mode_review_priority,random_forest,0.5,156.0,38,14,1.2885543673423143,0.8578296703296707,1.502109814932273,0.35423563789784895,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,ridge,0.75,60.0,38,14,0.15252661308693893,0.16163456214366181,0.943650980731289,0.276464023414137,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.75,86.0,38,14,0.06035785596506691,0.05606984417311104,1.0764762566258788,-0.08608609519080314,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.75,116.0,42,10,0.010939291424862937,0.0298734629116268,0.3661875912151232,0.14213381090374028,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.75,156.0,38,14,7.8553653601427715,0.07429488659789694,105.73224780135989,-0.5211698735875651,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,60.0,38,14,0.16389728086251565,0.16163456214366181,1.0139989782435437,0.35414812916686966,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,86.0,38,14,0.0664244537065909,0.05606984417311104,1.184673413778552,0.2675648904579017,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,116.0,42,10,0.0385918806203326,0.0298734629116268,1.2918448970746066,-0.497468338163091,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,156.0,38,14,0.10878321605645724,0.07429488659789694,1.4642086560441234,-0.241971727022798,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.75,60.0,38,14,0.21910023133590562,0.22663516914871035,0.966753007306379,0.3362637362637363,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.75,86.0,38,14,0.18382004695812496,0.19034245257453322,0.9657333110497026,0.3054945054945055,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.75,116.0,42,10,0.1228795080623992,0.08726921330061974,1.4080510573541125,-0.2121212121212121,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.75,156.0,38,14,7.226109947254683,0.14865480165987383,48.61000025944817,0.054945054945054944,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.75,60.0,38,14,0.21991943551546575,0.22663516914871035,0.970367645681514,0.38461538461538464,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.75,86.0,38,14,0.18825442452134303,0.19034245257453322,0.9890301505263385,-0.09010989010989012,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.75,116.0,42,10,0.1493602883881953,0.08726921330061974,1.7114888829544956,0.10303030303030303,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.75,156.0,38,14,0.22408008869296012,0.14865480165987383,1.5073854742052757,-0.13406593406593406,prefix_only
mode_review_priority,ridge,0.75,60.0,38,14,1.6799974353561475,1.220467032967033,1.3765201271122964,-0.750275481510351,prefix_only
mode_review_priority,ridge,0.75,86.0,38,14,1.423343865762147,1.043269230769231,1.3643111708687858,-0.5654568878245166,prefix_only
mode_review_priority,ridge,0.75,116.0,42,10,1.054503317059087,1.5423076923076926,0.6837178614348194,-0.2121212121212121,prefix_only
mode_review_priority,ridge,0.75,156.0,38,14,12.16985602542976,0.8578296703296707,14.186797736609867,-0.1760177082722231,prefix_only
mode_review_priority,random_forest,0.75,60.0,38,14,1.5284838981162816,1.220467032967033,1.2523762271566155,0.4598462628611828,prefix_only
mode_review_priority,random_forest,0.75,86.0,38,14,1.0254734346087375,1.043269230769231,0.9829422783346421,-0.5852588800051418,prefix_only
mode_review_priority,random_forest,0.75,116.0,42,10,1.5533050688952954,1.5423076923076926,1.0071304686104159,0.49090909090909085,prefix_only
mode_review_priority,random_forest,0.75,156.0,38,14,1.3625593119741477,0.8578296703296707,1.5883797904198225,-0.2354236848140984,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.75,60.0,38,14,0.1684227404617818,0.16163456214366181,1.0419970718396638,-0.41583844844109863,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,ridge,0.75,86.0,38,14,0.07575017817555206,0.05606984417311104,1.3509967664914424,-0.7003220176332905,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,ridge,0.75,116.0,42,10,0.012797242733913222,0.0298734629116268,0.4283816299359294,0.14213381090374028,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,ridge,0.75,156.0,38,14,0.07616579663009089,0.07429488659789694,1.0251822180215415,-0.5397830833585494,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,60.0,38,14,0.16788977521704404,0.16163456214366181,1.0386997248015715,-0.16222269142482418,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,86.0,38,14,0.07572467405196763,0.05606984417311104,1.3505419030267662,-0.22103186603044053,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,116.0,42,10,0.03868724180142176,0.0298734629116268,1.2950370673754272,-0.497468338163091,prefix_plus_context
phase_slope_positive_fraction_protocol_residual,random_forest,0.75,156.0,38,14,0.109592509199974,0.07429488659789694,1.4751016418278808,-0.2768714953433939,prefix_plus_context
threshold_robust_phase_score_protocol_residual,ridge,0.75,60.0,38,14,0.24030675797593298,0.22663516914871035,1.0603242156924542,0.3098901098901099,prefix_plus_context
threshold_robust_phase_score_protocol_residual,ridge,0.75,86.0,38,14,0.18383411439310055,0.19034245257453322,0.9658072169744467,0.3054945054945055,prefix_plus_context
threshold_robust_phase_score_protocol_residual,ridge,0.75,116.0,42,10,0.1213026165340062,0.08726921330061974,1.3899817810451693,-0.2121212121212121,prefix_plus_context
threshold_robust_phase_score_protocol_residual,ridge,0.75,156.0,38,14,0.30792015139997175,0.14865480165987383,2.071377096210463,0.01098901098901099,prefix_plus_context
threshold_robust_phase_score_protocol_residual,random_forest,0.75,60.0,38,14,0.22012056270093813,0.22663516914871035,0.9712550948193854,0.4021978021978022,prefix_plus_context
threshold_robust_phase_score_protocol_residual,random_forest,0.75,86.0,38,14,0.18929380989099415,0.19034245257453322,0.9944907577402973,-0.06813186813186813,prefix_plus_context
threshold_robust_phase_score_protocol_residual,random_forest,0.75,116.0,42,10,0.14636341928087454,0.08726921330061974,1.6771483750711793,0.11515151515151514,prefix_plus_context
threshold_robust_phase_score_protocol_residual,random_forest,0.75,156.0,38,14,0.2255511732037871,0.14865480165987383,1.5172814512904482,-0.1956043956043956,prefix_plus_context
mode_review_priority,ridge,0.75,60.0,38,14,1.0920942079329288,1.220467032967033,0.8948166385764458,-0.20682080721986212,prefix_plus_context
mode_review_priority,ridge,0.75,86.0,38,14,1.226021656405403,1.043269230769231,1.1751728319461923,-0.34323453113083496,prefix_plus_context
mode_review_priority,ridge,0.75,116.0,42,10,3.1267587697366452,1.5423076923076926,2.0273248881085477,0.2606060606060606,prefix_plus_context
mode_review_priority,ridge,0.75,156.0,38,14,9.353146661288024,0.8578296703296707,10.903267845344562,0.2728274478219458,prefix_plus_context
mode_review_priority,random_forest,0.75,60.0,38,14,1.3943425610307483,1.220467032967033,1.142466386528289,0.3520354165444462,prefix_plus_context
mode_review_priority,random_forest,0.75,86.0,38,14,0.7186880117809034,1.043269230769231,0.6888806748867643,-0.6226626430129892,prefix_plus_context
mode_review_priority,random_forest,0.75,116.0,42,10,1.0490687544775468,1.5423076923076926,0.6801942048981598,0.22424242424242422,prefix_plus_context
mode_review_priority,random_forest,0.75,156.0,38,14,1.2041566924312461,0.8578296703296707,1.4037246950999949,0.1540154947381952,prefix_plus_context
