target,model,prefix_fraction,heldout_event_reference_cycle,n_train,n_test,roc_auc,balanced_accuracy,feature_set
is_event_enriched_mode,logistic_l2,0.5,86.0,38,14,0.3076923076923077,0.2692307692307692,prefix_only
is_event_enriched_mode,logistic_l2,0.5,116.0,42,10,0.5555555555555556,0.3333333333333333,prefix_only
is_event_enriched_mode,logistic_l2,0.5,156.0,38,14,0.15555555555555556,0.5,prefix_only
is_event_enriched_mode,random_forest,0.5,60.0,38,14,0.7083333333333334,0.5,prefix_only
is_event_enriched_mode,random_forest,0.5,86.0,38,14,0.6153846153846154,0.38461538461538464,prefix_only
is_event_enriched_mode,random_forest,0.5,116.0,42,10,0.6666666666666667,0.5,prefix_only
is_event_enriched_mode,random_forest,0.5,156.0,38,14,0.5111111111111111,0.5,prefix_only
front_positive_residual_binary,logistic_l2,0.5,60.0,38,14,0.7999999999999999,0.5,prefix_only
front_positive_residual_binary,logistic_l2,0.5,86.0,38,14,0.08333333333333333,0.25,prefix_only
front_positive_residual_binary,logistic_l2,0.5,116.0,42,10,1.0,1.0,prefix_only
front_positive_residual_binary,logistic_l2,0.5,156.0,38,14,0.022222222222222216,0.16666666666666666,prefix_only
front_positive_residual_binary,random_forest,0.5,60.0,38,14,0.8888888888888888,0.5,prefix_only
front_positive_residual_binary,random_forest,0.5,86.0,38,14,0.8958333333333333,0.6666666666666666,prefix_only
front_positive_residual_binary,random_forest,0.5,116.0,42,10,0.6666666666666666,0.5,prefix_only
front_positive_residual_binary,random_forest,0.5,156.0,38,14,0.3111111111111111,0.2222222222222222,prefix_only
is_event_roi,logistic_l2,0.5,60.0,38,14,0.10416666666666666,0.2708333333333333,prefix_plus_context
is_event_roi,logistic_l2,0.5,86.0,38,14,0.0,0.1875,prefix_plus_context
is_event_roi,logistic_l2,0.5,116.0,42,10,1.0,0.5,prefix_plus_context
is_event_roi,logistic_l2,0.5,156.0,38,14,0.0,0.5,prefix_plus_context
is_event_roi,random_forest,0.5,60.0,38,14,0.22916666666666666,0.5,prefix_plus_context
is_event_roi,random_forest,0.5,86.0,38,14,0.7083333333333334,0.5,prefix_plus_context
is_event_roi,random_forest,0.5,116.0,42,10,1.0,0.5,prefix_plus_context
is_event_roi,random_forest,0.5,156.0,38,14,0.0,0.375,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.5,60.0,38,14,0.5208333333333333,0.5208333333333334,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.5,86.0,38,14,0.3076923076923077,0.19230769230769232,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.5,116.0,42,10,0.6666666666666667,0.5,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.5,156.0,38,14,0.2,0.5,prefix_plus_context
is_event_enriched_mode,random_forest,0.5,60.0,38,14,0.7291666666666667,0.5,prefix_plus_context
is_event_enriched_mode,random_forest,0.5,86.0,38,14,0.5384615384615384,0.4230769230769231,prefix_plus_context
is_event_enriched_mode,random_forest,0.5,116.0,42,10,0.6666666666666667,0.5,prefix_plus_context
is_event_enriched_mode,random_forest,0.5,156.0,38,14,0.6000000000000001,0.5,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.5,60.0,38,14,0.04444444444444443,0.15555555555555556,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.5,86.0,38,14,0.0,0.0,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.5,116.0,42,10,1.0,0.5,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.5,156.0,38,14,0.04444444444444443,0.16666666666666666,prefix_plus_context
front_positive_residual_binary,random_forest,0.5,60.0,38,14,0.1333333333333333,0.5,prefix_plus_context
front_positive_residual_binary,random_forest,0.5,86.0,38,14,0.8958333333333333,0.6875,prefix_plus_context
front_positive_residual_binary,random_forest,0.5,116.0,42,10,0.75,0.5,prefix_plus_context
front_positive_residual_binary,random_forest,0.5,156.0,38,14,0.24444444444444444,0.16666666666666666,prefix_plus_context
is_event_roi,logistic_l2,0.75,60.0,38,14,0.75,0.5,prefix_only
is_event_roi,logistic_l2,0.75,86.0,38,14,1.0,0.5833333333333334,prefix_only
is_event_roi,logistic_l2,0.75,116.0,42,10,0.0,0.0,prefix_only
is_event_roi,logistic_l2,0.75,156.0,38,14,0.5,0.5,prefix_only
is_event_roi,random_forest,0.75,60.0,38,14,0.75,0.5,prefix_only
is_event_roi,random_forest,0.75,86.0,38,14,0.9375,0.8541666666666667,prefix_only
is_event_roi,random_forest,0.75,116.0,42,10,0.041666666666666664,0.4166666666666667,prefix_only
is_event_roi,random_forest,0.75,156.0,38,14,0.3125,0.5,prefix_only
is_event_enriched_mode,logistic_l2,0.75,60.0,38,14,0.7291666666666667,0.5208333333333334,prefix_only
is_event_enriched_mode,logistic_l2,0.75,86.0,38,14,0.7692307692307692,0.8846153846153846,prefix_only
is_event_enriched_mode,logistic_l2,0.75,116.0,42,10,0.2222222222222222,0.5,prefix_only
is_event_enriched_mode,logistic_l2,0.75,156.0,38,14,0.8,0.5,prefix_only
is_event_enriched_mode,random_forest,0.75,60.0,38,14,0.5416666666666667,0.5,prefix_only
is_event_enriched_mode,random_forest,0.75,86.0,38,14,0.7692307692307692,0.46153846153846156,prefix_only
is_event_enriched_mode,random_forest,0.75,116.0,42,10,0.5555555555555556,0.5,prefix_only
is_event_enriched_mode,random_forest,0.75,156.0,38,14,0.3555555555555556,0.5,prefix_only
front_positive_residual_binary,logistic_l2,0.75,60.0,38,14,0.5555555555555556,0.48888888888888893,prefix_only
front_positive_residual_binary,logistic_l2,0.75,86.0,38,14,0.5416666666666667,0.375,prefix_only
front_positive_residual_binary,logistic_l2,0.75,116.0,42,10,0.375,0.5,prefix_only
front_positive_residual_binary,logistic_l2,0.75,156.0,38,14,0.15555555555555553,0.5,prefix_only
front_positive_residual_binary,random_forest,0.75,60.0,38,14,0.4666666666666667,0.5,prefix_only
front_positive_residual_binary,random_forest,0.75,86.0,38,14,0.4791666666666667,0.5416666666666667,prefix_only
front_positive_residual_binary,random_forest,0.75,116.0,42,10,0.2916666666666667,0.5,prefix_only
front_positive_residual_binary,random_forest,0.75,156.0,38,14,0.39999999999999997,0.5,prefix_only
is_event_roi,logistic_l2,0.75,60.0,38,14,0.0,0.0625,prefix_plus_context
is_event_roi,logistic_l2,0.75,86.0,38,14,0.4375,0.3333333333333333,prefix_plus_context
is_event_roi,logistic_l2,0.75,116.0,42,10,0.0,0.5,prefix_plus_context
is_event_roi,logistic_l2,0.75,156.0,38,14,0.5,0.5,prefix_plus_context
is_event_roi,random_forest,0.75,60.0,38,14,0.39583333333333337,0.5,prefix_plus_context
is_event_roi,random_forest,0.75,86.0,38,14,0.7083333333333334,0.5416666666666666,prefix_plus_context
is_event_roi,random_forest,0.75,116.0,42,10,0.16666666666666666,0.4166666666666667,prefix_plus_context
is_event_roi,random_forest,0.75,156.0,38,14,0.43749999999999994,0.5,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.75,60.0,38,14,0.6458333333333333,0.5208333333333334,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.75,86.0,38,14,0.6153846153846154,0.38461538461538464,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.75,116.0,42,10,0.2222222222222222,0.5,prefix_plus_context
is_event_enriched_mode,logistic_l2,0.75,156.0,38,14,0.8444444444444444,0.5,prefix_plus_context
is_event_enriched_mode,random_forest,0.75,60.0,38,14,0.5208333333333334,0.5,prefix_plus_context
is_event_enriched_mode,random_forest,0.75,86.0,38,14,0.7692307692307692,0.46153846153846156,prefix_plus_context
is_event_enriched_mode,random_forest,0.75,116.0,42,10,0.5555555555555556,0.5,prefix_plus_context
is_event_enriched_mode,random_forest,0.75,156.0,38,14,0.4444444444444445,0.5,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.75,60.0,38,14,0.06666666666666665,0.15555555555555556,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.75,86.0,38,14,0.0,0.0,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.75,116.0,42,10,0.45833333333333337,0.5,prefix_plus_context
front_positive_residual_binary,logistic_l2,0.75,156.0,38,14,0.15555555555555553,0.3,prefix_plus_context
front_positive_residual_binary,random_forest,0.75,60.0,38,14,0.0,0.5,prefix_plus_context
front_positive_residual_binary,random_forest,0.75,86.0,38,14,0.37500000000000006,0.4375,prefix_plus_context
front_positive_residual_binary,random_forest,0.75,116.0,42,10,0.625,0.5,prefix_plus_context
front_positive_residual_binary,random_forest,0.75,156.0,38,14,0.4222222222222223,0.5,prefix_plus_context
