roi_id,cohort_role,cycleNo,event_reference_cycle,review_priority_tier,review_sources,recommended_review_reason,manual_qc_status,manual_qc_decision,manual_particle_identity_ok,manual_front_mask_ok,manual_diffusion_interpretable,primary_qc_png,control_balanced_qc_png
cycle116_rank2_obj2,event,116.0,116.0,routine,primary_visual_qc,event_roi;primary_visual_panel;no_auto_flags,pending,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank2_obj2_qc.png,
cycle116_rank5_obj43,event,116.0,116.0,routine,primary_visual_qc,event_roi;primary_visual_panel;fragmentation_check,pending,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank5_obj43_qc.png,
cycle116_rank8_obj20,event,116.0,116.0,routine,primary_visual_qc,event_roi;primary_visual_panel;fragmentation_check,pending,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank8_obj20_qc.png,
cycle86_rank2_obj6,event,86.0,86.0,routine,control_balanced_visual_qc,event_roi;control_balanced_panel;fragmentation_check,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank2_obj6_qc.png
cycle86_rank3_obj5,event,86.0,86.0,routine,ranked_review_packet,event_roi,pending,,,,,,
cycle86_rank6_obj78,event,86.0,86.0,routine,control_balanced_visual_qc,event_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank6_obj78_qc.png
cycle86_rank8_obj17,event,86.0,86.0,routine,primary_visual_qc;ranked_review_packet,event_roi;primary_visual_panel;fragmentation_check,pending,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle86_rank8_obj17_qc.png,
cycle118_rank2_obj2,control,118.0,116.0,,,,,,,,,,
cycle118_rank3_obj9,control,118.0,116.0,,,,,,,,,,
cycle58_rank1_obj1,control,58.0,60.0,,,,,,,,,,
cycle90_rank4_obj6,control,90.0,86.0,,,,,,,,,,
cycle116_rank3_obj9,event,116.0,116.0,,,,,,,,,,
