roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis_x,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,threshold_robust_phase_score_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,n_frames_percentile,V_mean,I_mean_mA,degradation_mode_hypothesis_y,mode_label,mode_review_priority,review_priority_tier,review_sources,recommended_review_reason,manual_qc_status,manual_qc_decision,manual_particle_identity_ok,manual_front_mask_ok,manual_diffusion_interpretable,manual_qc_notes,primary_qc_png,control_balanced_qc_png,manual_decision_category,manual_particle_identity_accept,manual_front_mask_accept,manual_diffusion_interpretable_accept,manual_front_effect_accepted,manual_diffusion_accepted
cycle156_rank7_obj27,156.0,event,1,156.0,,1.6668088838929638,single_persistent_drop_needs_roi_qc,19462.04443982,7,1.891584956018593e-06,3.6588009984111915e-07,1.0,0.0,1.891584956018593e-06,0.0005678455349126,0.0002072853605208,1.0,0.0,1.3083161124387798e-06,4.775854706401186e-07,1.138772978787448e-06,2.174438887406076e-07,1.8880955991724864e-06,3.356063133745504e-06,4.896711484741448e-05,0.0004398281514008,0.000880753238871,0.701923076923077,1.3083161124387798e-06,0.9807692307692308,0.0296361115027952,-0.0296361114217485,0.0366612473823781,-1.5908840057147065e-07,0.9101123595505618,,,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.2596153846153846,high,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;high_residual_mode_priority;hard_rollout_mobility,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank7_obj27_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank7_obj27_qc.png,pending,False,False,False,False,False
cycle157_rank1_obj1,157.0,control,0,156.0,,0.9462923571539248,single_persistent_drop_needs_roi_qc,19505.143994464,7,-7.900122770612939e-07,9.056658814814837e-08,0.0,1.0,7.900122770612939e-07,0.000494016051517,0.0005017285910055,0.7142857142857143,0.2857142857142857,1.1382129826953457e-06,1.1559826736767094e-06,1.238747464701779e-06,-1.4530501381540216e-06,-8.480387836220166e-07,-2.543789382545034e-07,1.2210777335393806e-05,0.0005655857957923,0.0011123959178685,0.701923076923077,1.1382129826953457e-06,0.0865384615384615,-0.0888448999578106,0.0888449000078598,0.1495271325281373,-3.892970487315262e-07,0.7696629213483146,,,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.3461538461538463,medium,control_balanced_visual_qc;ranked_review_packet,control_roi;control_balanced_panel;no_auto_flags;large_conditioned_front_sign_residual,pending,,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle157_rank1_obj1_qc.png,pending,False,False,False,False,False
cycle116_rank7_obj37,116.0,event,1,116.0,,1.32518717317117,synchronized_persistent_drop_low_frame_count,9126.745852742,7,4.3037461992517885e-06,1.3455076582567447e-06,1.0,0.0,4.3037461992517885e-06,0.0019916719088218,0.0006429216726149,1.0,0.0,4.588812077925554e-06,1.4812915337048528e-06,4.945665530777921e-06,2.2001902837347318e-06,4.440626095020972e-06,6.608535188680132e-06,0.0011133679740345,0.0021575598659723,0.0032824312357174,0.6826923076923077,4.588812077925554e-06,0.9423076923076924,0.0026455239053564,-0.0026455238897117,0.0403670386490317,2.449019551320061e-06,0.0112359550561797,3.903938643271297,0.0070410067032469,synchronized_persistent_drop_low_frame_count,optical_brightening_decorrelating_rollout_hard_front_positive,1.6153846153846152,medium,primary_visual_qc;control_balanced_visual_qc,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank7_obj37_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle116_rank7_obj37_qc.png,pending,False,False,False,False,False
cycle156_rank5_obj4,156.0,event,1,156.0,,1.3097972948929866,single_persistent_drop_needs_roi_qc,19462.04443982,7,3.2914086999456537e-06,8.746325131199138e-07,1.0,0.0,3.2914086999456537e-06,0.0002270623352,0.0004015435857248,0.7142857142857143,0.2857142857142857,5.231516203009118e-07,9.251564215099512e-07,5.231516203009118e-07,8.423457747309662e-07,3.218886957833528e-06,5.104686215415454e-06,-3.002248547526628e-05,0.0002272666860125,0.000454327301289,0.6826923076923077,5.231516203009118e-07,0.0288461538461538,0.0296361115027952,-0.0296361114217485,0.0174304781516089,-9.442528927093386e-07,0.9101123595505618,,,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.932692307692308,high,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;diffusion_ci_check;hard_rollout_mobility,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank5_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank5_obj4_qc.png,pending,False,False,False,False,False
cycle116_rank5_obj43,116.0,event,1,116.0,,1.1308900021649042,synchronized_persistent_drop_low_frame_count,9126.745852742,7,3.392710374103412e-06,1.0941017283227117e-06,1.0,0.0,3.392710374103412e-06,-0.0023474452671773,0.0005032580058043,0.0,1.0,-5.408513895576632e-06,1.159506445373312e-06,-4.686320352656991e-06,1.7335438794601236e-06,3.517782099111052e-06,5.390974415990253e-06,-0.0031601324886963,-0.0020772175576792,-0.0010071406595844,0.6634615384615385,5.408513895576632e-06,1.1923076923076923,0.0026455239053564,-0.0026455238897117,0.0211362694182626,3.268721368971139e-06,0.0112359550561797,3.903938643271297,0.0070410067032469,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,0.7115384615384615,routine,primary_visual_qc,event_roi;primary_visual_panel;fragmentation_check,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank5_obj43_qc.png,,pending,False,False,False,False,False
cycle118_rank4_obj1,118.0,control,0,116.0,,1.1051828859084512,synchronized_persistent_drop_low_frame_count,9129.33806254,7,1.7469335843534118e-06,4.016208704936307e-07,1.0,0.0,1.7469335843534118e-06,0.0008245699580654,0.0006352494807086,1.0,0.0,1.899809183382682e-06,1.4636148035527003e-06,1.899809183382682e-06,-8.151480386919766e-07,1.7726224092626288e-06,3.364206887457895e-06,-4.553225062198349e-06,0.0008010762822967,0.0017517381442471,0.6634615384615385,1.899809183382682e-06,0.6346153846153846,-0.0045616643801136,0.0045616644031053,0.0300238180300495,-1.0246332137107062e-06,0.0786516853932584,3.907195405317094,0.0171682831328283,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.9615384615384616,routine,control_balanced_visual_qc,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle118_rank4_obj1_qc.png,pending,False,False,False,False,False
cycle86_rank3_obj5,86.0,event,1,86.0,,1.456577760966197,synchronized_persistent_drop_low_frame_count,9098.537893392,7,3.687204623056872e-06,1.2315455328634658e-06,1.0,0.0,3.687204623056872e-06,0.0004434992317086,0.0004069598282052,1.0,0.0,1.0218222298568356e-06,9.376354441849584e-07,1.933724240255684e-06,1.2346986461047805e-06,3.5808534347945e-06,5.871121906199069e-06,0.000389504083506,0.0008609860690067,0.0012138667197822,0.6634615384615385,1.0218222298568356e-06,0.5769230769230769,0.0650642115750638,-0.0650642116252821,0.2400881492063,-1.1766263300920988e-06,0.0786516853932584,3.821635612224316,0.0034861829990025,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.7596153846153846,routine,ranked_review_packet,event_roi,pending,,,,,,,,pending,False,False,False,False,False
cycle60_rank6_obj26,60.0,event,1,60.0,,1.320031653911962,single_persistent_drop_needs_roi_qc,9244.36053955,7,1.2396569815839683e-06,2.1653469652156735e-07,1.0,0.0,1.2396569815839683e-06,-0.0008004855703044,0.0008432626199913,0.2857142857142857,0.7142857142857143,-1.8443187539815653e-06,1.942877076460012e-06,-1.8443187539815653e-06,-6.144275126778508e-07,1.2740794518799388e-06,3.221317201048704e-06,-0.0024215796623317,-0.0008918578893709,0.0006032052496146,0.625,1.8443187539815653e-06,0.0480769230769231,0.1594674278574455,-0.1594674278798112,0.1759623195738991,-1.4897371927501488e-06,0.3707865168539326,3.829972590648973,0.0216442830997643,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.5961538461538463,high,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,event_roi;primary_visual_panel;control_balanced_panel;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,pending,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,pending,False,False,False,False,False
cycle116_rank3_obj9,116.0,event,1,116.0,,1.2773770940661642,synchronized_persistent_drop_low_frame_count,9126.745852742,7,5.850943150305229e-06,2.3848762904707225e-06,1.0,0.0,5.850943150305229e-06,0.000928009623568,0.0015988638159894,0.5714285714285714,0.4285714285714285,2.138134172700789e-06,3.6837822320396447e-06,2.138134172700789e-06,3.4512874805788723e-06,5.933619828633032e-06,8.347402605561352e-06,-0.0002734599652181,0.0009594246116843,0.0021788525779047,0.625,2.138134172700789e-06,-0.2115384615384615,0.0026455239053564,-0.0026455238897117,-0.0173252690432759,-1.6583539047039635e-09,0.0112359550561797,3.903938643271297,0.0070410067032469,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.8076923076923077,,,,,,,,,,,,pending,False,False,False,False,False
cycle158_rank2_obj1,158.0,control,0,156.0,,0.7788033639340246,single_persistent_drop_needs_roi_qc,19531.183546792,7,8.828026430016701e-07,1.5502480792444486e-07,1.0,0.0,8.828026430016701e-07,1.441059534302012e-05,0.0001304845475924,0.7142857142857143,0.2857142857142857,3.3202011670318365e-08,3.006363976530444e-07,3.3202011670318365e-08,-5.12147306964616e-07,8.978770997144819e-07,2.080283847779487e-06,-0.0004729346789207,3.133530190303365e-05,0.0004455340370035,0.6057692307692308,3.3202011670318365e-08,0.2403846153846154,0.1158999767148418,-0.1158999766925003,0.1663746020087057,-1.524340203826247e-06,0.7696629213483146,,,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.25,medium,control_balanced_visual_qc;ranked_review_packet,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check;large_conditioned_front_sign_residual,pending,,,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle158_rank2_obj1_qc.png,pending,False,False,False,False,False
