cycleNo,future_any_drop_within_8cycles,n_roi,x_median,y_median,warning_score,radius2_median,persistence_fraction_median
40.0,0,3,1178.5882352941176,158.77551020408163,0.7842017555889671,0.0011306406741123,0.9456390620128164
44.0,0,3,1178.0,159.0,0.6286054582853854,-0.00048127012952,0.8392288110904451
76.0,0,3,1190.9818181818182,184.22857142857143,0.2739127589669339,0.0003649855616665,0.9647639708160224
78.0,1,3,1336.548387096774,138.5806451612903,0.2683863942126585,-9.339466645375634e-05,1.0153278215235606
84.0,1,3,1185.1333333333334,162.45454545454547,0.257364534667413,-0.0002663373802081,1.4010006799561154
104.0,0,3,1194.5333333333333,203.2692307692308,0.3719069574735253,-0.0008926168145609,0.953346085725471
108.0,1,3,1344.246153846154,202.0,0.3455880466883458,-0.000161900485488,1.3536814088096163
110.0,1,3,1199.9344262295083,203.66101694915253,0.1861489207307045,-0.0006633483908045,1.3887764676163643
129.0,0,3,1202.7540983606557,184.3522012578616,0.2863584478094875,-0.000145674202857,1.1797688619566378
131.0,0,3,1200.05,184.58479532163744,0.6026405442281145,-0.0009689563801152,1.6156122360542222
139.0,0,3,1200.516129032258,664.0,0.2177667218010263,0.0013956179061917,1.4125587003405409
140.0,0,3,1199.6153846153843,182.4660194174757,0.2389476922815127,0.0003515202615055,1.910156037787177
143.0,0,3,1200.0898876404494,184.02083333333331,0.2351301084038065,-0.0007617531006464,1.092010671031877
146.0,0,3,848.2352941176471,395.0243902439024,3.21719464829548,-0.0025193224589635,1.2075225266846523
147.0,0,3,1202.1509433962265,128.27906976744185,0.6943342227566772,-0.0030985626073469,1.2211599450508537
148.0,1,3,847.625,397.3176470588235,0.7480825471472065,-0.001907088840306,1.4774642048137248
149.0,1,3,847.1746031746031,396.7407407407408,0.5580241541936951,0.0002825828491831,1.344147483500472
150.0,1,3,846.2068965517242,396.6829268292683,40.97186183003927,0.0007317504868457,1.3729633191500403
151.0,1,3,1200.0701754385964,667.0769230769231,1.4388691546947752,0.0015428954829821,1.563289421986431
152.0,1,3,1198.936170212766,126.77777777777776,1.1876601241161993,0.0025058447891082,1.7097487058740553
153.0,1,3,1199.3877551020407,186.6355140186916,0.8710369083836372,0.006414430590017,2.0590820646892443
154.0,1,3,1203.1724137931035,126.37837837837836,1.0097002411185476,0.0035923752659027,1.7125739371614332
155.0,1,3,1201.7586206896551,185.34031413612564,0.7426923860413742,0.0031774687687485,2.30791734202212
158.0,0,3,1196.3478260869565,324.55384615384617,0.1268052199398837,-1.261057282994533e-05,2.07552163420161
