roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score,cycleNo_recon,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score_recon,cohort_role_recon,selection_subrole,balanced_cycle_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_mean_abs_z,object_mean_residual,roi_mean_delta_last_minus_first,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,first_frame_index,last_frame_index,low_rank_dmd_particle_mse_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,low_rank_dmd_particle_mse_fraction_of_full_mean,low_rank_dmd_particle_mask_area_fraction_mean,low_rank_dmd_mask_fallback_used_mean,low_rank_dmd_accepted_area_fraction_median,persistence_particle_mse_mean,persistence_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,persistence_particle_mask_area_fraction_mean,persistence_mask_fallback_used_mean,persistence_accepted_area_fraction_median,velocity_particle_mse_mean,velocity_particle_to_nonparticle_mse_ratio_mean,velocity_particle_mse_fraction_of_full_mean,velocity_particle_mask_area_fraction_mean,velocity_mask_fallback_used_mean,velocity_accepted_area_fraction_median,object_x_full_approx,object_y_full_approx,object_area_ds_px,fallback_frame_fraction,accepted_area_cv,accepted_centroid_path_px,accepted_centroid_max_step_px,mask_instability_score,x_bin,y_bin,xy_region
cycle151_rank14_obj2,151.0,future8_positive,0,151.0,,,,12438.259448892,7,2.846959257811326e-06,1.1879054390126777e-07,1.0,0.0,2.846959257811326e-06,0.0042699960166277,0.0025306803330875,1.0,0.0,9.838070822310428e-06,5.830687487433623e-06,9.838070822310428e-06,-6.561876238979563e-07,2.988522527428976e-06,6.418463884713739e-06,0.0014183571707586,0.0041028700114584,0.0070774542369489,1.2916666666666663,9.838070822310428e-06,0.6875,151.0,17_c2_x10_HighHighCOV_150723,5,14,2,23.563481321149823,future8_positive,high_warning_positive,14,1.4388691546947752,1,1,0,16.844011306762695,5534.52734375,6.1025390625,0.0004011094570159,0.2500000000000227,6188,7425,0.013466173040797,8.885162324258781,3.0846110305729844,0.1280246310763889,0.0,0.1350368923611111,0.0010865358988212,3.164437889036982,1.8348492774237868,0.1280246310763889,0.0,0.1350368923611111,0.0022919531465959,3.1525081743896,1.7492969560184195,0.1280246310763889,0.0,0.1350368923611111,1200.0701754385964,1107.2280701754387,114,0.0,0.1404867979280244,245.1100300639617,14.169387115355834,2.140486797928024,mid,high,mid_high
cycle150_rank13_obj3,150.0,future8_positive,0,150.0,,,,12435.337381064,7,2.8773778913258605e-06,1.2811305522515334e-07,1.0,0.0,2.8773778913258605e-06,0.0022394574689418,0.0019621257839292,1.0,0.0,5.15971000844208e-06,4.520737806172917e-06,5.15971000844208e-06,3.417553231735188e-07,2.917101380954396e-06,5.925613622162646e-06,5.922515223964735e-05,0.0022904856161324,0.0049751380043663,1.25,5.15971000844208e-06,0.5486111111111112,150.0,17_c2_x10_HighHighCOV_150723,4,13,3,24.22269481700766,future8_positive,high_warning_positive,13,40.97186183003927,1,1,0,19.133668899536133,6589.99365234375,-17.0048828125,-0.0011341348290443,0.2236067977500298,4950,6187,0.006346754853439,9.561938119592272,3.246202661931468,0.1356235080295139,0.0,0.1364474826388889,0.000166199196883,1.962114479916945,1.3729633191500403,0.1356235080295139,0.0,0.1364474826388889,0.00040734088725,1.6854774454822128,1.2397749874592123,0.1356235080295139,0.0,0.1364474826388889,1201.6,1103.115789473684,95,0.0,0.0783014849262479,102.2018050272794,14.695950226461164,1.142903620627075,mid,high,mid_high
cycle150_rank13_obj2,150.0,future8_positive,0,150.0,,,,12435.337381064,7,3.987483102929889e-06,6.97779241258328e-07,1.0,0.0,3.987483102929889e-06,0.0007317504868457,0.0003461226740864,1.0,0.0,1.685953121692708e-06,7.974666410951332e-07,1.685953121692708e-06,-3.09280600449861e-07,4.244090817416543e-06,7.84818699672523e-06,-0.000526258962437,0.0006720700934092,0.0017428272518736,1.0,1.685953121692708e-06,0.8402777777777779,150.0,17_c2_x10_HighHighCOV_150723,4,13,2,24.44919068072933,future8_positive,high_warning_positive,13,40.97186183003927,1,1,0,20.69387626647949,7190.4619140625,-13.30126953125,-0.0007508136332035,0.2236067977500298,4950,6187,0.0038649475827696,5.493887302723345,4.125978186238448,0.097320556640625,0.0,0.0972222222222222,0.0001750796744772,1.961397057861782,1.5793839369871592,0.097320556640625,0.0,0.0972222222222222,0.0004473756275729,1.803890578714256,1.4788672162514565,0.097320556640625,0.0,0.0972222222222222,824.7317073170732,396.6829268292683,82,0.0,0.0431297675962201,51.04066753850206,9.351058205866494,0.5748033877889499,low,mid,low_mid
cycle158_rank12_obj3,158.0,future8_negative,0,158.0,,,,19531.183546792,7,1.3301223761721326e-06,1.229961590010987e-07,1.0,0.0,1.3301223761721326e-06,0.0002910999227354,0.0002658161295072,0.7142857142857143,0.2857142857142857,6.706942219824927e-07,6.124403623847613e-07,9.092560154213304e-07,-2.76026272225629e-07,1.2740540729754737e-06,2.8258233049071896e-06,5.624205993881887e-05,0.0004032799977385,0.0007020745446107,0.9861111111111112,6.706942219824927e-07,0.0902777777777777,158.0,18_c2_xN_HighHighCOV_170723,2,12,3,23.792022616705456,future8_negative,low_risk_negative,12,0.1268052199398837,0,0,0,20.570310592651367,9634.853515625,207.3115234375,0.0100107789039611,0.1802775637731931,3878,5817,0.0120238665331271,4.4389663049839285,3.552864785401198,0.0935092502170139,0.0,0.0904405381944444,0.001744787985217,4.127408961755443,2.934190128744058,0.0935092502170139,0.0,0.0904405381944444,0.0022992934705143,2.38938219364233,1.859992329878,0.0935092502170139,0.0,0.0904405381944444,821.1692307692308,324.55384615384617,65,0.0,0.1234083056903052,74.05125581329158,14.69256519246624,0.8947755537454258,low,mid,low_mid
cycle76_rank8_obj2,76.0,future8_negative,0,76.0,,,,9131.576459066,7,1.9647297989605382e-06,1.937484039241124e-07,1.0,0.0,1.9647297989605382e-06,0.0003649855616665,0.0001789169937364,1.0,0.0,8.409267340797663e-07,4.1222475356884293e-07,6.404800570008565e-07,-4.4781444657885873e-07,1.7378651594482503e-06,4.013626003910548e-06,-0.0002412598910719,0.0002471315436033,0.0007968862264942,0.986111111111111,8.409267340797663e-07,0.826388888888889,76.0,9_c2_x10_010723,1,8,2,25.083032624261563,future8_negative,low_risk_negative,8,0.2739127589669339,0,1,0,24.943334579467773,10902.2548828125,0.2783203125,4.298985004425049e-06,0.2500000000000227,909,1818,0.0059684829320758,5.033724574862949,2.5411968791609376,0.1204596625434027,0.0,0.1204969618055555,7.406506097140664e-05,1.1400406659756654,0.9693747266642662,0.1204596625434027,0.0,0.1204969618055555,0.0002011271435549,1.0662317183090713,0.9184087210067672,0.1204596625434027,0.0,0.1204969618055555,1190.9818181818182,1047.490909090909,55,0.0,0.0070493378437596,11.440167072248697,0.3702338860331456,0.1262177448463502,mid,high,mid_high
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,,,9143.028396564,7,2.8188004309613634e-06,4.416514145067803e-07,1.0,0.0,2.8188004309613634e-06,0.0015002222799752,0.0007082822055378,1.0,0.0,3.456512133062921e-06,1.6318822015592308e-06,3.456512133062921e-06,5.137449747374083e-07,2.793474143999024e-06,5.697968817682194e-06,0.0010981067404804,0.0014662539025067,0.0018347705672022,0.9583333333333331,3.456512133062921e-06,0.7986111111111112,78.0,9_c2_x10_010723,3,22,2,24.49773808606248,future8_positive,high_warning_positive,22,0.2683863942126585,1,1,0,22.65509796142578,9729.53125,19.2392578125,0.0011900439858436,0.25,2728,3637,0.003582934354199,5.070694071102723,2.23295560626866,0.1213514539930555,0.0,0.12109375,7.861251799567981e-05,1.2076014720761992,1.0153278215235606,0.1213514539930555,0.0,0.12109375,0.0002003879749281,1.064618086595631,0.9160143766228234,0.1213514539930555,0.0,0.12109375,1188.0625,1042.8125,64,0.0,0.0120640597314074,18.71927826399596,0.9115966319284428,0.207056541648032,mid,high,mid_high
cycle143_rank10_obj1,143.0,future8_negative,0,143.0,,,,12312.066600504,7,-3.261653495153909e-06,7.191657605397672e-07,0.0,1.0,3.261653495153909e-06,-0.0013660323629232,0.001338704981642,0.0,1.0,-3.1473385641751546e-06,3.084376277703361e-06,-3.1473385641751546e-06,-5.99113200717234e-06,-2.9164321026849497e-06,-4.111253981429618e-07,-0.0017398847841986,-0.0013595475369872,-0.0009608854606752,0.9444444444444444,3.1473385641751546e-06,0.4930555555555556,143.0,16_c2_x10_HighHighCOV_130723,7,10,1,23.938501501741023,future8_negative,low_risk_negative,10,0.2351301084038065,0,1,0,19.09581756591797,8306.1904296875,-113.892578125,-0.005693033337593,0.2499999999999317,8571,9795,0.007069215454976,10.159131119489311,4.000922201497619,0.1353861490885416,0.0,0.1351996527777778,6.448665419611643e-05,1.3978564923428645,1.092010671031877,0.1353861490885416,0.0,0.1351996527777778,0.0001620358866603,1.235645178543597,1.0054645724391165,0.1353861490885416,0.0,0.1351996527777778,1200.0898876404494,1101.6179775280898,89,0.0,0.024423739643503,25.31418526591238,1.6654712483945142,0.2881131694967569,mid,high,mid_high
cycle149_rank20_obj1,149.0,future8_positive,0,149.0,,,,12422.659052488,7,4.639612996377914e-06,1.0468629465971431e-06,1.0,0.0,4.639612996377914e-06,0.0007853276345363,0.000712478015117,0.7142857142857143,0.2857142857142857,1.809394869971684e-06,1.641549346829775e-06,9.175341547068096e-07,1.3109770801553985e-07,4.507369825769621e-06,9.0808776926417e-06,-0.0008887259592243,0.0003773558608171,0.0014973885505387,0.9444444444444444,1.809394869971684e-06,0.0069444444444444,149.0,17_c2_x10_HighHighCOV_150723,3,20,1,24.13169896898958,future8_positive,high_warning_positive,20,0.5580241541936951,1,1,0,20.692157745361328,7290.8408203125,3.71337890625,0.0003477670252323,0.2499999999999317,3713,4949,0.0051370449946261,7.8054979059937715,4.832010453400676,0.1008097330729166,0.0,0.1008029513888889,0.0001764474038736,1.9671668806837583,1.5804751652539413,0.1008097330729166,0.0,0.1008029513888889,0.0004912601189062,1.8857299425683167,1.5292847961159537,0.1008097330729166,0.0,0.1008029513888889,824.8888888888889,396.7407407407408,81,0.0,0.0774044695624185,57.51946775837313,10.090411685623335,0.676565592045472,low,mid,low_mid
cycle150_rank13_obj1,150.0,future8_positive,0,150.0,,,,12435.337381064,7,1.949243857179767e-06,2.263230355314413e-07,1.0,0.0,1.949243857179767e-06,-0.0003881722560603,0.000481249530454,0.2857142857142857,0.7142857142857143,-8.94348877963008e-07,1.108798918166125e-06,-1.4381145836942364e-06,-5.707165167863263e-07,2.334059004249255e-06,4.361781606247811e-06,-0.0014312664208731,-0.0006491593506401,0.0003309909206249,0.9444444444444444,8.94348877963008e-07,-0.0486111111111111,150.0,17_c2_x10_HighHighCOV_150723,4,13,1,25.41021438047652,future8_positive,high_warning_positive,13,40.97186183003927,1,1,0,25.297578811645508,8829.2822265625,3.2373046875,0.000732198357582,0.2236067977500298,4950,6187,0.0034038540034089,6.445344861677806,4.199356233553428,0.1037767198350694,0.0,0.0875108506944444,0.0001762248762133,1.456887716355634,1.184093745551456,0.1037767198350694,0.0,0.0875108506944444,0.0004730427745016,1.3177088316880454,1.0981400440923117,0.1037767198350694,0.0,0.0875108506944444,846.2068965517242,84.27586206896552,58,0.0,0.3200546496127111,323.8639113977623,14.64059266259047,2.320054649612711,low,low,low_low
cycle149_rank20_obj2,149.0,future8_positive,0,149.0,,,,12422.659052488,7,3.156865864740006e-06,7.64949574186989e-07,1.0,0.0,3.156865864740006e-06,0.0002825828491831,0.000701777015638,1.0,0.0,6.51070884517866e-07,1.6168942440299854e-06,6.51070884517866e-07,-2.891148405407015e-07,3.0104421075672245e-06,6.976848920348476e-06,-0.0016706789171036,0.0002134931357361,0.0024252239635009,0.875,6.51070884517866e-07,0.2708333333333333,149.0,17_c2_x10_HighHighCOV_150723,3,20,2,23.95836335409321,future8_positive,high_warning_positive,20,0.5580241541936951,1,1,0,19.394615173339844,6820.72607421875,-3.3740234375,-0.0001400634646415,0.2499999999999317,3713,4949,0.0056586891587357,10.858060752954827,3.156100289120257,0.138092041015625,0.0,0.1355251736111111,0.0001628914528737,1.893523564473896,1.344147483500472,0.138092041015625,0.0,0.1355251736111111,0.0004401120531838,1.7583375457161334,1.272642976398534,0.138092041015625,0.0,0.1355251736111111,1201.3478260869565,1102.4347826086955,92,0.0,0.1313904206259275,292.025698709112,20.754781859363074,2.1313904206259275,mid,high,mid_high
