x,y,n,spearman_rho,p_value,abs_rho
transferred_masked_residual_signature,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.22475388051309414,0.05768494699709084,0.22475388051309414
last_frame_index,mask_instability_score,72,0.2205059549363862,0.06270315458411493,0.2205059549363862
last_frame_index,persistence_particle_mse_fraction_of_full_mean,72,0.21017577228393727,0.07638802701294498,0.21017577228393727
object_x_full_approx,low_rank_dmd_particle_mse_fraction_of_full_mean,72,-0.20998134928291212,0.07666676728869751,0.20998134928291212
transferred_masked_residual_signature,radius2_slope_median_px2_per_s,72,0.2079552657324763,0.07962005165955656,0.2079552657324763
transferred_masked_residual_signature,diffusion_proxy_median_um2_per_s,72,0.2079552657324763,0.07962005165955656,0.2079552657324763
cycleNo,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.2068932843382993,0.08120377971709955,0.2068932843382993
object_x_full_approx,phase_slope_positive_fraction,72,-0.20533270070304557,0.08357634753426471,0.20533270070304557
first_frame_index,threshold_robust_phase_score,72,-0.20356096310332397,0.08633614827435528,0.20356096310332397
local_cycle_index,mask_instability_score,72,0.20349413165932345,0.0864416428091307,0.20349413165932345
transferred_masked_residual_signature,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.20312807757712634,0.08702127308092118,0.20312807757712634
transferred_masked_residual_signature,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.20245227123537732,0.08809944224970008,0.20245227123537732
local_cycle_index,threshold_robust_phase_score,72,-0.19829585588846024,0.09496402550899294,0.19829585588846024
last_frame_index,threshold_robust_phase_score,72,-0.19762606815785164,0.09610841572202258,0.19762606815785164
local_cycle_index,threshold_robust_diffusion_score,72,-0.191679827316141,0.10674732694916167,0.191679827316141
object_y_full_approx,persistence_particle_mse_fraction_of_full_mean,72,0.1913964836746174,0.10727619349724023,0.1913964836746174
cycleNo,mask_instability_score,72,0.1830469748508705,0.12379035456712809,0.1830469748508705
balanced_cycle_rank,threshold_robust_diffusion_score,72,-0.1763271884197039,0.13843703784072997,0.1763271884197039
transferred_masked_residual_signature,mask_instability_score,72,0.1708824606993886,0.15123327220048965,0.1708824606993886
first_frame_index,persistence_particle_mse_fraction_of_full_mean,72,0.17034023263202938,0.15255434967261208,0.17034023263202938
object_area_ds_px,phase_slope_positive_fraction,72,-0.16807768317076305,0.15815961568683862,0.16807768317076305
validation_score_recon,phase_slope_positive_fraction,72,-0.1678617819306798,0.15870236281823125,0.1678617819306798
last_frame_index,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.16644144759646665,0.16230732364533124,0.16644144759646665
last_frame_index,velocity_particle_mse_fraction_of_full_mean,72,0.1606488218100467,0.1776366631388097,0.1606488218100467
object_x_full_approx,radius2_slope_median_px2_per_s,72,-0.14997749051385945,0.2085889362210922,0.14997749051385945
object_x_full_approx,diffusion_proxy_median_um2_per_s,72,-0.14997749051385945,0.2085889362210922,0.14997749051385945
last_frame_index,accepted_area_cv,72,0.14993246410516978,0.20872715894254812,0.14993246410516978
transferred_masked_residual_signature,threshold_robust_phase_score,72,-0.1454311549698141,0.22287465662006542,0.1454311549698141
object_y_full_approx,accepted_area_cv,72,-0.14478539444639868,0.2249580460316098,0.14478539444639868
first_frame_index,accepted_area_cv,72,0.14040515773637796,0.23944932255584925,0.14040515773637796
object_y_full_approx,velocity_particle_mse_fraction_of_full_mean,72,0.14015483435749665,0.240296491052923,0.14015483435749665
object_x_full_approx,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.13840118335584284,0.2462893118510642,0.13840118335584284
last_frame_index,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.1364163372701899,0.25319490619806595,0.1364163372701899
