cycleNo,echem_points,duration_s,V_min,V_max,V_range,V_mean,I_mean_mA,I_abs_mean_mA,I_pos_fraction,I_neg_fraction,I_near_zero_fraction,block_mode,V_mean_delta,I_mean_delta,V_range_delta,event_cycle,offset,V_mean_minus_neighbor_mean,V_range_minus_neighbor_mean,I_mean_mA_minus_neighbor_mean,I_abs_mean_mA_minus_neighbor_mean,duration_s_minus_neighbor_mean,echem_points_minus_neighbor_mean
80.0,58971,9082.847595214844,2.998811,4.200845,1.2020340000000005,3.828769516881179,0.0145668995777585,0.5008889999999999,0.5145410455986841,0.4854589544013159,0.0,galvanostatic_10,0.0029336799816279,-0.0088013811502681,-0.0075289999999994,86.0,-6,,,,,,
81.0,51023,9089.696686744684,2.999969,4.201038,1.2010689999999995,3.826451643141328,0.0310313021382513,0.500889,0.5309762264076985,0.4690237735923015,0.0,galvanostatic_12,-0.0023178737398508,0.0164644025604927,-0.0009650000000007,86.0,-5,,,,,,
82.0,46781,9103.720524072647,2.999969,4.202196,1.2022269999999995,3.8226818054765817,0.0193263214766678,0.500889,0.5192920202646374,0.4807079797353626,0.0,galvanostatic_14,-0.0037698376647465,-0.0117049806615835,0.0011580000000002,86.0,-4,,,,,,
83.0,44158,9077.1773352623,2.998232,4.201617,1.203385,3.8236077525703154,0.0051043989764029,0.500889,0.505095339462838,0.494904660537162,0.0,galvanostatic_16,0.0009259470937337,-0.0142219225002649,0.0011580000000002,86.0,-3,,,,,,
84.0,42444,9063.87115073204,2.953254,4.200073,1.246819,3.8218300631184623,0.0048856857506361,0.5008889999999999,0.5048770144189991,0.4951229855810009,0.0,galvanostatic_18,-0.001777689451853,-0.0002187132257667,0.0434339999999999,86.0,-2,-0.003867166605144856,0.032623250000000326,-0.008453674301244975,-1.1102230246251565e-16,-18.312259435653687,-33695.25
85.0,91592,9158.910588502884,2.999776,4.200073,1.2002969999999995,3.8270483172875367,0.0142623647480129,0.500889,0.5142370512708534,0.4857629487291466,0.0,galvanostatic_0,0.0052182541690743,0.0093766789973768,-0.0465220000000003,86.0,-1,0.0013510875639295428,-0.01389875000000007,0.0009230046961318256,0.0,76.72717833518982,15452.75
86.0,90230,9021.373033046722,2.999776,4.200073,1.2002969999999995,3.821635612224316,0.0034861829990025,0.500889,0.5034799955668846,0.4965200044331154,0.0,galvanostatic_2,-0.0054127050632204,-0.0107761817490103,0.0,86.0,0,,,,,,
87.0,89671,9071.463406324388,2.999969,4.200073,1.2001039999999996,3.822710033466784,0.0066527505994134,0.500889,0.5066409430027545,0.4933590569972454,0.0,galvanostatic_4,0.001074421242468,0.0031665676004108,-0.0001929999999998,86.0,1,-0.00298719625682331,-0.014091749999999958,-0.006686609452467674,0.0,-10.720003843305676,13531.75
88.0,80850,9034.488495111464,2.99051,4.200073,1.2095629999999995,3.831200505021645,0.0275566391094619,0.500889,0.5275077303648732,0.4724922696351268,0.0,galvanostatic_6,0.008490471554861,0.0209038885100485,0.0094590000000001,86.0,2,0.005503275298037735,-0.004632750000000074,0.014217279057580825,0.0,-47.69491505623046,4710.75
89.0,65925,9048.463499546053,2.978928,4.200652,1.221724,3.822695565339401,0.012361720182025,0.500889,0.5123397800530907,0.4876602199469094,0.0,galvanostatic_8,-0.0085049396822443,-0.0151949189274369,0.0121610000000003,86.0,3,,,,,,
