consensus_review_rank,roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,review_priority_tier,consensus_review_score,pre_event_review_score,pre_event_review_rank,review_reason,si_clean_physics_prob,si_near_far_physics_prob,front_radius_slope_px_per_norm_time,front_radius2_slope_px2_per_norm_time,front_radius_slope_px_per_norm_time_source_echem_context_residual,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual,kymograph_temporal_energy,matched_positive_support_count,matched_positive_support_weight,matched_positive_support_details,consensus_review_reason,npz_path
60,source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,post_event_1_16,14.0,routine_review,0.39020709872679343,2.1171973157161394,94,context_or_guardrail_row,0.3684913540036462,,0.0122422680412365,0.2081185567010667,-0.0297921983792141,-0.3783546049556662,0.8279389572123123,3.822417761454267e-06,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=0.208; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0298; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.828,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj2_11_c2_x10_050723.npz
61,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,6.0,routine_review,0.3875544227522947,3.8202226479436394,9,near_pre_front_diffusion_review,0.374150707544538,0.495206429415934,,,,,0.5087528626901876,4.744228083195314e-06,21.0,53.51967827624079,near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_median|p=0.000999;near_vs_post_control|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=21; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.509,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle80_rank62_obj1_9_c2_x10_010723.npz
62,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,114.0,12_c2_x10_070723,near_pre_event_1_8,2.0,routine_review,0.38613103743232335,2.3566345944567004,78,near_pre_front_diffusion_review,0.5764346789561402,0.5262544311217908,,,,,-0.9060306865923532,9.707635557244843e-06,29.0,75.52256042082222,near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=29; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.906,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle114_rank14_obj1_12_c2_x10_070723.npz
63,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,76.0,9_c2_x10_010723,post_event_1_16,10.0,routine_review,0.38585723015001544,2.784754623590556,47,context_or_guardrail_row,0.7375488619825522,,-0.0528350515463928,-0.58762886597938,-0.1120270758126332,-1.306424890090929,-0.0809378245444883,2.068798548775795e-06,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-0.588; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.112; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.0809,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle76_rank60_obj2_9_c2_x10_010723.npz
64,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,110.0,12_c2_x10_070723,near_pre_event_1_8,6.0,routine_review,0.385776828847481,2.943401665957254,35,near_pre_front_diffusion_review,0.4134178964406766,0.519758161842317,,,,,,7.629603164311502e-06,35.0,89.97079688470811,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=35,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle110_rank12_obj2_12_c2_x10_070723.npz
65,source_balanced_cycle130_rank18_obj2_14_c2_x10_HighCOV_110723,130.0,14_c2_x10_HighCOV_110723,post_event_1_16,26.0,routine_review,0.3831208279788676,2.5942756608792057,63,context_or_guardrail_row,0.6731261897235737,,-0.0676546391752571,-0.5779639175257794,-0.0534328809284504,-0.3768911210029976,,6.338127649291032e-06,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-0.578; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0534,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle130_rank18_obj2_14_c2_x10_HighCOV_110723.npz
66,source_balanced_cycle66_rank55_obj2_8_c2_x10_300623,66.0,8_c2_x10_300623,post_event_1_16,20.0,routine_review,0.3779986877160011,2.507504547348776,70,context_or_guardrail_row,0.3946126038364662,,-0.0335051546391734,-0.5695876288659757,-0.096367002042099,-1.4295456779056468,2.9086195397512595,4.357922811984738e-06,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-0.57; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0964; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=2.91,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle66_rank55_obj2_8_c2_x10_300623.npz
67,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,112.0,12_c2_x10_070723,near_pre_event_1_8,4.0,routine_review,0.37758655394524954,3.187397926653572,25,near_pre_front_diffusion_review,0.4611712247112372,0.5188362309981621,,,,,,4.840752539052463e-06,23.0,58.328070429707196,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|same_source|front_radius_q60_slope_px_per_norm_time|p=0.002;near_vs_any_non_near|same_source|front_radius_q60_slope_px_per_norm_time|p=0.002;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=23,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle112_rank13_obj1_12_c2_x10_070723.npz
68,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,4.0,routine_review,0.3748542280251556,3.1528383213573945,26,near_pre_front_diffusion_review,0.6015232853987534,0.5077037548389636,,,,,-0.5268180072819122,2.7248932060763546e-06,14.0,37.09952656560936,near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_post_control|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.002;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.003,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=14; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.527,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle56_rank51_obj1_7_c2_x10_290623.npz
69,source_balanced_cycle64_rank54_obj1_7_c2_x10_290623,64.0,7_c2_x10_290623,post_event_1_16,22.0,routine_review,0.34876568412222453,1.849613936646028,111,context_or_guardrail_row,0.4171653533640355,,0.0766752577319626,0.8434278350515472,0.0400288209975628,0.4561874554079334,,1.9227608881752368e-06,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=0.843; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.04,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle64_rank54_obj1_7_c2_x10_290623.npz
70,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,146.0,17_c2_x10_HighHighCOV_150723,mid_pre_event_9_16,10.0,routine_review,0.34786091769256205,1.8580556778169013,110,mid_pre_followup_front_diffusion_review,,,0.0225515463917559,0.3833762886598477,-0.0166170018700525,-0.0925985175266473,-0.6005040911718788,0.0001755561025067,0.0,0.0,,event_relative_bin=mid_pre_event_9_16; review_reason=mid_pre_followup_front_diffusion_review; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=0.383; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0166; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.601,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723.npz
71,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,134.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,22.0,routine_review,0.34398602855262506,2.2512783145038595,87,context_or_guardrail_row,,0.5178984597282202,-0.2551546391752551,-5.103092783505117,-0.2829915267385305,-5.442241120990157,0.0936321027159295,3.599889551424349e-05,0.0,0.0,,event_relative_bin=far_pre_event_17_32; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-5.1; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.283; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.0936,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723.npz
72,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,138.0,16_c2_x10_HighHighCOV_130723,far_pre_event_17_32,18.0,routine_review,0.34320487325781546,2.100029786768532,95,context_or_guardrail_row,,0.5206946925168466,-0.0451030927835018,-0.9020618556700956,-0.0522071731812807,-0.9835558222429464,,8.69066467004942e-06,0.0,0.0,,event_relative_bin=far_pre_event_17_32; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-0.902; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0522,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723.npz
73,source_balanced_cycle2_rank31_obj1_2_c2_x14_200623,2.0,2_c2_x14_200623,no_near_event_control,58.0,routine_review,0.3256593801313628,2.773246609153489,48,context_or_guardrail_row,0.6239584047876114,,-0.2615979381443259,-7.820876288659795,-0.3254523785782672,-8.644510780882626,,4.463801509291135e-05,0.0,0.0,,event_relative_bin=no_near_event_control; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-7.82; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.325,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle2_rank31_obj1_2_c2_x14_200623.npz
74,source_balanced_cycle68_rank56_obj1_8_c2_x10_300623,68.0,8_c2_x10_300623,post_event_1_16,18.0,routine_review,0.3220518152015541,2.6368126155244918,60,context_or_guardrail_row,0.652761388621059,,-4.079896907216498,-37.45876288659794,-4.125858583986922,-38.036735089139455,0.8352834409488801,8.73039175488669e-06,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-37.5; front_radius_slope_px_per_norm_time_source_echem_context_residual=-4.13; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.835,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle68_rank56_obj1_8_c2_x10_300623.npz
75,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,138.0,16_c2_x10_HighHighCOV_130723,far_pre_event_17_32,18.0,routine_review,0.31612502996350017,1.5787699847858665,118,context_or_guardrail_row,,0.5318323485249233,-0.2177835051546298,-3.521907216494829,-0.2289166022407682,-3.664238316918589,-0.8099221405209532,0.0001122804305011,0.0,0.0,,event_relative_bin=far_pre_event_17_32; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=-3.52; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.229; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.81,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723.npz
