roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean,temporal_energy_p95,temporal_energy_late_minus_early,roi_norm_mean_late_minus_early,roi_norm_mean_positive_step_fraction,raw_roi_mean_delta_last_minus_first,stage_drift_xy_recomputed,n_loaded_frames,frame_height,frame_width
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,23.327083525321505,source_balanced_pre_event_candidate,1343.0679611650485,204.50485436893203,103.0,8562.1708984375,21.21138000488281,1247,109,1439,301,192,96,96,2706,3607,8874.2353515625,8886.8251953125,12.58984375,0.07134261727333069,0.07216120511293411,0.0008185878396034241,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj1_11_c2_x10_050723.npz,,4.659859769162722e-05,0.0001645323827688111,3.961705806432292e-05,0.00012879222049377859,0.00047659248230047524,8.213662658818066e-05,0.006547974888235331,0.007190090557560324,-0.0007657189853489399,0.0014048533824582848,0.4842105263157895,12.58984375,0.22360679941597944,96,96,96
source_balanced_cycle98_rank6_obj2_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,24.558909812946133,source_balanced_pre_event_candidate,835.7142857142857,94.66666666666669,42.0,13457.7646484375,29.523515701293945,740,0,932,192,192,96,96,2706,3607,8964.4775390625,8968.39453125,3.9169921875,0.08117502182722092,0.08182970434427261,0.0006546825170516968,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj2_11_c2_x10_050723.npz,,7.401790207950398e-05,0.0002658739103935659,6.31320581305772e-05,0.00020811634021811187,0.000775497744325548,0.0001339855807600543,0.008264833129942417,0.008998646028339862,-0.0009861774742603302,0.0011544865556061268,0.49473684210526314,3.9169921875,0.22360679941597944,96,96,96
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,23.335890706615764,source_balanced_pre_event_candidate,1342.2222222222222,204.22222222222223,108.0,8197.46484375,20.41080665588379,1246,108,1438,300,192,96,96,4510,5411,8880.9482421875,8886.0986328125,5.150390625,0.07151804119348526,0.07171154767274857,0.00019350647926330566,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj1_11_c2_x10_050723.npz,,3.925899727619253e-05,0.00015423031218233512,3.9539831050205976e-05,0.00011235912097617984,0.0004433865309692919,7.316670962609351e-05,0.00626193406060338,0.006691812351346016,4.419684410095215e-05,0.0009816125966608524,0.5368421052631579,5.150390625,0.2915601564253875,96,96,96
source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,24.28248417017058,source_balanced_pre_event_candidate,834.3111111111111,94.22222222222224,45.0,12717.9267578125,27.73917961120605,738,0,930,192,192,96,96,4510,5411,8958.8818359375,8964.2412109375,5.359375,0.08066722750663757,0.08088615536689758,0.00021892786026000977,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj2_11_c2_x10_050723.npz,,6.338733510347083e-05,0.00024976516433525725,6.409709749277681e-05,0.0001845976075856015,0.0007306311745196575,0.000121319193567615,0.00795654021203518,0.008434616681188344,9.234156459569931e-05,0.0008564217326541695,0.5263157894736842,5.359375,0.2915601564253875,96,96,96
source_balanced_cycle102_rank8_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,24.32786903333057,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12752.44140625,27.896915435791016,738,0,930,192,192,96,96,6314,7215,8966.798828125,8960.958984375,-5.83984375,0.0812777653336525,0.08105248957872391,-0.00022527575492858887,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj1_11_c2_x10_050723.npz,,6.342729466268793e-05,0.00025000079767778516,6.312074401648715e-05,0.00018593583081383258,0.0007352706568781286,0.00012250314466655254,0.007960005663335323,0.00823961803689599,-5.596131086349487e-05,-0.00013742937395969101,0.5578947368421052,-5.83984375,0.22360679941597944,96,96,96
source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,22.59967126305032,source_balanced_pre_event_candidate,1337.7518248175184,199.94160583941607,137.0,6112.04638671875,17.030691146850586,1242,104,1434,296,192,96,96,6314,7215,8884.5400390625,8882.544921875,-1.9951171875,0.07142522931098938,0.07140012830495834,-2.5101006031036377e-05,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj2_11_c2_x10_050723.npz,,3.8753867556806654e-05,0.00015208171898848378,3.856224429910071e-05,0.00011142544099129736,0.000438649755960796,7.268086483236402e-05,0.006221418734639883,0.006460979906842112,-5.581323057413101e-05,8.766120299696922e-05,0.5473684210526316,-1.9951171875,0.22360679941597944,96,96,96
source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,23.914457040802272,source_balanced_pre_event_candidate,1342.125,203.375,96.0,9298.2919921875,22.527719497680664,1246,107,1438,299,192,96,96,8118,9019,8889.599609375,8880.17578125,-9.423828125,0.07188384979963303,0.07147625088691711,-0.00040759891271591187,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj1_11_c2_x10_050723.npz,,3.839456621790305e-05,0.0001508090783318039,3.837500844383612e-05,0.00011059777170885354,0.0004369754635263234,7.219647523015738e-05,0.006195400841534138,0.006403232039883733,8.536968380212784e-06,0.00013639871031045914,0.49473684210526314,-9.423828125,0.24998779565108997,96,96,96
source_balanced_cycle104_rank9_obj2_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,24.37434705398142,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12765.328125,27.745155334472656,738,0,930,192,192,96,96,8118,9019,8966.6513671875,8957.9599609375,-8.69140625,0.08209259063005447,0.08165984600782394,-0.0004327446222305298,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj2_11_c2_x10_050723.npz,,6.336763908620924e-05,0.0002497990499250591,6.330760515993461e-05,0.00018642125360202044,0.0007358949980698525,0.00012302603863645345,0.00795933697372675,0.00816221972927451,3.738701343536377e-05,5.745328962802887e-06,0.49473684210526314,-8.69140625,0.24998779565108997,96,96,96
source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.629607198020047,source_balanced_pre_event_candidate,1341.0181818181818,198.21818181818185,110.0,8347.205078125,19.803709030151367,1245,102,1437,294,192,96,96,904,1807,8853.5986328125,8840.9873046875,-12.611328125,0.07480251044034958,0.07426752150058746,-0.0005349889397621155,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj1_12_c2_x10_070723.npz,,5.136245454195887e-05,0.0001820005600166036,5.873591362615116e-05,0.0001382935734000057,0.0005074409942608326,8.685090142535046e-05,0.006997478660196066,0.010090356692671774,-3.485195338726044e-05,0.0015991069376468658,0.5263157894736842,-12.611328125,0.21212340707186456,96,96,96
source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.87471907906338,source_balanced_pre_event_candidate,1664.225352112676,223.2112676056338,71.0,10313.61328125,22.96823501586914,1568,127,1760,319,192,96,96,904,1807,8251.080078125,8235.2099609375,-15.8701171875,0.07885780930519104,0.07806313037872314,-0.0007946789264678955,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj2_12_c2_x10_070723.npz,,5.1440401875879616e-05,0.00017834734244388524,6.0734320868505165e-05,0.00013491978461388499,0.00048707058158470285,8.339915075339377e-05,0.006948090624064207,0.010479519050568337,1.1669006198644638e-05,0.002296239758531257,0.5052631578947369,-15.8701171875,0.21212340707186456,96,96,96
source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,3,11,1,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,8.0,22.0,1.0,0.0,True,23.272265275644223,source_balanced_pre_event_candidate,1344.7118644067796,206.2372881355932,118.0,7579.54248046875,18.480348587036133,1249,110,1441,302,192,96,96,2712,3615,8847.9951171875,8846.1474609375,-1.84765625,0.07443984597921371,0.07437852770090103,-6.13182783126831e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle108_rank11_obj1_12_c2_x10_070723.npz,,5.6962704547913745e-05,0.0001979876687983051,5.703317583538592e-05,0.0001594552886672318,0.0005592489731498062,0.00010233800276182592,0.007338429801166058,0.011745800636708735,0.0010609603486955166,0.0015261390556891713,0.5263157894736842,-1.84765625,0.22360679941597944,96,96,96
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,3,11,2,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,8.0,22.0,1.0,0.0,True,23.55256855416359,source_balanced_pre_event_candidate,1665.6533333333334,226.02666666666667,75.0,9762.6484375,21.80430603027344,1570,130,1762,322,192,96,96,2712,3615,8227.8125,8228.380859375,0.568359375,0.07692088931798935,0.07685554772615433,-6.534159183502197e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle108_rank11_obj2_12_c2_x10_070723.npz,,5.770324787590653e-05,0.00019339076461619633,5.820326623506844e-05,0.00015893149247858673,0.000538775121094659,0.0001010406413115561,0.007301890756934881,0.01249303789809346,0.0012577096931636333,0.002262398755798728,0.5263157894736842,0.568359375,0.22360679941597944,96,96,96
source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,5,12,1,near_pre_event_1_8,near_pre_event_1_8,source_balanced_pre_event_sampling,6.0,24.0,1.0,0.0,True,23.03471399548354,source_balanced_pre_event_candidate,1346.7768595041323,202.54545454545453,121.0,6796.548828125,17.81061363220215,1251,107,1443,299,192,96,96,4521,5424,8822.193359375,8827.9375,5.744140625,0.07563094049692154,0.07578388601541519,0.00015294551849365234,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle110_rank12_obj1_12_c2_x10_070723.npz,,7.967016426846385e-05,0.00023637131089344549,5.389114812714979e-05,0.00022100961359683424,0.000661390597815625,0.0001418118190485984,0.00822837371379137,0.011609232798218724,-0.0018472801893949509,0.000893127483626216,0.5157894736842106,5.744140625,0.21216656105426437,96,96,96
source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,110.0,12_c2_x10_070723,5,12,2,near_pre_event_1_8,near_pre_event_1_8,source_balanced_pre_event_sampling,6.0,24.0,1.0,0.0,True,23.988204537386228,source_balanced_pre_event_candidate,839.8367346938776,97.3877551020408,49.0,11246.7548828125,25.28079605102539,744,1,936,193,192,96,96,4521,5424,8950.5302734375,8944.8525390625,-5.677734375,0.09027808159589767,0.08988620340824127,-0.0003918781876564026,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle110_rank12_obj2_12_c2_x10_070723.npz,,0.00012261242954991758,0.0004094739677384494,9.030968794832006e-05,0.00034411458182148635,0.0011743554496206343,0.00022224070562515408,0.010422548279166222,0.014149779919534918,-0.001965009607374668,0.0007177229660252776,0.5157894736842106,-5.677734375,0.21216656105426437,96,96,96
source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,112.0,12_c2_x10_070723,7,13,1,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,4.0,26.0,1.0,0.0,True,24.199332988208194,source_balanced_pre_event_candidate,840.25,97.91666666666669,48.0,11418.2138671875,26.13363075256348,744,2,936,194,192,96,96,6329,7232,8936.3203125,8931.7939453125,-4.5263671875,0.08929891884326935,0.08905303478240967,-0.0002458840608596802,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle112_rank13_obj1_12_c2_x10_070723.npz,,0.00011098005052190274,0.00036523459129966795,0.00010412758274469525,0.0002980294812005013,0.0010491410794202232,0.0001866551028797403,0.00980662927031517,0.012817056663334362,-0.001920703798532486,0.00038365911071498726,0.5157894736842106,-4.5263671875,0.21216656105426437,96,96,96
source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,112.0,12_c2_x10_070723,7,13,2,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,4.0,26.0,1.0,0.0,True,23.08806596464201,source_balanced_pre_event_candidate,1199.6571428571428,1123.0285714285717,70.0,9125.0146484375,20.91178703308105,1104,1008,1296,1200,192,96,96,6329,7232,8304.390625,8298.8212890625,-5.5693359375,0.07390235364437103,0.07339195162057877,-0.0005104020237922668,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle112_rank13_obj2_12_c2_x10_070723.npz,,0.0001253833615919575,0.00034919126337626947,0.0001272894733119756,0.00031988794216886163,0.0009731392725370823,0.000193969885003753,0.010042729787528515,0.013971085567027327,-0.002134779468178749,0.0005129359972973757,0.4842105263157895,-5.5693359375,0.21216656105426437,96,96,96
source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,114.0,12_c2_x10_070723,9,14,1,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,2.0,28.0,1.0,0.0,True,23.942180100195944,source_balanced_pre_event_candidate,1343.728155339806,205.35922330097088,103.0,9044.693359375,21.196462631225582,1248,109,1440,301,192,96,96,8137,9041,8807.0703125,8800.0625,-7.0078125,0.07192617654800415,0.07156578451395035,-0.0003603920340538025,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle114_rank14_obj1_12_c2_x10_070723.npz,,4.977737262379378e-05,0.0001781803002813831,5.6141925597330555e-05,0.0001339259761152789,0.0005028663756093011,8.423090912401676e-05,0.006810667458921671,0.007210616301745175,-7.9356599599123e-05,0.0003352286294102669,0.5263157894736842,-7.0078125,0.21216656105426437,96,96,96
