holdout_event_reference_cycle,n_train,n_test,roc_auc,balanced_accuracy
60.0,38,14,0.7291666666666667,0.6666666666666667
86.0,38,14,0.5208333333333333,0.41666666666666663
116.0,42,10,0.20833333333333331,0.3333333333333333
156.0,38,14,0.41666666666666663,0.375
