roi_id,cycleNo,cohort_role,event_reference_cycle,roi_norm_mean_delta_protocol_residual_shape_residual,high_fraction_delta_protocol_residual_shape_residual,low_fraction_delta_protocol_residual_shape_residual,first_last_corr_protocol_residual_shape_residual,cumulative_abs_norm_change_protocol_residual_shape_residual,latent_net_displacement_protocol_residual_shape_residual,dmd_minus_persistence_mse_protocol_residual_shape_residual,phase_slope_median_per_s_protocol_residual_shape_residual,phase_slope_positive_fraction_protocol_residual_shape_residual,threshold_robust_phase_score_protocol_residual_shape_residual,diffusion_proxy_median_um2_per_s_protocol_residual_shape_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual_shape_residual,q60_logistic_k_per_s_shape_residual,q70_logistic_k_per_s_shape_residual,q70_transformed_fraction_delta_shape_residual,q80_transformed_fraction_delta_shape_residual,mode_review_priority_shape_residual
cycle60_rank3_obj9,60.0,event,60.0,4.8764112073667806e-05,0.009424975804281088,-0.003770795190315847,-0.004285876873084328,0.0014969002726919235,1.2069980681268075,6.749171887841552e-05,2.299665615127081e-06,0.14206078134422326,0.1565375936259963,-3.324472885613291e-06,2.094257016472513e-06,-0.0006341924127928034,0.00029372174613562403,0.000917013345236084,0.0005177440414482473,0.5162212627745264
cycle60_rank6_obj26,60.0,event,60.0,-0.00045580410711103204,0.000737138776120614,-0.005718069006972568,-0.03925053217814142,0.013661973578060269,-0.9474823891791075,0.0007211386391057939,-2.934669523273975e-08,0.14206078134422334,0.17576836285676561,4.2266724285885507e-08,-1.2724825934266907e-06,-0.0006315235454487753,0.0003223230334216381,-0.0018607644325417064,-0.0062964920696627425,0.43929818585144975
cycle60_rank4_obj5,60.0,event,60.0,-0.00036048882953460416,0.0029839931799553153,-0.008414294291574068,-0.02988585388260745,0.0023513626578698012,0.942151743206189,0.001011309355758794,-3.0231462246347424e-07,0.14206078134422334,0.04115297824138101,3.1146980456944616e-06,-1.8886887799811378e-06,-0.0004976752819410169,-0.00461506088336529,-0.007915451932541628,-0.004929304569662861,0.32391357046684455
cycle62_rank3_obj9,62.0,control,60.0,0.0006693360093401363,-0.0003218129102508932,-0.007562013144659244,-0.04138894596239855,0.006277077614500145,1.582502878271178,0.002048038818446287,1.4466295005879388e-06,-0.028771428008791046,0.047867951213386536,-4.0865788555288484e-06,2.0347126599105e-06,0.0036113492457744496,0.000721547721608538,0.0019392767784202642,0.001915551548046364,0.422014426233825
cycle156_rank7_obj27,156.0,event,156.0,0.010305130353245852,0.020894262825949608,0.016476110712729378,-0.05181984601547397,0.017411205934283365,-0.633956938738466,0.002269123763072612,-2.305963588562554e-07,0.027926210817564186,0.03650348577716775,1.6320892396907033e-06,-5.2589316031170856e-08,0.1348321480004499,0.11170137497065352,0.12167998148718001,0.09600970449067932,0.7190299324712517
cycle157_rank2_obj2,157.0,control,156.0,-0.010149367135525141,-0.059466070653548316,0.05027244930132,-0.028251124688361058,0.005517440927531929,1.0685607527748484,-3.0273569156387662e-05,-8.041494471488246e-07,-0.09055480064304168,-0.10063062907707296,-1.0891976215391473e-06,4.177048811912757e-07,-0.7986854380434091,-0.8090141576943997,-0.1404510949017088,-0.10527067745376498,0.5651837786251033
cycle156_rank5_obj4,156.0,event,156.0,0.006039199849639045,0.05684393328730369,-0.0826850636431723,-0.026792776679500228,0.004174593852755663,0.4648379983953229,0.00037541814354991233,1.1692273850708053e-06,0.027926210817564134,0.01727271654639854,8.469247475528352e-07,-8.377538081690524e-07,0.07306176848031154,0.048857276921562,0.1657555023205133,0.1299723781017904,0.39210685554817504
cycle62_rank4_obj1,62.0,control,60.0,-0.0007057133433057564,-0.009908391699945295,0.022545835866724654,-0.047557090370442756,0.006060899018480345,-0.4823794001712045,-0.000438176780773113,-1.1037265940191542e-06,-0.02877142800879106,-0.20213204878661334,4.6459025060519224e-08,-2.098325220678868e-06,-0.0017327432598133502,0.0008697556967902382,-0.0036813829438019407,-0.00290215678528694,0.03739904161843999
cycle60_rank2_obj2,60.0,event,60.0,0.001321315827447682,0.010173927272226005,-0.0022728922544260604,0.030578969350320527,-0.0059019695695988654,-0.36530618068299253,0.00029988558247659393,6.823971961291138e-07,0.1420607813442233,0.464229901318304,5.944492301419333e-06,9.4110547574368e-07,-0.0006637859834938893,0.0002669227036387243,-0.0007105908214305135,0.0012555912636704513,-0.23377873722547005
cycle58_rank3_obj9,58.0,control,60.0,5.230112681380962e-05,-0.0009624622647975048,0.006169154778498248,0.005886206274966804,-0.0010325286326386615,0.5604291031922626,0.00020398282832590088,1.8516567795448243e-06,0.06931689768283561,0.09421791919665663,-1.4709445851450716e-06,5.68763688557222e-07,-0.006375213147258543,-0.0029752791121517817,-0.00496040398472548,-0.002913749421483141,0.3730531405993882
cycle156_rank1_obj1,156.0,event,156.0,-0.012703961262430955,-0.0688301230338466,0.05961571526635429,0.04517429134807043,-0.014126786945464938,-0.885912447924257,-0.0004588318802359877,-9.445722275915558e-07,0.02792621081756414,0.09419579346947554,-2.788333542537538e-06,1.751201241319511e-06,0.016947081204680026,0.030368220545275937,0.035981196764957715,0.03576664893512381,0.3344145478558671
cycle156_rank6_obj3,156.0,event,156.0,-0.005453741678919555,-0.04036996725194131,0.03235388183316079,0.03493385148770443,-0.008713059110644138,0.6296252908757918,-0.0003993798496947877,-5.47223086075834e-07,0.02792621081756414,0.28650348577716783,1.3366767383702605e-07,-1.1707999750550532e-06,0.0328507710566181,0.034598221284211916,0.06920602315384661,0.07161734337956821,0.2574914709327909
cycle60_rank5_obj18,60.0,event,60.0,7.001316793618173e-05,-0.005404263261027395,-0.00781513311721816,0.023928056922438927,-0.004302141788279265,-1.4844192683371062,0.0005741911873521939,-1.4795371733431166e-06,-0.572224932941491,-0.7376931756047728,-1.8751094041121578e-06,6.448935349714067e-07,-0.005574196807080489,-0.004590382465275076,-0.008154167210319413,-0.007121144847440549,-0.40685566030239295
cycle157_rank4_obj8,157.0,control,156.0,-0.005216963571072055,-0.00029890468590300796,0.03694111317190119,-0.02035496849657687,0.005076720458772262,-0.07169469842755838,-0.0008502786745807877,3.017468038442624e-08,-0.09055480064304167,-0.042938321384765256,1.9521462267002473e-06,-2.1838292672498492e-07,0.1193772848135839,0.10270815396198224,-0.10431828240170879,-0.08458925384265388,0.18056839400971336
