target,n,ridge_alpha,variance_explained_by_shape_pcs_and_event_ref
roi_norm_mean_delta_protocol_residual,52,0.0001,0.2743868007581275
high_fraction_delta_protocol_residual,52,10.0,0.17118405168152895
low_fraction_delta_protocol_residual,52,21.54434690031882,0.13959738692502666
first_last_corr_protocol_residual,52,0.0001,0.5829257309546452
cumulative_abs_norm_change_protocol_residual,52,0.0001,0.4233107939270314
latent_net_displacement_protocol_residual,52,0.0001,0.4129215063623114
dmd_minus_persistence_mse_protocol_residual,52,10000.0,0.0008957001051397295
phase_slope_median_per_s_protocol_residual,52,10000.0,0.00011280380895706266
phase_slope_positive_fraction_protocol_residual,52,100.0,0.11218047586705382
threshold_robust_phase_score_protocol_residual,52,10000.0,0.0013607180358875537
diffusion_proxy_median_um2_per_s_protocol_residual,52,10000.0,0.0017939901341884612
diffusion_proxy_abs_median_um2_per_s_protocol_residual,52,0.0001,0.3718056396766364
q60_logistic_k_per_s,48,2.154434690031882,0.5439256016189518
q70_logistic_k_per_s,50,1.0,0.5146240533938973
q70_transformed_fraction_delta,52,46.41588833612773,0.13207721082468005
q80_transformed_fraction_delta,52,46.41588833612773,0.1464849482897086
mode_review_priority,52,0.00021544346900318845,0.8389892525668183
