pc,feature,loading,abs_loading
echem_shape_pc1,neg_dq_abs_total_mAh,0.17177073297938406,0.17177073297938406
echem_shape_pc1,shape_charge_mAh_neg_abs,0.1717691362814909,0.1717691362814909
echem_shape_pc1,shape_charge_mAh_abs,0.17176226163547745,0.17176226163547745
echem_shape_pc1,echem_shape_duration_s,0.17176226163547742,0.17176226163547742
echem_shape_pc1,shape_charge_mAh_pos,0.17175077274004805,0.17175077274004805
echem_shape_pc1,neg_dq_abs_highV_frac,0.1717485608171365,0.1717485608171365
echem_shape_pc1,shape_dIdt_slope,0.17170875780666178,0.17170875780666178
echem_shape_pc1,all_dq_abs_total_mAh,0.17169067132266227,0.17169067132266227
echem_shape_pc1,neg_dq_abs_entropy,0.171311099017783,0.171311099017783
echem_shape_pc1,all_dq_abs_highV_frac,0.1711585939174294,0.1711585939174294
echem_shape_pc1,shape_V_mean,0.17111384123843845,0.17111384123843845
echem_shape_pc1,shape_V_max,0.17100836006533301,0.17100836006533301
echem_shape_pc2,shape_I_neg_fraction,0.3901887333808708,0.3901887333808708
echem_shape_pc2,shape_I_pos_fraction,-0.39018873338087035,0.39018873338087035
echem_shape_pc2,shape_I_mean_mA,-0.39018873338086996,0.39018873338086996
echem_shape_pc2,shape_dVdt_sign_consistency,0.358409484121549,0.358409484121549
echem_shape_pc2,shape_V_min,0.321439054507707,0.321439054507707
echem_shape_pc2,shape_V_q10,-0.27247177198448963,0.27247177198448963
echem_shape_pc2,shape_V_q05,-0.2523826535991732,0.2523826535991732
echem_shape_pc2,shape_V_q25,-0.17454844356539562,0.17454844356539562
echem_shape_pc2,all_dqdv_abs_integral_proxy,0.1579518096668986,0.1579518096668986
echem_shape_pc2,all_dq_abs_lowV_frac,0.145522012407807,0.145522012407807
echem_shape_pc2,shape_dVdt_slope,-0.14078803404080423,0.14078803404080423
echem_shape_pc2,shape_charge_mAh_signed,0.13523972814723229,0.13523972814723229
echem_shape_pc3,all_dq_abs_lowV_frac,0.45464825237270384,0.45464825237270384
echem_shape_pc3,pos_dq_abs_lowV_frac,-0.3935744694490784,0.3935744694490784
echem_shape_pc3,all_dqdv_abs_integral_proxy,-0.33318246492943376,0.33318246492943376
echem_shape_pc3,neg_dq_abs_lowV_frac,0.3012806413848135,0.3012806413848135
echem_shape_pc3,shape_dVdt_abs_p95,0.2995083349708536,0.2995083349708536
echem_shape_pc3,shape_I_mean_mA,0.22236255324665022,0.22236255324665022
echem_shape_pc3,shape_I_pos_fraction,0.2223625532466502,0.2223625532466502
echem_shape_pc3,shape_I_neg_fraction,-0.22236255324664894,0.22236255324664894
echem_shape_pc3,pos_dq_abs_peak_frac,-0.1809709450647816,0.1809709450647816
echem_shape_pc3,pos_dq_abs_total_mAh,-0.1410505294594442,0.1410505294594442
echem_shape_pc3,all_dq_abs_peak_frac,-0.12046613843288591,0.12046613843288591
echem_shape_pc3,shape_dVdt_sign_consistency,0.12016150104953986,0.12016150104953986
echem_shape_pc4,shape_dVdt_abs_p95,0.5198204280566492,0.5198204280566492
echem_shape_pc4,shape_V_min,0.48900473407964085,0.48900473407964085
echem_shape_pc4,all_dqdv_abs_integral_proxy,0.4206444547357082,0.4206444547357082
echem_shape_pc4,pos_dq_abs_lowV_frac,-0.3255946462417401,0.3255946462417401
echem_shape_pc4,shape_V_q05,0.28008456704544465,0.28008456704544465
echem_shape_pc4,shape_dVdt_sign_consistency,-0.1942013352150775,0.1942013352150775
echem_shape_pc4,shape_V_q10,0.1781938234934645,0.1781938234934645
echem_shape_pc4,all_dq_abs_lowV_frac,-0.11651026542183653,0.11651026542183653
echem_shape_pc4,neg_dqdv_abs_integral_proxy,0.08055616368875167,0.08055616368875167
echem_shape_pc4,shape_V_range,-0.08040181947972908,0.08040181947972908
echem_shape_pc4,neg_dq_abs_lowV_frac,-0.07248555911957814,0.07248555911957814
echem_shape_pc4,shape_dVdt_slope,0.0701894045608749,0.0701894045608749
echem_shape_pc5,shape_dVdt_abs_p95,0.6396784807656828,0.6396784807656828
echem_shape_pc5,pos_dq_abs_lowV_frac,0.3782087171715277,0.3782087171715277
echem_shape_pc5,all_dqdv_abs_integral_proxy,-0.3045844808533083,0.3045844808533083
echem_shape_pc5,shape_charge_mAh_signed,0.2745846697643362,0.2745846697643362
echem_shape_pc5,neg_dq_abs_lowV_frac,-0.23493690462820252,0.23493690462820252
echem_shape_pc5,all_dq_abs_lowV_frac,-0.23302136468982673,0.23302136468982673
echem_shape_pc5,shape_V_q05,-0.22523509896295021,0.22523509896295021
echem_shape_pc5,pos_dq_abs_peak_frac,-0.1724474541960631,0.1724474541960631
echem_shape_pc5,pos_dq_abs_total_mAh,0.13791014805157265,0.13791014805157265
echem_shape_pc5,neg_dqdv_abs_integral_proxy,-0.10180846863244696,0.10180846863244696
echem_shape_pc5,shape_V_min,-0.0929838425299059,0.0929838425299059
echem_shape_pc5,neg_dq_abs_midV_frac,0.06922339712457484,0.06922339712457484
echem_shape_pc6,shape_dVdt_sign_consistency,0.5931004817857922,0.5931004817857922
echem_shape_pc6,shape_V_min,-0.3916864868397966,0.3916864868397966
echem_shape_pc6,pos_dq_abs_lowV_frac,-0.342497283963608,0.342497283963608
echem_shape_pc6,pos_dq_abs_peak_frac,0.3208774505611068,0.3208774505611068
echem_shape_pc6,all_dq_abs_lowV_frac,-0.2667980428117431,0.2667980428117431
echem_shape_pc6,all_dqdv_abs_integral_proxy,0.17823169001290262,0.17823169001290262
echem_shape_pc6,shape_dVdt_abs_p95,0.171152673240423,0.171152673240423
echem_shape_pc6,all_dq_abs_peak_frac,0.13473981991250766,0.13473981991250766
echem_shape_pc6,all_dq_abs_entropy,-0.12167034440954087,0.12167034440954087
echem_shape_pc6,neg_dq_abs_peak_frac,0.10237067597462017,0.10237067597462017
echem_shape_pc6,neg_dq_abs_lowV_frac,-0.09467098259477269,0.09467098259477269
echem_shape_pc6,pos_dq_abs_entropy,-0.07859025334157886,0.07859025334157886
