rho,p_value,n,pc,target
0.09170301420423753,0.5179107249900421,52,echem_shape_pc1,first_last_corr_protocol_residual
0.09133139144970998,0.5196155938854932,52,echem_shape_pc2,first_last_corr_protocol_residual
0.08276221085996575,0.5596905914572843,52,echem_shape_pc5,dmd_minus_persistence_mse_protocol_residual
-0.0815583968838208,0.5654345950683185,52,echem_shape_pc5,diffusion_proxy_abs_median_um2_per_s_protocol_residual
0.07924361864318526,0.576556087214969,52,echem_shape_pc6,phase_slope_median_per_s_protocol_residual
0.07573590114279384,0.5935970807590822,52,echem_shape_pc1,diffusion_proxy_median_um2_per_s_protocol_residual
0.0743981159944026,0.600154580358644,52,echem_shape_pc1,threshold_robust_phase_score_protocol_residual
0.07319371117087678,0.6060853058955139,52,echem_shape_pc4,q70_transformed_fraction_delta
0.07167939133799461,0.6135779558970921,52,echem_shape_pc1,phase_slope_median_per_s_protocol_residual
-0.06734320628682523,0.6352482268072953,52,echem_shape_pc2,phase_slope_positive_fraction_protocol_residual
-0.06604692060554226,0.6417868400769433,52,echem_shape_pc4,phase_slope_positive_fraction_protocol_residual
-0.06284169826061824,0.6580695542373303,52,echem_shape_pc3,cumulative_abs_norm_change_protocol_residual
-0.060066920914015096,0.6722940775736383,52,echem_shape_pc6,first_last_corr_protocol_residual
-0.05918674405562133,0.6768303521629647,52,echem_shape_pc6,q80_transformed_fraction_delta
-0.05844837871121245,0.6806445521877174,52,echem_shape_pc3,phase_slope_median_per_s_protocol_residual
-0.05795630497707812,0.6831908871324672,52,echem_shape_pc1,cumulative_abs_norm_change_protocol_residual
-0.05329563413752158,0.7074784748955134,52,echem_shape_pc1,dmd_minus_persistence_mse_protocol_residual
-0.05119897427331691,0.7185011441366898,52,echem_shape_pc2,threshold_robust_phase_score_protocol_residual
0.050917364292783845,0.7199860330375137,52,echem_shape_pc4,phase_slope_median_per_s_protocol_residual
-0.0482034197017098,0.734348070516452,52,echem_shape_pc1,latent_net_displacement_protocol_residual
-0.04420740631620467,0.765435760483132,48,echem_shape_pc2,q60_logistic_k_per_s
-0.0414672937133761,0.7703772582641246,52,echem_shape_pc2,diffusion_proxy_abs_median_um2_per_s_protocol_residual
0.04023159713016005,0.7770415974506096,52,echem_shape_pc4,q80_transformed_fraction_delta
0.038970050315745165,0.7838618000325368,52,echem_shape_pc1,low_fraction_delta_protocol_residual
-0.04012734295245387,0.7865516640444898,48,echem_shape_pc3,q60_logistic_k_per_s
0.03790549699253845,0.7938249821113555,50,echem_shape_pc2,q70_logistic_k_per_s
-0.03620728053523421,0.7988536414309952,52,echem_shape_pc1,high_fraction_delta_protocol_residual
-0.03561258141253939,0.8020903327576542,52,echem_shape_pc2,low_fraction_delta_protocol_residual
-0.031145872221704157,0.826502446405755,52,echem_shape_pc1,phase_slope_positive_fraction_protocol_residual
0.029562385557871107,0.8351972163836531,52,echem_shape_pc6,mode_review_priority
-0.02923770269680713,0.8369824695276251,52,echem_shape_pc1,q80_transformed_fraction_delta
0.028506681592181133,0.8410049215761223,52,echem_shape_pc2,high_fraction_delta_protocol_residual
-0.026268940693734585,0.8533427332718445,52,echem_shape_pc5,first_last_corr_protocol_residual
-0.02536608021162587,0.8583307045693342,52,echem_shape_pc5,threshold_robust_phase_score_protocol_residual
-0.022354243589623627,0.8750086231836803,52,echem_shape_pc3,diffusion_proxy_median_um2_per_s_protocol_residual
-0.019592542720234817,0.8903490674768022,52,echem_shape_pc2,latent_net_displacement_protocol_residual
0.015865922560681152,0.9111115949522653,52,echem_shape_pc6,cumulative_abs_norm_change_protocol_residual
0.014456710474550388,0.9189790126592392,52,echem_shape_pc1,diffusion_proxy_abs_median_um2_per_s_protocol_residual
0.012620025764469599,0.9292443883551668,52,echem_shape_pc3,first_last_corr_protocol_residual
0.012229191500102609,0.9314303225955175,52,echem_shape_pc2,phase_slope_median_per_s_protocol_residual
0.012013888832847281,0.932634724723245,52,echem_shape_pc2,roi_norm_mean_delta_protocol_residual
-0.008900395582821134,0.9500669745879678,52,echem_shape_pc6,latent_net_displacement_protocol_residual
-0.005307986233939396,0.9702089614964748,52,echem_shape_pc1,roi_norm_mean_delta_protocol_residual
-0.0009903922693745072,0.9944402204755003,52,echem_shape_pc2,cumulative_abs_norm_change_protocol_residual
