holdout_event_cycle,n_train,n_test,accuracy,roc_auc,mean_event_probability_for_events,mean_event_probability_for_controls
86.0,14,13,0.38461538461538464,0.1,0.8355222433027789,0.9864933095956985
116.0,13,14,0.2857142857142857,0.3125,0.5696655662555361,0.687477804729054
