roi_class,event_cycle,n_roi,roi_mean_delta,temporal_diff_energy,cumulative_abs_change,persistence_tail_mse,stage_drift_xy_sampled
control,86.0,8,4.6790577471256256e-05,0.00010033525813923916,0.00712373829446733,0.00011272516348981299,0.1802775637731931
control,116.0,8,-0.0008760327473282814,7.406685153910075e-05,0.006563862960319966,7.420113070111256e-05,0.2915475947422533
event,86.0,5,0.000164148211479187,8.426418862654828e-05,0.006591827236115932,9.07012406969443e-05,0.2499999999999317
event,116.0,6,-0.0006899808843930563,0.00010499935524421744,0.007677388610318303,0.0001035224352866256,0.2236067977499281
