cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_subrole,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,balanced_cycle_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
131.0,15_c2_x5_HighCOV_120723,0,5,3,24.27790867526057,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,131.0,1350.923976608187,184.58479532163742,337.7309941520468,46.146198830409354,171,5058.2412109375,14.909200668334961,5,0.6026405442281145,0,0,0,0,1238,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_131_rank5_15_c2_x5_HighCOV_120723_local0.png
131.0,15_c2_x5_HighCOV_120723,0,5,2,23.84833496208426,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,131.0,1200.05,1106.2,300.0125,276.55,80,8524.5419921875,19.450069427490234,5,0.6026405442281145,0,0,0,0,1238,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_131_rank5_15_c2_x5_HighCOV_120723_local0.png
104.0,11_c2_x10_050723,9,6,3,26.27643821059555,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,104.0,1194.5333333333333,678.5333333333333,298.6333333333333,169.63333333333333,30,14258.4384765625,30.942378997802734,6,0.3719069574735253,0,1,0,8118,9020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_104_rank6_11_c2_x10_050723_local9.png
104.0,11_c2_x10_050723,9,6,2,26.016309967505702,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,104.0,834.0909090909091,94.0909090909091,208.52272727272728,23.522727272727273,44,13086.8427734375,28.433032989501953,6,0.3719069574735253,0,1,0,8118,9020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_104_rank6_11_c2_x10_050723_local9.png
104.0,11_c2_x10_050723,9,6,1,25.171350942555236,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,104.0,1343.0384615384614,203.26923076923077,335.75961538461536,50.81730769230769,104,8502.423828125,21.169919967651367,6,0.3719069574735253,0,1,0,8118,9020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_104_rank6_11_c2_x10_050723_local9.png
129.0,14_c2_x10_HighCOV_110723,8,7,1,26.13056365775394,balanced_future_roi_candidate,future8_negative,low_risk_negative,129.0,843.4893617021277,77.44680851063829,210.87234042553192,19.361702127659573,47,12728.12890625,28.51133155822754,7,0.2863584478094875,0,0,0,9521,10711,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_129_rank7_14_c2_x10_HighCOV_110723_local8.png
129.0,14_c2_x10_HighCOV_110723,8,7,2,24.688025072654327,balanced_future_roi_candidate,future8_negative,low_risk_negative,129.0,1202.7540983606557,1107.2131147540983,300.6885245901639,276.8032786885246,61,10286.3154296875,23.285369873046875,7,0.2863584478094875,0,0,0,9521,10711,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_129_rank7_14_c2_x10_HighCOV_110723_local8.png
129.0,14_c2_x10_HighCOV_110723,8,7,3,24.563972038934438,balanced_future_roi_candidate,future8_negative,low_risk_negative,129.0,1346.2893081761006,184.35220125786162,336.57232704402514,46.088050314465406,159,5546.13671875,16.377243041992188,7,0.2863584478094875,0,0,0,9521,10711,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_129_rank7_14_c2_x10_HighCOV_110723_local8.png
76.0,9_c2_x10_010723,1,8,1,26.288093847288607,balanced_future_roi_candidate,future8_negative,low_risk_negative,76.0,1334.6818181818182,122.27272727272727,333.67045454545456,30.568181818181817,88,10692.63671875,25.22130012512207,8,0.2739127589669339,0,1,0,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_76_rank8_9_c2_x10_010723_local1.png
76.0,9_c2_x10_010723,1,8,3,25.981851806001654,balanced_future_roi_candidate,future8_negative,low_risk_negative,76.0,576.0,184.22857142857143,144.0,46.05714285714286,35,12983.359375,29.623783111572266,8,0.2739127589669339,0,1,0,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_76_rank8_9_c2_x10_010723_local1.png
