model,feature,importance,abs_importance,feature_set,holdout_event_reference_cycle
random_forest,latent_component0_delta,0.009364936998615878,0.009364936998615878,all_physics_plus_qc,60.0
random_forest,latent_component1_delta,0.013103536191912547,0.013103536191912547,all_physics_plus_qc,60.0
random_forest,persistence_mse,0.008242840754254945,0.008242840754254945,all_physics_plus_qc,60.0
random_forest,persistence_mae,0.006562674359571686,0.006562674359571686,all_physics_plus_qc,60.0
random_forest,persistence_ssim,0.011295893320061626,0.011295893320061626,all_physics_plus_qc,60.0
random_forest,velocity_mse,0.008255685357525652,0.008255685357525652,all_physics_plus_qc,60.0
random_forest,velocity_mae,0.0064195635603315595,0.0064195635603315595,all_physics_plus_qc,60.0
random_forest,velocity_ssim,0.011590452489862069,0.011590452489862069,all_physics_plus_qc,60.0
random_forest,low_rank_dmd_mse,0.008022613430103505,0.008022613430103505,all_physics_plus_qc,60.0
random_forest,low_rank_dmd_mae,0.007720341021689717,0.007720341021689717,all_physics_plus_qc,60.0
random_forest,low_rank_dmd_ssim,0.017598466851811566,0.017598466851811566,all_physics_plus_qc,60.0
random_forest,dmd_minus_persistence_mse,0.011215433772406014,0.011215433772406014,all_physics_plus_qc,60.0
random_forest,velocity_minus_persistence_mse,0.004192981909840361,0.004192981909840361,all_physics_plus_qc,60.0
logistic_l2,roi_norm_mean_delta,0.2982480522425747,0.2982480522425747,all_physics_plus_qc,86.0
logistic_l2,roi_norm_mean_slope,0.3572409108541725,0.3572409108541725,all_physics_plus_qc,86.0
logistic_l2,roi_norm_mean_slope_r2,0.9384693927193185,0.9384693927193185,all_physics_plus_qc,86.0
logistic_l2,high_fraction_delta,0.265321503603674,0.265321503603674,all_physics_plus_qc,86.0
logistic_l2,high_fraction_slope,0.29645183408026204,0.29645183408026204,all_physics_plus_qc,86.0
logistic_l2,low_fraction_delta,-0.3054920121157334,0.3054920121157334,all_physics_plus_qc,86.0
logistic_l2,low_fraction_slope,0.07647094699172914,0.07647094699172914,all_physics_plus_qc,86.0
logistic_l2,high_radius2_delta_px2,-0.11874628663145485,0.11874628663145485,all_physics_plus_qc,86.0
logistic_l2,high_radius2_slope_px2_per_frame,-0.011348310797553659,0.011348310797553659,all_physics_plus_qc,86.0
logistic_l2,high_radius2_slope_um2_per_frame,-0.011348310797542298,0.011348310797542298,all_physics_plus_qc,86.0
logistic_l2,centroid_path_px,-0.5338883579134838,0.5338883579134838,all_physics_plus_qc,86.0
logistic_l2,first_last_corr,-0.03784183942707954,0.03784183942707954,all_physics_plus_qc,86.0
logistic_l2,cumulative_abs_norm_change,0.14051348401486255,0.14051348401486255,all_physics_plus_qc,86.0
logistic_l2,temporal_diff_energy,0.05506715897467953,0.05506715897467953,all_physics_plus_qc,86.0
logistic_l2,stage_drift_xy_sampled,-1.1215191034277918,1.1215191034277918,all_physics_plus_qc,86.0
logistic_l2,validation_score,-0.06260996044080859,0.06260996044080859,all_physics_plus_qc,86.0
logistic_l2,front_quality_score,0.484034178051312,0.484034178051312,all_physics_plus_qc,86.0
logistic_l2,apparent_diffusion_proxy_ds_px2_per_frame,-0.20196867035662752,0.20196867035662752,all_physics_plus_qc,86.0
logistic_l2,latent_path_length,-0.3106141480673149,0.3106141480673149,all_physics_plus_qc,86.0
logistic_l2,latent_mean_step,-0.31061419572108434,0.31061419572108434,all_physics_plus_qc,86.0
logistic_l2,latent_net_displacement,-0.26587490240352696,0.26587490240352696,all_physics_plus_qc,86.0
logistic_l2,latent_component0_delta,-0.10330218898564733,0.10330218898564733,all_physics_plus_qc,86.0
logistic_l2,latent_component1_delta,0.03535435842769452,0.03535435842769452,all_physics_plus_qc,86.0
logistic_l2,persistence_mse,-0.07295031605320153,0.07295031605320153,all_physics_plus_qc,86.0
logistic_l2,persistence_mae,0.0083883324800579,0.0083883324800579,all_physics_plus_qc,86.0
logistic_l2,persistence_ssim,0.10544623533619905,0.10544623533619905,all_physics_plus_qc,86.0
logistic_l2,velocity_mse,-0.04996655040726722,0.04996655040726722,all_physics_plus_qc,86.0
logistic_l2,velocity_mae,-0.004370247208575255,0.004370247208575255,all_physics_plus_qc,86.0
logistic_l2,velocity_ssim,0.13717057402855345,0.13717057402855345,all_physics_plus_qc,86.0
logistic_l2,low_rank_dmd_mse,0.06570122804341652,0.06570122804341652,all_physics_plus_qc,86.0
logistic_l2,low_rank_dmd_mae,0.10230020035324137,0.10230020035324137,all_physics_plus_qc,86.0
logistic_l2,low_rank_dmd_ssim,-0.19356708386129698,0.19356708386129698,all_physics_plus_qc,86.0
logistic_l2,dmd_minus_persistence_mse,0.0737251797030635,0.0737251797030635,all_physics_plus_qc,86.0
logistic_l2,velocity_minus_persistence_mse,-0.03013200198614943,0.03013200198614943,all_physics_plus_qc,86.0
random_forest,roi_norm_mean_delta,0.02619824954561104,0.02619824954561104,all_physics_plus_qc,86.0
random_forest,roi_norm_mean_slope,0.06890054552089321,0.06890054552089321,all_physics_plus_qc,86.0
random_forest,roi_norm_mean_slope_r2,0.06988666997764281,0.06988666997764281,all_physics_plus_qc,86.0
random_forest,high_fraction_delta,0.029019089325769232,0.029019089325769232,all_physics_plus_qc,86.0
random_forest,high_fraction_slope,0.04494729978357683,0.04494729978357683,all_physics_plus_qc,86.0
random_forest,low_fraction_delta,0.05256385678191591,0.05256385678191591,all_physics_plus_qc,86.0
random_forest,low_fraction_slope,0.03780286935193494,0.03780286935193494,all_physics_plus_qc,86.0
random_forest,high_radius2_delta_px2,0.013996440532604484,0.013996440532604484,all_physics_plus_qc,86.0
random_forest,high_radius2_slope_px2_per_frame,0.013200433883802012,0.013200433883802012,all_physics_plus_qc,86.0
random_forest,high_radius2_slope_um2_per_frame,0.011801899913489747,0.011801899913489747,all_physics_plus_qc,86.0
random_forest,centroid_path_px,0.07143056988831087,0.07143056988831087,all_physics_plus_qc,86.0
random_forest,first_last_corr,0.022367408724022653,0.022367408724022653,all_physics_plus_qc,86.0
random_forest,cumulative_abs_norm_change,0.04046375308666409,0.04046375308666409,all_physics_plus_qc,86.0
random_forest,temporal_diff_energy,0.005769084399442081,0.005769084399442081,all_physics_plus_qc,86.0
random_forest,stage_drift_xy_sampled,0.1097454438285864,0.1097454438285864,all_physics_plus_qc,86.0
random_forest,validation_score,0.026424641685831057,0.026424641685831057,all_physics_plus_qc,86.0
random_forest,front_quality_score,0.1258580682542769,0.1258580682542769,all_physics_plus_qc,86.0
random_forest,apparent_diffusion_proxy_ds_px2_per_frame,0.010485777581455866,0.010485777581455866,all_physics_plus_qc,86.0
random_forest,latent_path_length,0.010161241245536738,0.010161241245536738,all_physics_plus_qc,86.0
random_forest,latent_mean_step,0.011010565993758903,0.011010565993758903,all_physics_plus_qc,86.0
random_forest,latent_net_displacement,0.02668543226399741,0.02668543226399741,all_physics_plus_qc,86.0
random_forest,latent_component0_delta,0.013768364089710631,0.013768364089710631,all_physics_plus_qc,86.0
random_forest,latent_component1_delta,0.009909347885630488,0.009909347885630488,all_physics_plus_qc,86.0
random_forest,persistence_mse,0.008974741091779998,0.008974741091779998,all_physics_plus_qc,86.0
random_forest,persistence_mae,0.005346069290058239,0.005346069290058239,all_physics_plus_qc,86.0
random_forest,persistence_ssim,0.008285686761715934,0.008285686761715934,all_physics_plus_qc,86.0
random_forest,velocity_mse,0.007230738234596619,0.007230738234596619,all_physics_plus_qc,86.0
random_forest,velocity_mae,0.004629405520118052,0.004629405520118052,all_physics_plus_qc,86.0
random_forest,velocity_ssim,0.008391858115441232,0.008391858115441232,all_physics_plus_qc,86.0
random_forest,low_rank_dmd_mse,0.017912452456665052,0.017912452456665052,all_physics_plus_qc,86.0
random_forest,low_rank_dmd_mae,0.021964789352571706,0.021964789352571706,all_physics_plus_qc,86.0
random_forest,low_rank_dmd_ssim,0.03146222413914295,0.03146222413914295,all_physics_plus_qc,86.0
random_forest,dmd_minus_persistence_mse,0.02809124197188111,0.02809124197188111,all_physics_plus_qc,86.0
random_forest,velocity_minus_persistence_mse,0.005313739521564927,0.005313739521564927,all_physics_plus_qc,86.0
logistic_l2,roi_norm_mean_delta,0.28298687602324124,0.28298687602324124,all_physics_plus_qc,116.0
logistic_l2,roi_norm_mean_slope,0.3410820523289918,0.3410820523289918,all_physics_plus_qc,116.0
logistic_l2,roi_norm_mean_slope_r2,0.6428732547593875,0.6428732547593875,all_physics_plus_qc,116.0
logistic_l2,high_fraction_delta,0.25135597405347465,0.25135597405347465,all_physics_plus_qc,116.0
logistic_l2,high_fraction_slope,0.2550946963244385,0.2550946963244385,all_physics_plus_qc,116.0
logistic_l2,low_fraction_delta,-0.23450234067299786,0.23450234067299786,all_physics_plus_qc,116.0
logistic_l2,low_fraction_slope,-0.017380220826470474,0.017380220826470474,all_physics_plus_qc,116.0
logistic_l2,high_radius2_delta_px2,-0.0772236845585559,0.0772236845585559,all_physics_plus_qc,116.0
logistic_l2,high_radius2_slope_px2_per_frame,0.28440980619797573,0.28440980619797573,all_physics_plus_qc,116.0
logistic_l2,high_radius2_slope_um2_per_frame,0.284409806197982,0.284409806197982,all_physics_plus_qc,116.0
logistic_l2,centroid_path_px,-0.38253028896301705,0.38253028896301705,all_physics_plus_qc,116.0
logistic_l2,first_last_corr,-0.049730414188926424,0.049730414188926424,all_physics_plus_qc,116.0
logistic_l2,cumulative_abs_norm_change,0.3045387359899391,0.3045387359899391,all_physics_plus_qc,116.0
logistic_l2,temporal_diff_energy,0.09847844682152358,0.09847844682152358,all_physics_plus_qc,116.0
logistic_l2,stage_drift_xy_sampled,-1.2877161834269868,1.2877161834269868,all_physics_plus_qc,116.0
logistic_l2,validation_score,0.10009069141238278,0.10009069141238278,all_physics_plus_qc,116.0
logistic_l2,front_quality_score,0.7209381811914315,0.7209381811914315,all_physics_plus_qc,116.0
logistic_l2,apparent_diffusion_proxy_ds_px2_per_frame,-0.030766158668272474,0.030766158668272474,all_physics_plus_qc,116.0
