feature_set,model,holdout_event_reference_cycle,n_train,n_test,n_event_test,n_control_test,accuracy,balanced_accuracy,roc_auc,average_precision
all_physics_plus_qc,logistic_l2,60.0,38,14,6,8,0.6428571428571429,0.6666666666666667,0.6875,0.6489417989417989
all_physics_plus_qc,random_forest,60.0,38,14,6,8,0.5714285714285714,0.5625,0.5625,0.5213675213675214
all_physics_plus_qc,logistic_l2,86.0,38,14,6,8,0.9285714285714286,0.9375,1.0,1.0
all_physics_plus_qc,random_forest,86.0,38,14,6,8,0.7142857142857143,0.6875,0.7083333333333333,0.7575757575757576
all_physics_plus_qc,logistic_l2,116.0,42,10,6,4,0.5,0.5833333333333334,1.0,1.0
all_physics_plus_qc,random_forest,116.0,42,10,6,4,0.4,0.5,0.9166666666666667,0.9583333333333333
all_physics_plus_qc,logistic_l2,156.0,38,14,6,8,0.2857142857142857,0.25,0.125,0.31193806193806195
all_physics_plus_qc,random_forest,156.0,38,14,6,8,1.0,1.0,1.0,1.0
physics_no_selection_qc,logistic_l2,60.0,38,14,6,8,0.5714285714285714,0.5833333333333333,0.6041666666666666,0.5092592592592593
physics_no_selection_qc,random_forest,60.0,38,14,6,8,0.5,0.4583333333333333,0.4583333333333333,0.4585368335368335
physics_no_selection_qc,logistic_l2,86.0,38,14,6,8,0.7142857142857143,0.6666666666666666,0.9375,0.9150793650793649
physics_no_selection_qc,random_forest,86.0,38,14,6,8,0.6428571428571429,0.6041666666666666,0.45833333333333326,0.5633089133089133
physics_no_selection_qc,logistic_l2,116.0,42,10,6,4,0.8,0.75,0.9583333333333334,0.976190476190476
physics_no_selection_qc,random_forest,116.0,42,10,6,4,0.4,0.5,0.75,0.8551587301587301
physics_no_selection_qc,logistic_l2,156.0,38,14,6,8,0.2857142857142857,0.25,0.0,0.2883930883930884
physics_no_selection_qc,random_forest,156.0,38,14,6,8,0.7142857142857143,0.7291666666666667,0.9375,0.9444444444444444
