feature_set,model,feature,abs_importance
physics_no_selection_qc,logistic_l2,high_fraction_slope,0.2775655583674049
physics_no_selection_qc,logistic_l2,low_fraction_delta,0.24966980268082495
physics_no_selection_qc,logistic_l2,first_last_corr,0.24083723916488153
physics_no_selection_qc,logistic_l2,low_rank_dmd_ssim,0.2347535508169875
physics_no_selection_qc,logistic_l2,latent_mean_step,0.23024629999648186
physics_no_selection_qc,logistic_l2,latent_path_length,0.2302462307867893
physics_no_selection_qc,logistic_l2,high_fraction_delta,0.2098125189067333
physics_no_selection_qc,logistic_l2,apparent_diffusion_proxy_ds_px2_per_frame,0.19030140689938474
physics_no_selection_qc,logistic_l2,low_fraction_slope,0.18839691303928358
physics_no_selection_qc,logistic_l2,high_radius2_slope_um2_per_frame,0.16173277122172924
physics_no_selection_qc,logistic_l2,high_radius2_slope_px2_per_frame,0.1617327712217255
physics_no_selection_qc,logistic_l2,high_radius2_delta_px2,0.16122052249453017
physics_no_selection_qc,logistic_l2,latent_net_displacement,0.13963249731467986
physics_no_selection_qc,logistic_l2,latent_component1_delta,0.12666516911544576
physics_no_selection_qc,logistic_l2,latent_component0_delta,0.11751829577166854
physics_no_selection_qc,logistic_l2,temporal_diff_energy,0.10915831323772324
physics_no_selection_qc,logistic_l2,low_rank_dmd_mae,0.10521367659195946
physics_no_selection_qc,logistic_l2,velocity_minus_persistence_mse,0.09102881848980944
physics_no_selection_qc,logistic_l2,persistence_mse,0.07136068291460312
physics_no_selection_qc,logistic_l2,dmd_minus_persistence_mse,0.058436566640642895
physics_no_selection_qc,logistic_l2,low_rank_dmd_mse,0.054301676271335725
physics_no_selection_qc,logistic_l2,velocity_mse,0.041300637703400866
physics_no_selection_qc,logistic_l2,velocity_mae,0.030781725370353313
physics_no_selection_qc,logistic_l2,persistence_mae,0.018878116698743452
physics_no_selection_qc,random_forest,roi_norm_mean_slope_r2,0.1103619871799458
physics_no_selection_qc,random_forest,roi_norm_mean_slope,0.0821411345519756
physics_no_selection_qc,random_forest,high_fraction_slope,0.06736458507811223
physics_no_selection_qc,random_forest,centroid_path_px,0.05040584275937598
physics_no_selection_qc,random_forest,cumulative_abs_norm_change,0.05027456218634966
physics_no_selection_qc,random_forest,low_fraction_delta,0.044551988661432756
physics_no_selection_qc,random_forest,first_last_corr,0.04078635480598662
physics_no_selection_qc,random_forest,latent_net_displacement,0.03930057662617577
physics_no_selection_qc,random_forest,high_fraction_delta,0.038839267762606114
physics_no_selection_qc,random_forest,low_rank_dmd_mse,0.03839148941774392
physics_no_selection_qc,random_forest,dmd_minus_persistence_mse,0.03538744429904141
physics_no_selection_qc,random_forest,low_rank_dmd_ssim,0.03509415217695175
physics_no_selection_qc,random_forest,low_fraction_slope,0.03440832904516046
physics_no_selection_qc,random_forest,roi_norm_mean_delta,0.03335405673192248
physics_no_selection_qc,random_forest,high_radius2_delta_px2,0.028409905622002303
physics_no_selection_qc,random_forest,high_radius2_slope_um2_per_frame,0.025604157773186472
physics_no_selection_qc,random_forest,latent_component0_delta,0.025346052483433107
physics_no_selection_qc,random_forest,latent_component1_delta,0.022572534544501678
physics_no_selection_qc,random_forest,high_radius2_slope_px2_per_frame,0.022326840067702816
physics_no_selection_qc,random_forest,latent_path_length,0.01913203157132391
physics_no_selection_qc,random_forest,persistence_ssim,0.017723616919731226
physics_no_selection_qc,random_forest,low_rank_dmd_mae,0.017380826166193956
physics_no_selection_qc,random_forest,apparent_diffusion_proxy_ds_px2_per_frame,0.017053110367744723
physics_no_selection_qc,random_forest,velocity_ssim,0.01700011329102717
physics_no_selection_qc,random_forest,latent_mean_step,0.014765411251360007
physics_no_selection_qc,random_forest,persistence_mse,0.014648200997781816
physics_no_selection_qc,random_forest,velocity_mae,0.014561444911147655
physics_no_selection_qc,random_forest,velocity_mse,0.013086317362658783
physics_no_selection_qc,random_forest,velocity_minus_persistence_mse,0.010719177804159446
physics_no_selection_qc,random_forest,temporal_diff_energy,0.010054815897216185
physics_no_selection_qc,random_forest,persistence_mae,0.008953671686048149
