cycleNo,particle0,particle1,particle2,particle3,addrs,source_stem,local_cycle_index,cycleNo_int,local_cycle_index_int,cycles_to_next_event,cycles_since_prev_event,nearest_event_abs_delta,current_any_event,event_relative_bin,future_event_within_8cycles,future_event_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,source_class,h5_available
2,355,122,244,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle1.hdf5,2_c2_x14_200623,1,2,1,58.0,,58.0,0,no_near_event_control,0,0,0,0,nominal,True
4,342,128,242,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle11.hdf5,2_c2_x14_200623,11,4,11,56.0,,56.0,0,no_near_event_control,0,0,0,0,nominal,True
6,325,117,228,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle13.hdf5,2_c2_x14_200623,13,6,13,54.0,,54.0,0,no_near_event_control,0,0,0,0,nominal,True
8,376,129,255,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle3.hdf5,2_c2_x14_200623,3,8,3,52.0,,52.0,0,no_near_event_control,0,0,0,0,nominal,True
10,376,132,254,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle5.hdf5,2_c2_x14_200623,5,10,5,50.0,,50.0,0,no_near_event_control,0,0,0,0,nominal,True
12,376,139,261,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle7.hdf5,2_c2_x14_200623,7,12,7,48.0,,48.0,0,no_near_event_control,0,0,0,0,nominal,True
14,363,131,254,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle9.hdf5,2_c2_x14_200623,9,14,9,46.0,,46.0,0,no_near_event_control,0,0,0,0,nominal,True
26,382,129,250,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle1.hdf5,4_c2_x10_240623,1,26,1,34.0,,34.0,0,no_near_event_control,0,0,0,0,nominal,True
28,381,130,250,19,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle3.hdf5,4_c2_x10_240623,3,28,3,32.0,,32.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
30,387,127,252,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle5.hdf5,4_c2_x10_240623,5,30,5,30.0,,30.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
32,400,135,263,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle7.hdf5,4_c2_x10_240623,7,32,7,28.0,,28.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
34,389,133,255,17,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle9.hdf5,4_c2_x10_240623,9,34,9,26.0,,26.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
36,390,134,257,17,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle1.hdf5,5_c2_x10_260623,1,36,1,24.0,,24.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
38,363,126,237,17,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle3.hdf5,5_c2_x10_260623,3,38,3,22.0,,22.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
40,341,116,220,20,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle5.hdf5,5_c2_x10_260623,5,40,5,20.0,,20.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
42,352,114,222,18,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle7.hdf5,5_c2_x10_260623,7,42,7,18.0,,18.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
44,375,125,244,20,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle9.hdf5,5_c2_x10_260623,9,44,9,16.0,,16.0,0,mid_pre_event_9_16,0,1,1,0,nominal,True
46,365,120,238,19,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle1.hdf5,6_c2_x10_270623_2,1,46,1,14.0,,14.0,0,mid_pre_event_9_16,0,1,1,0,nominal,True
48,370,122,242,17,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle3.hdf5,6_c2_x10_270623_2,3,48,3,12.0,,12.0,0,mid_pre_event_9_16,0,1,1,0,nominal,True
50,379,130,248,20,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle5.hdf5,6_c2_x10_270623_2,5,50,5,10.0,,10.0,0,mid_pre_event_9_16,0,1,1,0,nominal,True
52,382,132,251,19,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle7.hdf5,6_c2_x10_270623_2,7,52,7,8.0,,8.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
54,365,126,238,19,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle9.hdf5,6_c2_x10_270623_2,9,54,9,6.0,,6.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
56,371,126,243,20,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle1.hdf5,7_c2_x10_290623,1,56,1,4.0,,4.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
58,373,130,246,21,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle3.hdf5,7_c2_x10_290623,3,58,3,2.0,,2.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
60,363,128,240,17,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle5.hdf5,7_c2_x10_290623,5,60,5,26.0,,0.0,1,current_event,0,0,1,0,nominal,True
62,350,118,226,17,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle7.hdf5,7_c2_x10_290623,7,62,7,24.0,2.0,2.0,0,post_event_1_16,0,0,1,1,nominal,True
64,362,121,235,17,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle9.hdf5,7_c2_x10_290623,9,64,9,22.0,4.0,4.0,0,post_event_1_16,0,0,1,1,nominal,True
66,346,115,221,16,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle1.hdf5,8_c2_x10_300623,1,66,1,20.0,6.0,6.0,0,post_event_1_16,0,0,1,1,nominal,True
68,332,112,213,17,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle3.hdf5,8_c2_x10_300623,3,68,3,18.0,8.0,8.0,0,post_event_1_16,0,0,1,1,nominal,True
70,344,119,222,19,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle5.hdf5,8_c2_x10_300623,5,70,5,16.0,10.0,10.0,0,post_event_1_16,0,1,1,1,nominal,True
72,347,116,224,18,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle7.hdf5,8_c2_x10_300623,7,72,7,14.0,12.0,12.0,0,post_event_1_16,0,1,1,1,nominal,True
74,363,123,239,18,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle9.hdf5,8_c2_x10_300623,9,74,9,12.0,14.0,12.0,0,post_event_1_16,0,1,1,1,nominal,True
76,370,135,255,24,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle1.hdf5,9_c2_x10_010723,1,76,1,10.0,16.0,10.0,0,post_event_1_16,0,1,1,1,nominal,True
78,342,135,259,21,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle3.hdf5,9_c2_x10_010723,3,78,3,8.0,18.0,8.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
80,370,129,252,21,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle5.hdf5,9_c2_x10_010723,5,80,5,6.0,20.0,6.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
82,365,128,248,22,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle7.hdf5,9_c2_x10_010723,7,82,7,4.0,22.0,4.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
84,372,131,247,19,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle9.hdf5,9_c2_x10_010723,9,84,9,2.0,24.0,2.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
86,323,112,206,17,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle1.hdf5,10_c2_x10_030723,1,86,1,30.0,26.0,0.0,1,current_event,0,0,1,0,nominal,True
88,305,109,198,19,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle3.hdf5,10_c2_x10_030723,3,88,3,28.0,2.0,2.0,0,post_event_1_16,0,0,1,1,nominal,True
90,284,103,178,18,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle5.hdf5,10_c2_x10_030723,5,90,5,26.0,4.0,4.0,0,post_event_1_16,0,0,1,1,nominal,True
92,290,108,185,20,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle7.hdf5,10_c2_x10_030723,7,92,7,24.0,6.0,6.0,0,post_event_1_16,0,0,1,1,nominal,True
94,307,111,193,20,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle9.hdf5,10_c2_x10_030723,9,94,9,22.0,8.0,8.0,0,post_event_1_16,0,0,1,1,nominal,True
96,393,140,259,20,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle1.hdf5,11_c2_x10_050723,1,96,1,20.0,10.0,10.0,0,post_event_1_16,0,0,1,1,nominal,True
98,382,135,253,20,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle3.hdf5,11_c2_x10_050723,3,98,3,18.0,12.0,12.0,0,post_event_1_16,0,0,1,1,nominal,True
100,392,142,261,20,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle5.hdf5,11_c2_x10_050723,5,100,5,16.0,14.0,14.0,0,post_event_1_16,0,1,1,1,nominal,True
102,392,139,260,19,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle7.hdf5,11_c2_x10_050723,7,102,7,14.0,16.0,14.0,0,post_event_1_16,0,1,1,1,nominal,True
104,390,143,258,22,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle9.hdf5,11_c2_x10_050723,9,104,9,12.0,18.0,12.0,0,mid_pre_event_9_16,0,1,1,0,nominal,True
106,397,148,266,23,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle1.hdf5,12_c2_x10_070723,1,106,1,10.0,20.0,10.0,0,mid_pre_event_9_16,0,1,1,0,nominal,True
108,386,146,262,23,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle3.hdf5,12_c2_x10_070723,3,108,3,8.0,22.0,8.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
110,376,143,258,20,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle5.hdf5,12_c2_x10_070723,5,110,5,6.0,24.0,6.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
112,396,143,262,21,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle7.hdf5,12_c2_x10_070723,7,112,7,4.0,26.0,4.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
114,403,147,270,22,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle9.hdf5,12_c2_x10_070723,9,114,9,2.0,28.0,2.0,0,near_pre_event_1_8,1,1,1,0,nominal,True
116,332,115,213,20,D://NMC_degradation_3_160623_Halfthedata\13_c2_x6_100723chopped\13_c2_x6_100723_cycle1.hdf5,13_c2_x6_100723,1,116,1,40.0,30.0,0.0,1,current_event,0,0,0,0,nominal,True
118,350,126,230,21,D://NMC_degradation_3_160623_Halfthedata\13_c2_x6_100723chopped\13_c2_x6_100723_cycle3.hdf5,13_c2_x6_100723,3,118,3,38.0,2.0,2.0,0,post_event_1_16,0,0,0,1,nominal,True
123,389,139,251,20,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle2.hdf5,14_c2_x10_HighCOV_110723,2,123,2,33.0,7.0,7.0,0,post_event_1_16,0,0,0,1,HighCOV,True
124,350,126,230,21,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle3.hdf5,14_c2_x10_HighCOV_110723,3,124,3,32.0,8.0,8.0,0,post_event_1_16,0,0,1,1,HighCOV,True
125,403,147,266,25,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle4.hdf5,14_c2_x10_HighCOV_110723,4,125,4,31.0,9.0,9.0,0,post_event_1_16,0,0,1,1,HighCOV,True
126,403,149,269,25,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle5.hdf5,14_c2_x10_HighCOV_110723,5,126,5,30.0,10.0,10.0,0,post_event_1_16,0,0,1,1,HighCOV,True
127,403,147,267,24,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle6.hdf5,14_c2_x10_HighCOV_110723,6,127,6,29.0,11.0,11.0,0,post_event_1_16,0,0,1,1,HighCOV,True
128,397,145,265,25,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle7.hdf5,14_c2_x10_HighCOV_110723,7,128,7,28.0,12.0,12.0,0,post_event_1_16,0,0,1,1,HighCOV,True
129,395,146,264,25,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle8.hdf5,14_c2_x10_HighCOV_110723,8,129,8,27.0,13.0,13.0,0,post_event_1_16,0,0,1,1,HighCOV,True
130,387,141,257,24,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle9.hdf5,14_c2_x10_HighCOV_110723,9,130,9,26.0,14.0,14.0,0,post_event_1_16,0,0,1,1,HighCOV,True
131,362,130,234,21,D://NMC_degradation_3_160623_Halfthedata\15_c2_x5_HighCOV_120723chopped\15_c2_x5_HighCOV_120723_cycle0.hdf5,15_c2_x5_HighCOV_120723,0,131,0,25.0,15.0,15.0,0,post_event_1_16,0,0,1,1,HighCOV,True
132,378,132,252,20,D://NMC_degradation_3_160623_Halfthedata\15_c2_x5_HighCOV_120723chopped\15_c2_x5_HighCOV_120723_cycle1.hdf5,15_c2_x5_HighCOV_120723,1,132,1,24.0,16.0,16.0,0,post_event_1_16,0,0,1,1,HighCOV,True
133,386,136,257,21,D://NMC_degradation_3_160623_Halfthedata\15_c2_x5_HighCOV_120723chopped\15_c2_x5_HighCOV_120723_cycle2.hdf5,15_c2_x5_HighCOV_120723,2,133,2,23.0,17.0,17.0,0,far_pre_event_17_32,0,0,1,0,HighCOV,True
134,392,143,262,22,D://NMC_degradation_3_160623_Halfthedata\15_c2_x5_HighCOV_120723chopped\15_c2_x5_HighCOV_120723_cycle3.hdf5,15_c2_x5_HighCOV_120723,3,134,3,22.0,18.0,18.0,0,far_pre_event_17_32,0,0,1,0,HighCOV,True
136,417,147,277,20,D://NMC_degradation_3_160623_Halfthedata\16_c2_x10_HighHighCOV_130723chopped\16_c2_x10_HighHighCOV_130723_cycle0.hdf5,16_c2_x10_HighHighCOV_130723,0,136,0,20.0,20.0,20.0,0,far_pre_event_17_32,0,0,1,0,HighHighCOV,True
137,421,158,280,21,D://NMC_degradation_3_160623_Halfthedata\16_c2_x10_HighHighCOV_130723chopped\16_c2_x10_HighHighCOV_130723_cycle1.hdf5,16_c2_x10_HighHighCOV_130723,1,137,1,19.0,21.0,19.0,0,far_pre_event_17_32,0,0,1,0,HighHighCOV,True
138,419,153,282,19,D://NMC_degradation_3_160623_Halfthedata\16_c2_x10_HighHighCOV_130723chopped\16_c2_x10_HighHighCOV_130723_cycle2.hdf5,16_c2_x10_HighHighCOV_130723,2,138,2,18.0,22.0,18.0,0,far_pre_event_17_32,0,0,1,0,HighHighCOV,True
