cycleNo,particle0,particle1,particle2,particle3,addrs,source_stem,local_cycle_index,cycleNo_int,local_cycle_index_int,cycles_to_next_event,cycles_since_prev_event,nearest_event_abs_delta,current_any_event,event_relative_bin,future_event_within_8cycles,future_event_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,source_class,h5_available
36,390,134,257,17,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle1.hdf5,5_c2_x10_260623,1,36,1,24.0,,24.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
38,363,126,237,17,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle3.hdf5,5_c2_x10_260623,3,38,3,22.0,,22.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
40,341,116,220,20,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle5.hdf5,5_c2_x10_260623,5,40,5,20.0,,20.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
42,352,114,222,18,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle7.hdf5,5_c2_x10_260623,7,42,7,18.0,,18.0,0,far_pre_event_17_32,0,0,1,0,nominal,True
2,355,122,244,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle1.hdf5,2_c2_x14_200623,1,2,1,58.0,,58.0,0,no_near_event_control,0,0,0,0,nominal,True
4,342,128,242,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle11.hdf5,2_c2_x14_200623,11,4,11,56.0,,56.0,0,no_near_event_control,0,0,0,0,nominal,True
6,325,117,228,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle13.hdf5,2_c2_x14_200623,13,6,13,54.0,,54.0,0,no_near_event_control,0,0,0,0,nominal,True
8,376,129,255,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle3.hdf5,2_c2_x14_200623,3,8,3,52.0,,52.0,0,no_near_event_control,0,0,0,0,nominal,True
10,376,132,254,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle5.hdf5,2_c2_x14_200623,5,10,5,50.0,,50.0,0,no_near_event_control,0,0,0,0,nominal,True
12,376,139,261,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle7.hdf5,2_c2_x14_200623,7,12,7,48.0,,48.0,0,no_near_event_control,0,0,0,0,nominal,True
14,363,131,254,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle9.hdf5,2_c2_x14_200623,9,14,9,46.0,,46.0,0,no_near_event_control,0,0,0,0,nominal,True
26,382,129,250,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle1.hdf5,4_c2_x10_240623,1,26,1,34.0,,34.0,0,no_near_event_control,0,0,0,0,nominal,True
