source_stem,n_rows,n_near,n_non_near,delta_transport_mechanism_score,delta_transport_source_residual_score,delta_transport_raw_score,delta_front_kinetic_score,delta_observable_tail_score,delta_qc_review_score,delta_abs_radial_flow_mean_source_residual,delta_particle_flow_mag_mean_source_residual,delta_curl_mean_source_residual
12_c2_x10_070723,10,8,2,0.029617434010922317,0.07109375000000007,0.07578124999999991,0.17466626213592235,-0.1767578125,0.02734375,1.6791025744333067e-08,6.61995984516481e-08,6.936259830767441e-09
17_c2_x10_HighHighCOV_150723,10,8,2,0.4782823561387539,0.6304687499999999,0.6607421875000001,0.335232099514563,0.11230468749999989,0.30436197916666674,7.885970832060557e-07,1.2338331889396474e-06,1.7992440752305233e-07
6_c2_x10_270623_2,10,4,6,0.0757974312297735,0.12734374999999992,0.1251953125,0.007357402912621325,0.012695312499999889,0.1904296875,9.417642085042772e-08,6.531293675263096e-08,1.49380572176214e-08
7_c2_x10_290623,8,4,4,0.25531980051577674,0.5203125,0.4734375,0.13017293689320397,-0.016406249999999956,0.08509114583333333,2.5296349022796443e-07,4.2820528336364637e-07,4.9190256528713434e-08
9_c2_x10_010723,10,8,2,0.21612968370752428,0.48242187500000006,0.23320312499999996,0.050500606796116676,0.12480468750000007,0.29140625000000003,2.3008160240047778e-07,3.70553930170789e-07,6.23207514663007e-08
