pair_set,source_stem,near_roi_id,control_roi_id,near_cycle,control_cycle,control_event_bin,cycle_distance,near_transport_mechanism_score,control_transport_mechanism_score,delta_transport_mechanism_score,near_transport_source_residual_score,control_transport_source_residual_score,delta_transport_source_residual_score,near_transport_raw_score,control_transport_raw_score,delta_transport_raw_score,near_front_kinetic_score,control_front_kinetic_score,delta_front_kinetic_score,near_observable_tail_score,control_observable_tail_score,delta_observable_tail_score,near_qc_review_score,control_qc_review_score,delta_qc_review_score,near_abs_radial_flow_mean_source_residual,control_abs_radial_flow_mean_source_residual,delta_abs_radial_flow_mean_source_residual,near_particle_flow_mag_mean_source_residual,control_particle_flow_mag_mean_source_residual,delta_particle_flow_mag_mean_source_residual,near_curl_mean_source_residual,control_curl_mean_source_residual,delta_curl_mean_source_residual
same_source_post_control,9_c2_x10_010723,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,84.0,76.0,post_event_1_16,8.0,0.8000324256674758,0.49060546875,0.3094269569174758,0.879296875,0.2890625,0.590234375,0.8785156249999999,0.666015625,0.2124999999999999,0.7628640776699029,0.5703125,0.19255157766990294,0.662109375,0.5640625,0.09804687499999998,0.70546875,0.2464843749999999,0.4589843750000001,2.447625516147836e-07,-1.0759562984237761e-07,3.5235818145716124e-07,2.311491237599733e-07,-1.0296261713257404e-07,3.3411174089254734e-07,4.7063266480359155e-08,-2.218971630345029e-08,6.925298278380945e-08
same_source_post_control,7_c2_x10_290623,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,58.0,62.0,post_event_1_16,4.0,0.743074433656958,0.4567919447815534,0.28628248887540464,0.9421875,0.453125,0.48906249999999996,0.915625,0.551953125,0.363671875,0.5753185679611652,0.3063865291262136,0.2689320388349516,0.51875,0.6277343750000001,-0.10898437500000002,0.5697916666666667,0.34765625,0.2221354166666667,5.034726479335006e-07,-6.6658504831949e-08,5.701311527654497e-07,6.94681955635388e-07,1.1432377835998622e-07,5.803581772754017e-07,1.259969079760583e-07,7.956444692281237e-10,1.2520126350683017e-07
same_source_post_control,9_c2_x10_010723,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,80.0,76.0,post_event_1_16,4.0,0.7212847011529125,0.49060546875,0.23067923240291255,0.8976562499999999,0.2890625,0.6085937499999999,0.8804687499999999,0.666015625,0.2144531249999999,0.4938106796116505,0.5703125,-0.07650182038834952,0.719140625,0.5640625,0.15507812499999996,0.454296875,0.2464843749999999,0.2078125000000001,2.746813674565923e-07,-1.0759562984237761e-07,3.8227699729896993e-07,4.034507514762554e-07,-1.0296261713257404e-07,5.064133686088294e-07,4.925079140432412e-08,-2.218971630345029e-08,7.144050770777441e-08
same_source_post_control,7_c2_x10_290623,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,58.0,62.0,post_event_1_16,4.0,0.7065039062499999,0.4567919447815534,0.24971196146844654,0.883203125,0.453125,0.430078125,0.878125,0.551953125,0.326171875,0.5859375,0.3063865291262136,0.2795509708737864,0.5843750000000001,0.6277343750000001,-0.04335937499999998,0.3203125,0.34765625,-0.02734375,1.953752781538617e-07,-6.6658504831949e-08,2.620337829858107e-07,4.454239771977632e-07,1.1432377835998622e-07,3.3110019883777697e-07,3.841724644710525e-08,7.956444692281237e-10,3.7621601977877124e-08
same_source_post_control,9_c2_x10_010723,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,82.0,76.0,post_event_1_16,6.0,0.7006661483616504,0.49060546875,0.21006067961165042,0.7117187500000001,0.2890625,0.42265625000000007,0.81875,0.666015625,0.15273437499999998,0.720555218446602,0.5703125,0.15024271844660197,0.607421875,0.5640625,0.04335937499999998,0.46796875,0.2464843749999999,0.2214843750000001,7.482887254850722e-08,-1.0759562984237761e-07,1.8242450239088483e-07,1.204184741254722e-07,-1.0296261713257404e-07,2.2338109125804622e-07,1.8812142853696035e-08,-2.218971630345029e-08,4.100185915714632e-08
same_source_post_control,9_c2_x10_010723,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,82.0,76.0,post_event_1_16,6.0,0.6964477776092233,0.49060546875,0.20584230885922328,0.620703125,0.2890625,0.331640625,0.8156249999999999,0.666015625,0.14960937499999993,0.6241504854368932,0.5703125,0.05383798543689322,0.7015625,0.5640625,0.13749999999999996,0.7609374999999999,0.2464843749999999,0.5144531250000001,-2.6831646959031374e-08,-1.0759562984237761e-07,8.076398288334624e-08,-4.226923422450184e-08,-1.0296261713257404e-07,6.06933829080722e-08,-1.248590377035787e-09,-2.218971630345029e-08,2.09411259264145e-08
same_source_post_control,9_c2_x10_010723,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,78.0,76.0,post_event_1_16,2.0,0.6927338061286408,0.49060546875,0.20212833737864078,0.8609374999999999,0.2890625,0.5718749999999999,0.8710937500000001,0.666015625,0.2050781250000001,0.4672633495145631,0.5703125,-0.10304915048543689,0.680859375,0.5640625,0.11679687500000002,0.4078124999999999,0.2464843749999999,0.16132812500000002,2.0480887092545123e-07,-1.0759562984237761e-07,3.1240450076782884e-07,2.752846459518854e-07,-1.0296261713257404e-07,3.782472630844594e-07,3.2168059970704664e-08,-2.218971630345029e-08,5.4357776274154956e-08
same_source_post_control,9_c2_x10_010723,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,84.0,76.0,post_event_1_16,8.0,0.6474751592839807,0.49060546875,0.1568696905339807,0.6882812500000001,0.2890625,0.39921875000000007,0.816796875,0.666015625,0.15078124999999998,0.4106037621359223,0.5703125,-0.1597087378640777,0.721875,0.5640625,0.15781250000000002,0.6027343749999999,0.2464843749999999,0.35625000000000007,5.091188199167231e-08,-1.0759562984237761e-07,1.5850751183404992e-07,1.7167604730238477e-07,-1.0296261713257404e-07,2.7463866443495883e-07,3.321866855581885e-08,-2.218971630345029e-08,5.540838485926914e-08
same_source_post_control,9_c2_x10_010723,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,78.0,76.0,post_event_1_16,2.0,0.6343152685072816,0.49060546875,0.1437097997572816,0.24609375,0.2890625,-0.04296875,0.640625,0.666015625,-0.025390625,0.8954641990291261,0.5703125,0.3251516990291261,0.697265625,0.5640625,0.13320312499999998,0.841796875,0.2464843749999999,0.5953125000000001,-1.474387459136967e-07,-1.0759562984237761e-07,-3.984311607131908e-08,-2.334899379763089e-07,-1.0296261713257404e-07,-1.3052732084373488e-07,-3.5062813150207943e-08,-2.218971630345029e-08,-1.2873096846757655e-08
same_source_post_control,7_c2_x10_290623,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,56.0,62.0,post_event_1_16,6.0,0.56111328125,0.4567919447815534,0.10432133646844666,0.618359375,0.453125,0.16523437500000004,0.666015625,0.551953125,0.11406249999999996,0.5328125,0.3063865291262136,0.2264259708737864,0.505859375,0.6277343750000001,-0.12187500000000007,0.309375,0.34765625,-0.03828124999999999,3.0958062826788666e-08,-6.6658504831949e-08,9.761656765873767e-08,-5.3208858196362173e-08,1.1432377835998622e-07,-1.675326365563484e-07,-6.322963936217676e-09,7.956444692281237e-10,-7.1186084054458e-09
