roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png
source_balanced_cycle108_rank6_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,3,6,1,source_fill,True,23.365257710020515,source_balanced_expansion_candidate,1344.7118644067796,206.2372881355932,118.0,7579.54248046875,18.480348587036133,1249,110,1441,302,192,96,96,2712,3615,8847.9951171875,8846.1474609375,-1.84765625,0.07443984597921371,0.07437852770090103,-6.13182783126831e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj1_12_c2_x10_070723.npz,
source_balanced_cycle108_rank6_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,3,6,2,source_fill,True,23.516560988539883,source_balanced_expansion_candidate,1665.6533333333334,226.02666666666667,75.0,9762.6484375,21.80430603027344,1570,130,1762,322,192,96,96,2712,3615,8227.8125,8228.380859375,0.568359375,0.07692088931798935,0.07685554772615433,-6.534159183502197e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle108_rank6_obj2_12_c2_x10_070723.npz,
source_balanced_cycle110_rank7_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,5,7,1,source_fill,True,23.136898638745315,source_balanced_expansion_candidate,1346.7768595041323,202.54545454545453,121.0,6796.548828125,17.81061363220215,1251,107,1443,299,192,96,96,4521,5424,8822.193359375,8827.9375,5.744140625,0.07563094049692154,0.07578388601541519,0.00015294551849365234,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle110_rank7_obj1_12_c2_x10_070723.npz,
source_balanced_cycle110_rank7_obj2_12_c2_x10_070723,110.0,12_c2_x10_070723,5,7,2,source_fill,True,23.874389180648,source_balanced_expansion_candidate,839.8367346938776,97.3877551020408,49.0,11246.7548828125,25.28079605102539,744,1,936,193,192,96,96,4521,5424,8950.5302734375,8944.8525390625,-5.677734375,0.09027808159589767,0.08988620340824127,-0.0003918781876564026,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle110_rank7_obj2_12_c2_x10_070723.npz,
source_balanced_cycle112_rank8_obj1_12_c2_x10_070723,112.0,12_c2_x10_070723,7,8,1,future16_positive,False,24.433332988208196,source_balanced_expansion_candidate,840.25,97.91666666666669,48.0,11418.2138671875,26.13363075256348,744,2,936,194,192,96,96,6329,7232,8936.3203125,8931.7939453125,-4.5263671875,0.08929891884326935,0.08905303478240967,-0.0002458840608596802,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle112_rank8_obj1_12_c2_x10_070723.npz,
source_balanced_cycle112_rank8_obj2_12_c2_x10_070723,112.0,12_c2_x10_070723,7,8,2,future16_positive,False,23.38806596464201,source_balanced_expansion_candidate,1199.6571428571428,1123.0285714285717,70.0,9125.0146484375,20.91178703308105,1104,1008,1296,1200,192,96,96,6329,7232,8304.390625,8298.8212890625,-5.5693359375,0.07390235364437103,0.07339195162057877,-0.0005104020237922668,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle112_rank8_obj2_12_c2_x10_070723.npz,
source_balanced_cycle114_rank9_obj1_12_c2_x10_070723,114.0,12_c2_x10_070723,9,9,1,source_representative,False,24.341180100195945,source_balanced_expansion_candidate,1343.728155339806,205.35922330097088,103.0,9044.693359375,21.196462631225582,1248,109,1440,301,192,96,96,8137,9041,8807.0703125,8800.0625,-7.0078125,0.07192617654800415,0.07156578451395035,-0.0003603920340538025,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle114_rank9_obj1_12_c2_x10_070723.npz,
source_balanced_cycle114_rank9_obj2_12_c2_x10_070723,114.0,12_c2_x10_070723,9,9,2,source_representative,False,24.046731379998924,source_balanced_expansion_candidate,1670.3333333333333,231.11111111111111,72.0,10013.48046875,22.64031219482422,1574,135,1766,327,192,96,96,8137,9041,8198.4326171875,8192.224609375,-6.2080078125,0.07656458020210266,0.0763106718659401,-0.00025390833616256714,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle114_rank9_obj2_12_c2_x10_070723.npz,
source_balanced_cycle123_rank10_obj1_14_c2_x10_HighCOV_110723,123.0,14_c2_x10_HighCOV_110723,2,10,1,source_fill,False,23.408876847510307,source_balanced_expansion_candidate,1348.8055555555557,180.97222222222223,144.0,6378.58935546875,17.22971534729004,1253,85,1445,277,192,96,96,2380,3569,8792.3349609375,8776.7216796875,-15.61328125,0.07132366299629211,0.0706147700548172,-0.0007088929414749146,0.2121320343559321,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle123_rank10_obj1_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle123_rank10_obj2_14_c2_x10_HighCOV_110723,123.0,14_c2_x10_HighCOV_110723,2,10,2,source_fill,False,24.18449265574761,source_balanced_expansion_candidate,843.3076923076923,78.38461538461539,52.0,11407.560546875,25.961259841918945,747,0,939,192,192,96,96,2380,3569,8893.033203125,8888.333984375,-4.69921875,0.08201566338539124,0.08152631670236588,-0.0004893466830253601,0.2121320343559321,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle123_rank10_obj2_14_c2_x10_HighCOV_110723.npz,
