roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,n_frames_loaded,train_n,horizon_n,history_mask_area_px,history_mask_fraction,fallback_frame_fraction,fallback_frame_count,median_history_iou,centroid_jitter_q90_px,blur_ratio_q10,one_step_history_mse,one_step_adaptive_mse,one_step_hybrid_mse,one_step_hybrid_minus_adaptive_mse,one_step_hybrid_adaptive_abs_delta_median,one_step_hybrid_adaptive_rel_delta,persistence_rollout_history_mse,persistence_rollout_hybrid_mse,latent_linear_rollout_history_mse,latent_linear_rollout_hybrid_mse,latent_linear_gain_vs_persistence_history,latent_linear_gain_vs_persistence_hybrid,hybrid_vs_history_persistence_rollout_mse_delta,hybrid_vs_history_latent_rollout_mse_delta,late_one_step_hybrid_mse,early_one_step_hybrid_mse,late_minus_early_one_step_hybrid_mse
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,23.327083525321505,source_balanced_pre_event_candidate,1343.0679611650485,204.50485436893203,103.0,8562.1708984375,21.21138000488281,1247,109,1439,301,192,96,96,2706,3607,8874.2353515625,8886.8251953125,12.58984375,0.0713426172733306,0.0721612051129341,0.0008185878396034,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj1_11_c2_x10_050723.npz,,96,58,38,102,0.011067708333333334,0.5520833333333334,53,0.8468468468468469,0.8082992527766348,0.5502639346429814,5.332478882765892e-05,6.903725067440523e-05,5.0931016640620994e-05,-1.8106234033784254e-05,1.3413233342928997e-06,-0.262267599837908,0.001459982886892925,0.0012058064633007034,0.000816764601723969,0.0007404743948600021,0.4405656332985015,0.38590941631456244,-0.0002541764235922217,-7.629020686396695e-05,3.8435232307363274e-05,6.369266872565016e-05,-2.5257436418286884e-05
source_balanced_cycle98_rank6_obj2_11_c2_x10_050723,98.0,11_c2_x10_050723,3,6,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,18.0,12.0,1.0,1.0,True,24.558909812946133,source_balanced_pre_event_candidate,835.7142857142857,94.66666666666669,42.0,13457.7646484375,29.523515701293945,740,0,932,192,192,96,96,2706,3607,8964.4775390625,8968.39453125,3.9169921875,0.0811750218272209,0.0818297043442726,0.0006546825170516,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj2_11_c2_x10_050723.npz,,96,58,38,44,0.004774305555555556,0.16666666666666666,16,0.8297872340425532,0.5988954521059202,0.5806128548610122,1.4561988288796218e-06,2.356643284452857e-05,2.356643284452857e-05,0.0,0.0,0.0,0.0,0.0,1.588190139679691e-06,1.6497988921527307e-06,,,0.0,6.160875247303969e-08,0.0,4.7634279153834344e-05,-4.7634279153834344e-05
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,23.335890706615764,source_balanced_pre_event_candidate,1342.2222222222222,204.22222222222223,108.0,8197.46484375,20.41080665588379,1246,108,1438,300,192,96,96,4510,5411,8880.9482421875,8886.0986328125,5.150390625,0.0715180411934852,0.0717115476727485,0.0001935064792633,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj1_11_c2_x10_050723.npz,,96,58,38,109,0.011827256944444444,0.5208333333333334,50,0.8547008547008547,0.4898695279894918,0.5321003699696765,4.350434846664178e-05,4.564099726068193e-05,4.3382099625064246e-05,-2.2588976356176853e-06,4.930841444779807e-07,-0.049492731780504805,0.003098652187786422,0.0017311044653533134,0.0020255169472432367,0.0012537549055171955,0.346323232008107,0.2757485578657394,-0.0013675477224331088,-0.0007717620417260413,3.9710113582851774e-05,4.7132213029876985e-05,-7.422099447025211e-06
source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,5,7,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,16.0,14.0,1.0,1.0,True,24.28248417017058,source_balanced_pre_event_candidate,834.3111111111111,94.22222222222224,45.0,12717.9267578125,27.73917961120605,738,0,930,192,192,96,96,4510,5411,8958.8818359375,8964.2412109375,5.359375,0.0806672275066375,0.0808861553668975,0.00021892786026,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj2_11_c2_x10_050723.npz,,96,58,38,45,0.0048828125,0.020833333333333332,2,0.9148936170212766,0.42946524334021147,0.7754634622402379,5.183286153424285e-06,1.4807450783468754e-06,1.4807450783468754e-06,0.0,0.0,0.0,0.00029443044398326306,5.794094492512092e-07,0.0002765031363995432,1.4120998868142045e-06,0.06088809071910702,-1.4371364475313784,-0.00029385103453401186,-0.00027509103651272897,5.912770097110458e-07,2.389137999506872e-06,-1.7978609897958264e-06
source_balanced_cycle102_rank8_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,24.32786903333057,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12752.44140625,27.896915435791016,738,0,930,192,192,96,96,6314,7215,8966.798828125,8960.958984375,-5.83984375,0.0812777653336525,0.0810524895787239,-0.0002252757549285,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj1_11_c2_x10_050723.npz,,96,58,38,46,0.004991319444444444,0.0,0,0.82,0.5523680877179199,0.8076611928647183,2.3866752708267336e-06,2.3326806399406825e-06,2.3326806399406825e-06,0.0,0.0,0.0,4.292215438196339e-08,7.27896332065077e-07,2.6828009998387887e-06,3.426439151865388e-06,-61.50387564344037,-3.7073175133942695,6.849741776831136e-07,7.436381520265992e-07,5.735953513085901e-07,4.129193275139415e-06,-3.5555979238308255e-06
source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,7,8,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,14.0,16.0,1.0,1.0,True,22.59967126305032,source_balanced_pre_event_candidate,1337.7518248175184,199.94160583941607,137.0,6112.04638671875,17.030691146850586,1242,104,1434,296,192,96,96,6314,7215,8884.5400390625,8882.544921875,-1.9951171875,0.0714252293109893,0.0714001283049583,-2.5101006031036377e-05,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj2_11_c2_x10_050723.npz,,96,58,38,138,0.014973958333333334,0.3645833333333333,35,0.8835616438356164,0.4584462795528602,0.5227130991483806,5.312684647604423e-05,5.380800116651807e-05,5.372110331531774e-05,-8.689785120032453e-08,0.0,-0.0016149615171803958,0.0046841233097084335,0.003996729256186052,0.0028467128186529544,0.00257764198710594,0.39226347590961474,0.3550621465999177,-0.0006873940535223819,-0.00026907083154701457,5.153025669806184e-05,5.595856369038759e-05,-4.4283069923257515e-06
source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,23.914457040802272,source_balanced_pre_event_candidate,1342.125,203.375,96.0,9298.2919921875,22.527719497680664,1246,107,1438,299,192,96,96,8118,9019,8889.599609375,8880.17578125,-9.423828125,0.071883849799633,0.0714762508869171,-0.0004075989127159,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj1_11_c2_x10_050723.npz,,96,58,38,96,0.010416666666666666,0.3333333333333333,32,0.8285714285714286,0.6245873547591614,0.6035080055914788,3.364531703600766e-05,3.874849695306949e-05,3.603382131252933e-05,-2.7146756405401586e-06,0.0,-0.07005886302707577,0.0016748753093735137,0.001519003294929169,0.0009929672659230678,0.0010338474122373368,0.40713958802432476,0.3193909350370797,-0.00015587201444434463,4.088014631426894e-05,3.632180433346908e-05,3.5739710993271695e-05,5.820933401973831e-07
source_balanced_cycle104_rank9_obj2_11_c2_x10_050723,104.0,11_c2_x10_050723,9,9,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,12.0,18.0,1.0,0.0,True,24.37434705398142,source_balanced_pre_event_candidate,834.3111111111111,93.77777777777776,45.0,12765.328125,27.745155334472656,738,0,930,192,192,96,96,8118,9019,8966.6513671875,8957.9599609375,-8.69140625,0.0820925906300544,0.0816598460078239,-0.0004327446222305,0.2500000000000227,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj2_11_c2_x10_050723.npz,,96,58,38,44,0.004774305555555556,0.0625,6,0.9347826086956522,0.42437618141540207,0.8040436590056504,1.4611797458552506e-06,1.398770343197969e-06,1.398770343197969e-06,0.0,0.0,0.0,2.1879334947636913e-05,1.1937227948879273e-06,1.9353269505453266e-05,1.8062737862992673e-06,0.11545439787037383,-0.5131434148988078,-2.0685612152748985e-05,-1.7546995719153997e-05,9.014655342675792e-07,1.9066561055098569e-06,-1.0051905712422776e-06
source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,1,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.629607198020047,source_balanced_pre_event_candidate,1341.0181818181818,198.21818181818185,110.0,8347.205078125,19.803709030151367,1245,102,1437,294,192,96,96,904,1807,8853.5986328125,8840.9873046875,-12.611328125,0.0748025104403495,0.0742675215005874,-0.0005349889397621,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj1_12_c2_x10_070723.npz,,96,58,38,110,0.011935763888888888,0.3020833333333333,29,0.71875,2.4817575930001556,0.6164618998158702,5.490264895184937e-05,5.908717108733758e-05,5.4621474604409996e-05,-4.465696482927581e-06,0.0,-0.07557810605498057,0.004430244194850608,0.0015058232669024434,0.004044827241128859,0.0013687666340356992,0.08699677416647353,0.09101774151004909,-0.002924420927948164,-0.0026760606070931597,5.69563123798751e-05,5.223695942946692e-05,4.719352950408185e-06
source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,106.0,12_c2_x10_070723,1,10,2,mid_pre_event_9_16,mid_pre_event_9_16,source_balanced_pre_event_sampling,10.0,20.0,1.0,0.0,False,23.87471907906338,source_balanced_pre_event_candidate,1664.225352112676,223.2112676056338,71.0,10313.61328125,22.96823501586914,1568,127,1760,319,192,96,96,904,1807,8251.080078125,8235.2099609375,-15.8701171875,0.078857809305191,0.0780631303787231,-0.0007946789264678,0.2121320343559321,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj2_12_c2_x10_070723.npz,,96,58,38,71,0.007703993055555556,0.5416666666666666,52,0.7317073170731707,1.7773844315667557,0.5562953802669242,4.094557871846295e-05,3.517406694398345e-05,3.9722111862882384e-05,4.54804491889893e-06,1.4070380741090293e-06,0.129301082133662,0.002274675646727342,0.001107109631202239,0.002436205247250417,0.0016365170073732406,-0.07101214661328678,-0.47818875498003255,-0.0011675660155251032,-0.0007996882398771765,4.502630396597125e-05,3.430506460866397e-05,1.0721239357307278e-05
