metric,median,q10,q90
one_step_hybrid_minus_adaptive_mse,0.0,-4.090460815635905e-06,1.7337707433200534e-05
latent_linear_gain_vs_persistence_history,0.15822063730376987,-0.5386523365077146,0.5395575642852506
latent_linear_gain_vs_persistence_hybrid,0.08166849667499436,-0.7912405510716708,0.4716196827975352
