embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,echem_degraded_state_axis__source_residual,signed_optical_loss_axis__source_residual,combined_loss_mechanism_axis__source_residual,echem_degraded_state_axis__within_source_rank,signed_optical_loss_axis__within_source_rank,source_residual_echem_optical_score
selected_event_control::cycle157_rank6_obj3,cycle157_rank6_obj3,157.0,18_c2_xN_HighHighCOV_170723,,,0.1888502425048816,5.1601345335896935,2.738630047438152,0.5952380952380952,1.0,5.348984776094575
selected_event_control::cycle157_rank2_obj2,cycle157_rank2_obj2,157.0,18_c2_xN_HighHighCOV_170723,,,0.1888502425048816,5.1369822461248695,2.7270539037057397,0.5952380952380952,0.9523809523809524,5.325832488629751
selected_event_control::cycle157_rank1_obj1,cycle157_rank1_obj1,157.0,18_c2_xN_HighHighCOV_170723,,,0.1888502425048816,4.907467157923439,2.6122963596050246,0.5952380952380952,0.9047619047619048,5.096317400428321
selected_event_control::cycle157_rank4_obj8,cycle157_rank4_obj8,157.0,18_c2_xN_HighHighCOV_170723,,,0.1888502425048816,4.8603469197497695,2.5887362405181897,0.5952380952380952,0.8571428571428571,5.049197162254651
transfer_ranked::cycle154_rank6_obj2,cycle154_rank6_obj2,154.0,17_c2_x10_HighHighCOV_150723,,,0.8771369776882882,0.976736852075344,0.0992738902196667,0.7424242424242424,0.9924242424242424,1.8538738297636321
balanced_future::cycle154_rank16_obj2,cycle154_rank16_obj2,154.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.8771369776882882,0.976736852075344,0.0992738902196667,0.7424242424242424,0.9924242424242424,1.8538738297636321
transfer_ranked::cycle154_rank6_obj3,cycle154_rank6_obj3,154.0,17_c2_x10_HighHighCOV_150723,,,0.8771369776882882,0.6267336626229152,0.0117730928565595,0.7424242424242424,0.9621212121212122,1.5038706403112034
balanced_future::cycle154_rank16_obj3,cycle154_rank16_obj3,154.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.8771369776882882,0.6267336626229152,0.0117730928565595,0.7424242424242424,0.9621212121212122,1.5038706403112034
transfer_ranked::cycle154_rank6_obj1,cycle154_rank6_obj1,154.0,17_c2_x10_HighHighCOV_150723,,,0.8771369776882882,0.318402499162957,-0.06530969800843,0.7424242424242424,0.9318181818181818,1.1955394768512453
balanced_future::cycle154_rank16_obj1,cycle154_rank16_obj1,154.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.8771369776882882,0.318402499162957,-0.06530969800843,0.7424242424242424,0.9318181818181818,1.1955394768512453
transfer_ranked::cycle154_rank6_obj4,cycle154_rank6_obj4,154.0,17_c2_x10_HighHighCOV_150723,,,0.8771369776882882,0.2000267565695455,-0.0949036336567829,0.7424242424242424,0.8939393939393939,1.0771637342578337
transfer_ranked::cycle152_rank5_obj4,cycle152_rank5_obj4,152.0,17_c2_x10_HighHighCOV_150723,,,0.662349651287241,0.299400256540382,-0.0470885972204168,0.5303030303030303,0.9090909090909092,0.961749907827623
transfer_ranked::cycle155_rank10_obj3,cycle155_rank10_obj3,155.0,17_c2_x10_HighHighCOV_150723,,,0.9462442932276988,0.0046291790041443,-0.0901827274018074,0.8484848484848485,0.8106060606060606,0.950873472231843
balanced_future::cycle155_rank19_obj3,cycle155_rank19_obj3,155.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.9462442932276988,0.0046291790041443,-0.0901827274018074,0.8484848484848485,0.8106060606060606,0.950873472231843
transfer_ranked::cycle153_rank7_obj2,cycle153_rank7_obj2,153.0,17_c2_x10_HighHighCOV_150723,,,0.7918493052218487,0.1246264944074062,-0.2833773950580892,0.6363636363636364,0.8712121212121212,0.916475799629255
balanced_future::cycle153_rank17_obj2,cycle153_rank17_obj2,153.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.7918493052218487,0.1246264944074062,-0.2833773950580892,0.6363636363636364,0.8712121212121212,0.916475799629255
balanced_future::cycle153_rank17_obj1,cycle153_rank17_obj1,153.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.7918493052218487,-0.0530939777988684,-0.3278075131096578,0.6363636363636364,0.75,0.7387553274229803
transfer_ranked::cycle153_rank7_obj1,cycle153_rank7_obj1,153.0,17_c2_x10_HighHighCOV_150723,,,0.7918493052218487,-0.0530939777988684,-0.3278075131096578,0.6363636363636364,0.75,0.7387553274229803
balanced_future::cycle44_rank4_obj3,cycle44_rank4_obj3,44.0,5_c2_x10_260623,0.0,1.0,0.6138641165277412,0.1213803236545079,0.4633384613779172,0.9,1.0,0.7352444401822491
transfer_ranked::cycle153_rank7_obj4,cycle153_rank7_obj4,153.0,17_c2_x10_HighHighCOV_150723,,,0.7918493052218487,-0.0601003159205636,-0.3295590976400816,0.6363636363636364,0.7272727272727273,0.7317489893012851
transfer_ranked::cycle151_rank4_obj3,cycle151_rank4_obj3,151.0,17_c2_x10_HighHighCOV_150723,,,0.999141411694508,-0.3016890930615677,-0.1037680961731444,0.9545454545454546,0.5833333333333334,0.6974523186329402
balanced_future::cycle151_rank14_obj3,cycle151_rank14_obj3,151.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.999141411694508,-0.3016890930615677,-0.1037680961731444,0.9545454545454546,0.5833333333333334,0.6974523186329402
transfer_ranked::cycle155_rank10_obj4,cycle155_rank10_obj4,155.0,17_c2_x10_HighHighCOV_150723,,,0.9462442932276988,-0.2917807524278566,-0.1642852102598076,0.8484848484848485,0.6363636363636364,0.6544635407998421
transfer_ranked::cycle152_rank5_obj3,cycle152_rank5_obj3,152.0,17_c2_x10_HighHighCOV_150723,,,0.662349651287241,-0.0160418172520448,-0.1259491156685235,0.5303030303030303,0.7803030303030303,0.6463078340351962
balanced_future::cycle152_rank15_obj3,cycle152_rank15_obj3,152.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.662349651287241,-0.0160418172520448,-0.1259491156685235,0.5303030303030303,0.7803030303030303,0.6463078340351962
selected_event_control::cycle88_rank5_obj9,cycle88_rank5_obj9,88.0,10_c2_x10_030723,,,-0.4515026367975466,1.0781117138891825,0.5323568932188023,0.1785714285714285,1.0,0.6266090770916359
balanced_future::cycle153_rank17_obj3,cycle153_rank17_obj3,153.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.7918493052218487,-0.3247202952780092,-0.3957140924794431,0.6363636363636364,0.5378787878787878,0.4671290099438395
transfer_ranked::cycle153_rank7_obj3,cycle153_rank7_obj3,153.0,17_c2_x10_HighHighCOV_150723,,,0.7918493052218487,-0.3247202952780092,-0.3957140924794431,0.6363636363636364,0.5378787878787878,0.4671290099438395
balanced_future::cycle152_rank15_obj1,cycle152_rank15_obj1,152.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.662349651287241,-0.232610865759955,-0.1800913777955011,0.5303030303030303,0.6590909090909091,0.429738785527286
transfer_ranked::cycle152_rank5_obj1,cycle152_rank5_obj1,152.0,17_c2_x10_HighHighCOV_150723,,,0.662349651287241,-0.232610865759955,-0.1800913777955011,0.5303030303030303,0.6590909090909091,0.429738785527286
