target,feature_set,mode,n,n_positive,n_sources,direction,oriented_auc,average_precision,spearman_rho,spearman_p,source_eta2
future_any_drop_within_16cycles,raw_axes_guardrail,direct_mean_score,72,57,9,higher_in_positive,0.9894736842105264,0.9973646379086096,0.6886719964376784,2.2913747922410578e-11,0.5562903793484212
future_any_drop_within_16cycles,source_mean_only_guardrail,direct_mean_score,72,57,9,higher_in_positive,0.9421052631578948,0.9800982719957789,0.6476325067328613,7.825031117883879e-10,0.9999999999999998
future_any_drop_within_16cycles,echem_optical_front_residual,direct_mean_score,72,57,9,higher_in_positive,0.8093567251461988,0.9510222778837514,0.4352538663268003,0.00013292851674170863,0.006424337816525857
future_any_drop_within_16cycles,echem_plus_optical_source_residual,direct_mean_score,72,57,9,higher_in_positive,0.7742690058479531,0.9432646361270017,0.38588669812338255,0.0008147824552809275,0.0018820493707265415
future_any_drop_within_16cycles,echem_source_residual,direct_mean_score,72,57,9,higher_in_positive,0.7157894736842105,0.9152388519405046,0.30410722287956066,0.0094015187420599,0.007238318570750732
future_any_drop_within_16cycles,optical_source_residual,direct_mean_score,72,57,9,higher_in_positive,0.656140350877193,0.8991361462536058,0.21968389850520925,0.06371390573522479,0.0497774742738139
future_any_drop_within_16cycles,echem_plus_optical_centered_z,direct_mean_score,72,57,9,higher_in_positive,0.6280701754385964,0.863467931328805,0.180190163942475,0.12986550567459323,0.02126364252958161
future_any_drop_within_16cycles,all_source_residual_axes,direct_mean_score,72,57,9,higher_in_positive,0.6035087719298246,0.8782049619244126,0.14563314620008252,0.22222576386342546,0.02975107245101941
future_any_drop_within_16cycles,echem_plus_optical_rank,direct_mean_score,72,57,9,lower_in_positive,0.5,0.7814068739493183,0.0,1.0,0.10348954962964266
future_any_drop_within_16cycles,front_source_residual,direct_mean_score,72,57,9,lower_in_positive,0.4421052631578947,0.827807653650988,-0.08158974272378458,0.4956610005679492,0.016192351973911934
future_any_drop_within_8cycles,source_mean_only_guardrail,direct_mean_score,72,36,9,higher_in_positive,0.7569444444444444,0.71831677094835,0.46340597540301054,4.143979196419821e-05,0.9999999999999998
future_any_drop_within_8cycles,front_source_residual,direct_mean_score,72,36,9,lower_in_positive,0.7152777777777778,0.7867926742733246,0.37352108685170693,0.0012301785008992877,0.016192351973911934
future_any_drop_within_8cycles,echem_source_residual,direct_mean_score,72,36,9,higher_in_positive,0.6944444444444444,0.7927230378317336,0.33737388489831593,0.003754356591801162,0.007238318570750732
future_any_drop_within_8cycles,raw_axes_guardrail,direct_mean_score,72,36,9,higher_in_positive,0.6813271604938271,0.6638567418475114,0.3140981511891995,0.007211137651381297,0.5562903793484212
future_any_drop_within_8cycles,echem_plus_optical_source_residual,direct_mean_score,72,36,9,higher_in_positive,0.6527777777777777,0.7319196260469425,0.26464439972536813,0.02467213216915351,0.0018820493707265415
future_any_drop_within_8cycles,all_source_residual_axes,direct_mean_score,72,36,9,lower_in_positive,0.6010802469135802,0.6143342812568154,0.1750930119395112,0.14126351327672196,0.02975107245101941
future_any_drop_within_8cycles,echem_plus_optical_rank,direct_mean_score,72,36,9,lower_in_positive,0.5424382716049383,0.5136539427291966,0.07356617089983161,0.5391242920357913,0.10348954962964266
future_any_drop_within_8cycles,optical_source_residual,direct_mean_score,72,36,9,higher_in_positive,0.5378086419753088,0.6047240811336247,0.0654928059926416,0.584663003641646,0.0497774742738139
future_any_drop_within_8cycles,echem_optical_front_residual,direct_mean_score,72,36,9,higher_in_positive,0.5285493827160495,0.5234742192651602,0.04945375146383141,0.6799455312635098,0.006424337816525857
future_any_drop_within_8cycles,echem_plus_optical_centered_z,direct_mean_score,72,36,9,higher_in_positive,0.5046296296296295,0.512185199498393,0.008019527264405092,0.9466947003593641,0.02126364252958161
