target,rule,echem_quantile,optical_quantile,n_eval,n_covered,n_covered_positive,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,n_sources_with_hits,n_sources_with_positive_hits
future_any_drop_within_8cycles,echem_ge_q75,0.75,0.6,72,18,15,0.8333333333333334,0.4166666666666667,0.5,1.6666666666666667,0.6666666666666667,0.0010783276675972145,2,1
future_any_drop_within_8cycles,echem_ge_q75,0.75,0.7,72,18,15,0.8333333333333334,0.4166666666666667,0.5,1.6666666666666667,0.6666666666666667,0.0010783276675972145,2,1
future_any_drop_within_8cycles,echem_ge_q75,0.75,0.75,72,18,15,0.8333333333333334,0.4166666666666667,0.5,1.6666666666666667,0.6666666666666667,0.0010783276675972145,2,1
future_any_drop_within_8cycles,echem_ge_q50_AND_optical_ge_q60,0.5,0.6,72,12,11,0.9166666666666666,0.3055555555555556,0.5,1.8333333333333333,0.638888888888889,0.0014893083996259558,3,2
future_any_drop_within_8cycles,echem_ge_q75_AND_optical_ge_q50,0.75,0.5,72,12,11,0.9166666666666666,0.3055555555555556,0.5,1.8333333333333333,0.638888888888889,0.0014893083996259558,2,1
future_any_drop_within_8cycles,echem_ge_q70,0.7,0.5,72,24,18,0.75,0.5,0.5,1.5,0.6666666666666666,0.002690523333935336,3,1
future_any_drop_within_8cycles,echem_ge_q70,0.7,0.6,72,24,18,0.75,0.5,0.5,1.5,0.6666666666666666,0.002690523333935336,3,1
future_any_drop_within_8cycles,echem_ge_q70,0.7,0.7,72,24,18,0.75,0.5,0.5,1.5,0.6666666666666666,0.002690523333935336,3,1
future_any_drop_within_8cycles,echem_ge_q70,0.7,0.75,72,24,18,0.75,0.5,0.5,1.5,0.6666666666666666,0.002690523333935336,3,1
future_any_drop_within_8cycles,echem_ge_q60_AND_optical_ge_q50,0.6,0.5,72,14,12,0.8571428571428571,0.3333333333333333,0.5,1.7142857142857142,0.6388888888888888,0.0029299545324392245,2,1
future_any_drop_within_8cycles,echem_ge_q60,0.6,0.5,72,30,21,0.7,0.5833333333333334,0.5,1.4,0.6666666666666666,0.004023111836532729,4,2
future_any_drop_within_8cycles,echem_ge_q60,0.6,0.6,72,30,21,0.7,0.5833333333333334,0.5,1.4,0.6666666666666666,0.004023111836532729,4,2
future_any_drop_within_8cycles,echem_ge_q60,0.6,0.7,72,30,21,0.7,0.5833333333333334,0.5,1.4,0.6666666666666666,0.004023111836532729,4,2
future_any_drop_within_8cycles,echem_ge_q60,0.6,0.75,72,30,21,0.7,0.5833333333333334,0.5,1.4,0.6666666666666666,0.004023111836532729,4,2
future_any_drop_within_8cycles,echem_ge_q50_AND_optical_ge_q70,0.5,0.7,72,10,9,0.9,0.25,0.5,1.8,0.611111111111111,0.006794598771182481,2,1
future_any_drop_within_8cycles,echem_ge_q60_AND_optical_ge_q60,0.6,0.6,72,10,9,0.9,0.25,0.5,1.8,0.611111111111111,0.006794598771182481,2,1
future_any_drop_within_8cycles,echem_ge_q70_AND_optical_ge_q60,0.7,0.6,72,10,9,0.9,0.25,0.5,1.8,0.611111111111111,0.006794598771182481,2,1
future_any_drop_within_8cycles,echem_ge_q50_AND_optical_ge_q75,0.5,0.75,72,9,8,0.8888888888888888,0.2222222222222222,0.5,1.7777777777777777,0.5972222222222223,0.013905225392187403,2,1
future_any_drop_within_8cycles,echem_ge_q60_AND_optical_ge_q70,0.6,0.7,72,9,8,0.8888888888888888,0.2222222222222222,0.5,1.7777777777777777,0.5972222222222223,0.013905225392187403,2,1
future_any_drop_within_8cycles,echem_ge_q70_AND_optical_ge_q70,0.7,0.7,72,9,8,0.8888888888888888,0.2222222222222222,0.5,1.7777777777777777,0.5972222222222223,0.013905225392187403,2,1
future_any_drop_within_8cycles,echem_ge_q75_AND_optical_ge_q60,0.75,0.6,72,9,8,0.8888888888888888,0.2222222222222222,0.5,1.7777777777777777,0.5972222222222223,0.013905225392187403,2,1
future_any_drop_within_8cycles,echem_ge_q75_OR_optical_ge_q75,0.75,0.75,72,28,19,0.6785714285714286,0.5277777777777778,0.5,1.3571428571428572,0.6388888888888888,0.014365386322892255,6,3
future_any_drop_within_8cycles,echem_ge_q75_OR_optical_ge_q70,0.75,0.7,72,32,21,0.65625,0.5833333333333334,0.5,1.3125,0.638888888888889,0.0160268320813346,6,3
future_any_drop_within_8cycles,echem_ge_q60_OR_optical_ge_q75,0.6,0.75,72,40,25,0.625,0.6944444444444444,0.5,1.25,0.6388888888888888,0.016026832081334604,7,3
future_any_drop_within_8cycles,echem_ge_q70_OR_optical_ge_q75,0.7,0.75,72,34,22,0.6470588235294118,0.6111111111111112,0.5,1.2941176470588236,0.638888888888889,0.016449738465683796,7,3
future_any_drop_within_8cycles,echem_ge_q75_OR_optical_ge_q60,0.75,0.6,72,38,24,0.631578947368421,0.6666666666666666,0.5,1.263157894736842,0.638888888888889,0.016449738465683802,8,3
future_any_drop_within_8cycles,echem_ge_q60_OR_optical_ge_q60,0.6,0.6,72,49,29,0.5918367346938775,0.8055555555555556,0.5,1.183673469387755,0.625,0.020989549811683574,9,3
future_any_drop_within_8cycles,echem_ge_q60_OR_optical_ge_q70,0.6,0.7,72,43,26,0.6046511627906976,0.7222222222222222,0.5,1.2093023255813953,0.625,0.026855612864438046,7,3
future_any_drop_within_8cycles,echem_ge_q70_OR_optical_ge_q60,0.7,0.6,72,43,26,0.6046511627906976,0.7222222222222222,0.5,1.2093023255813953,0.625,0.026855612864438046,9,3
future_any_drop_within_8cycles,echem_ge_q60_AND_optical_ge_q75,0.6,0.75,72,8,7,0.875,0.19444444444444445,0.5,1.75,0.5833333333333334,0.027636090591369317,2,1
future_any_drop_within_8cycles,echem_ge_q70_AND_optical_ge_q75,0.7,0.75,72,8,7,0.875,0.19444444444444445,0.5,1.75,0.5833333333333334,0.027636090591369317,2,1
future_any_drop_within_8cycles,echem_ge_q75_AND_optical_ge_q70,0.75,0.7,72,8,7,0.875,0.19444444444444445,0.5,1.75,0.5833333333333334,0.027636090591369317,2,1
