roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,degradation_mode_hypothesis,threshold_quantile,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_delta_px2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_um2_per_s,interface_density_delta,interface_density_slope_per_s,interface_density_slope_r2,centroid_path_px,centroid_net_px,threshold_cohort,source_stem
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.55,0.0587564980611205,0.4369382863990413,0.4460754943079688,0.0091372079089274,2.9064471258102183e-06,0.0474899616743578,0.7648655561881696,0.0003489479218415,0.0387788974275027,8.039760119229794e-07,0.0025464349910125,-2.8465990718107975e-07,0.0333144497951914,17.230191334796068,0.2240274193089932,balanced_future_threshold_robust_fronts,
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.6,0.0641447588801383,0.3860095865787897,0.3926003594967046,0.0065907729179149,2.98012144309403e-06,0.0489811907753935,6.478053665529842,0.0005484770602663,0.1133461214766543,1.2636911468535796e-06,-0.0047932893948471,-8.81020907184233e-08,0.0083095665160143,19.178241690320768,0.3539861685607586,balanced_future_threshold_robust_fronts,
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.65,0.07039655148983,0.3374775314559616,0.3431695626123427,0.005692031156381,2.8677851420806964e-06,0.048726886367379,16.21065234713967,0.0012352659207384,0.4148131409143081,2.846052681381488e-06,0.0016476932294787,1.9026443037011545e-07,0.0319670999287479,19.034513005375302,0.4584323576535619,balanced_future_threshold_robust_fronts,
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.7,0.0777107171714305,0.2871479928100659,0.2959856201318154,0.0088376273217495,2.8188004309613634e-06,0.0508201861998807,21.152000321014494,0.0015002222799752,0.4236646385622081,3.456512133062921e-06,0.0023966446974235,3.783923773365396e-07,0.0468393664863214,18.749032742994544,0.5129455564813664,balanced_future_threshold_robust_fronts,
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.75,0.0869749821722507,0.2384661473936488,0.2494008388256441,0.0109346914319952,2.62228996823532e-06,0.0525730128196152,14.939798844070197,0.0015227812546802,0.4194055050895721,3.508488010783196e-06,0.0017974835230677,5.22382333254323e-07,0.0347613768367719,21.210191388782768,0.1614480279091538,balanced_future_threshold_robust_fronts,
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.8,0.099230682849884,0.1905332534451767,0.1986219292989814,0.0080886758538046,2.2686394706420345e-06,0.0525674649642674,26.39693787529518,0.0016775261374003,0.2843499310830729,3.865020220570333e-06,-0.0010485320551228,3.305892961263396e-07,0.0116860052100304,21.83345761335915,0.3074255145419228,balanced_future_threshold_robust_fronts,
cycle78_rank22_obj2,78.0,future8_positive,0,78.0,,0.85,0.1164851415902375,0.1415518274415818,0.1515877771120431,0.0100359496704613,2.1207179130076148e-06,0.0705548576134378,37.55896438505136,0.0040169511337264,0.5129625110641265,9.255055412105836e-06,0.0043439185140802,5.982019056535622e-07,0.0361633511038987,24.328304968031976,0.2455177894998232,balanced_future_threshold_robust_fronts,
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.55,0.0541722962632775,0.432893948472139,0.4313960455362493,-0.0014979029358897,2.3774335130640415e-07,0.0004086732989727,4.585536812764303,0.0001882010854136,0.0155229135378138,4.336153007930234e-07,-0.0037447573397243,-1.4871287048489298e-07,0.0128112933131844,19.102735708279187,0.2592740938273629,balanced_future_threshold_robust_fronts,
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.6,0.0595155358314514,0.3801677651288196,0.3818154583582984,0.0016476932294787,4.039598611971609e-07,0.0011551114677196,5.407928942606759,-0.0001167477116558,0.0086791795459882,-2.6898672765510445e-07,-0.0035949670461354,-2.7566299558758816e-07,0.0767235080780335,20.610847642185224,0.36546517776713,balanced_future_threshold_robust_fronts,
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.65,0.0655838288366794,0.3334331935290593,0.3373277411623727,0.0038945476333133,5.033762245920514e-07,0.0017762488323629,6.7912407699096775,-0.0002663373802081,0.0302776934634947,-6.136413239995928e-07,0.0034451767525464,-2.421712202508587e-07,0.0556357903087229,20.829120211797072,0.1789516884499,balanced_future_threshold_robust_fronts,
