roi_id,cycleNo,source_stem,cohort_role,threshold_cohort,n_threshold_rows,threshold_min,threshold_max,median_D_um2_per_s,q70_D_um2_per_s,q80_D_um2_per_s,positive_D_fraction,median_abs_D_um2_per_s,threshold_D_iqr,median_radius2_slope_px2_per_s,q70_radius2_slope_px2_per_s,median_radius2_fit_r2,q70_radius2_fit_r2,max_positive_fit_r2,best_positive_threshold_quantile,best_positive_D_um2_per_s,median_phase_slope_per_s,phase_slope_positive_fraction,median_D_um2_per_s_all_percentile,median_D_um2_per_s_same_source_percentile,median_D_um2_per_s_same_cycle_percentile,q70_D_um2_per_s_all_percentile,q70_D_um2_per_s_same_source_percentile,q70_D_um2_per_s_same_cycle_percentile,median_radius2_fit_r2_all_percentile,median_radius2_fit_r2_same_source_percentile,median_radius2_fit_r2_same_cycle_percentile,q70_radius2_fit_r2_all_percentile,q70_radius2_fit_r2_same_source_percentile,q70_radius2_fit_r2_same_cycle_percentile,positive_D_fraction_all_percentile,positive_D_fraction_same_source_percentile,positive_D_fraction_same_cycle_percentile,median_phase_slope_per_s_all_percentile,median_phase_slope_per_s_same_source_percentile,median_phase_slope_per_s_same_cycle_percentile,cycleNo_readiness,source_stem_readiness,cohort_role_readiness,candidate_source,automatic_physics_consistent,publication_ready,gate_count,h5_dt_max_to_median_ratio,manual_qc_status,blockers,review_priority,cycleNo_physics,source_stem_physics,cohort_role_physics,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,gate_q70_positive_ci,gate_h5_timing_stable,diffusion_physics_gate_count,physics_consistency_score,cycleNo_queue,source_stem_queue,event_relative_bin,diagnostic_action,diagnostic_reason,targeted_remeasurement_score
cycle157_rank1_obj1,157.0,18_c2_xN_HighHighCOV_170723,control,multi_cycle_threshold_robust_fronts,7,0.55,0.85,1.1382129826953457e-06,1.238747464701779e-06,-5.878191902573857e-07,0.7142857142857143,1.1382129826953457e-06,1.1559826736767096e-06,0.000494016051517,0.0005376508093323,0.0197117089963219,0.0206922875509792,0.0297697360584063,0.6,1.460266812456932e-06,-7.900122770612939e-07,0.0,0.275,0.4166666666666667,0.25,0.375,0.5833333333333334,0.25,0.325,0.4166666666666667,0.25,0.275,0.4166666666666667,0.25,0.25,0.3333333333333333,0.25,0.225,0.25,0.75,157.0,18_c2_xN_HighHighCOV_170723,control,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.054733454892869,,,,,,,,,,157.0,18_c2_xN_HighHighCOV_170723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,14.935701498438252
cycle153_rank17_obj2,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,balanced_future_threshold_robust_fronts,7,0.55,0.85,2.0965415290160466e-05,2.0965415290160466e-05,3.080596376726665e-05,1.0,2.0965415290160466e-05,1.0478748122178397e-05,0.0090995726085765,0.0090995726085765,0.2813449927826972,0.2813449927826972,0.3119031490743216,0.6,1.5922515327209437e-05,2.494765311742836e-06,1.0,0.975,0.75,0.75,0.975,0.75,0.75,0.725,0.25,0.25,0.725,0.25,0.25,0.7,0.5,0.5,0.775,0.75,0.75,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,diffusion_physics_consistency,False,False,5.0,13.75745087739935,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.410387396133704,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,,,False,False,5.0,4.103873961337032,153.0,17_c2_x10_HighHighCOV_150723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,13.284193694282347
cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,balanced_future_threshold_robust_fronts,7,0.55,0.85,8.986448877065399e-06,1.170196182487912e-05,4.634145930043523e-06,0.8571428571428571,8.986448877065399e-06,3.8741274878578735e-06,0.0039003684362263,0.0050789764864926,0.5329850337014117,0.5815426104088335,0.6407236329971461,0.65,1.125921506473208e-05,-9.531308523896148e-06,0.0,0.875,0.75,0.5,0.875,0.75,0.5,0.975,0.75,0.5,0.975,0.75,0.5,0.35,0.25,0.5,0.025,0.25,0.5,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,diffusion_physics_consistency,False,False,5.0,13.736323266163534,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.407738910757132,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,,,False,False,5.0,4.077389107571319,139.0,16_c2_x10_HighHighCOV_130723,,guarded_review_only,use as optical-front proxy review row only,13.224900462465708
cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,future8_negative,balanced_future_threshold_robust_fronts,7,0.55,0.85,8.007605674208981e-06,8.616339745488977e-06,9.69326071607636e-06,1.0,8.007605674208981e-06,9.810942868814433e-07,0.0034755232960976,0.0037397307923129,0.3677270105627852,0.3677270105627852,0.5358984163384277,0.55,6.1609194532523945e-06,-5.009456689453361e-06,0.0,0.825,0.25,0.5,0.825,0.25,0.5,0.825,0.25,0.5,0.825,0.25,0.5,0.7,0.75,0.5,0.075,0.75,0.5,140.0,16_c2_x10_HighHighCOV_130723,future8_negative,diffusion_physics_consistency,False,False,5.0,13.736323266163534,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.4142068261501,140.0,16_c2_x10_HighHighCOV_130723,future8_negative,,,False,False,5.0,4.142068261500999,140.0,16_c2_x10_HighHighCOV_130723,,source_context_common_not_candidate_specific,diffusion proxy is not exceptional within its source; avoid candidate-specific diffusion claim,12.236003658826956
cycle153_rank17_obj1,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,balanced_future_threshold_robust_fronts,7,0.55,0.85,1.4778848079399394e-05,1.4778848079399394e-05,2.1720297694956263e-05,1.0,1.4778848079399394e-05,6.436149772997048e-06,0.006414430590017,0.006414430590017,0.3376148437794777,0.3313076584128896,0.4034921964382196,0.55,1.139613934421432e-05,-9.976217790658355e-07,0.42857142857142855,0.925,0.25,0.25,0.925,0.25,0.25,0.775,0.75,0.75,0.775,0.75,0.75,0.7,0.5,0.5,0.125,0.25,0.25,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,diffusion_physics_consistency,False,False,5.0,13.75745087739935,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.354908591067467,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,,,False,False,5.0,3.5490859106746715,153.0,17_c2_x10_HighHighCOV_150723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,11.911892983943906
cycle158_rank12_obj3,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,balanced_future_threshold_robust_fronts,7,0.55,0.85,6.706942219824927e-07,9.092560154213304e-07,6.706942219824927e-07,0.7142857142857143,6.706942219824927e-07,6.124403623847613e-07,0.0002910999227354,0.0003946423678043,0.0043076508396737,0.0185444881304921,0.0185444881304921,0.7,9.092560154213304e-07,1.3301223761721326e-06,1.0,0.225,0.25,0.75,0.225,0.25,0.75,0.125,0.25,0.75,0.225,0.25,0.75,0.25,0.3333333333333333,0.75,0.475,0.5833333333333334,0.75,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,diffusion_physics_consistency,False,False,5.0,1.156908614006808,,radius2 fit quality; q70 positive CI; publication-ready gate,5.371564375673755,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,,,False,True,5.0,3.7156437567375535,158.0,18_c2_xN_HighHighCOV_170723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,9.730081923363311
cycle58_rank6_obj29,58.0,7_c2_x10_290623,control,multi_cycle_threshold_robust_fronts,7,0.55,0.85,3.22953107952456e-08,3.22953107952456e-08,2.884216872427917e-06,0.5714285714285714,2.33976959654892e-07,2.1676004171685104e-06,1.4017061977103122e-05,1.4017061977103122e-05,0.0003085336420122,3.845497596910441e-06,0.0277687756531966,0.85,4.970413373683761e-06,1.9836635442909093e-06,1.0,0.175,0.1,0.25,0.125,0.1,0.25,0.025,0.1,0.25,0.025,0.1,0.25,0.175,0.1,0.25,0.725,0.9,0.75,58.0,7_c2_x10_290623,control,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.471510344231042,,,,,,,,,,58.0,7_c2_x10_290623,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,8.684190752680294
cycle158_rank12_obj1,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,balanced_future_threshold_robust_fronts,7,0.55,0.85,-2.9054759800194044e-08,7.864507016603714e-07,-2.9054759800194044e-08,0.42857142857142855,2.4874067572583535e-07,5.353604918336187e-07,-1.261057282994533e-05,0.0003413414503734,0.0006707685023829,0.0076592257156136,0.0076592257156136,0.7,7.864507016603714e-07,9.410883813478818e-07,1.0,0.125,0.08333333333333333,0.25,0.175,0.08333333333333333,0.25,0.075,0.08333333333333333,0.25,0.175,0.08333333333333333,0.25,0.125,0.08333333333333333,0.25,0.375,0.4166666666666667,0.25,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,diffusion_physics_consistency,False,False,5.0,1.156908614006808,,radius2 fit quality; q70 positive CI; publication-ready gate,5.371153620485389,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,,,False,True,5.0,3.711536204853892,158.0,18_c2_xN_HighHighCOV_170723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,7.7793292147737585
cycle108_rank21_obj3,108.0,12_c2_x10_070723,future8_positive,balanced_future_threshold_robust_fronts,7,0.55,0.85,-2.4153859205605697e-06,-2.0586911521405155e-06,-1.957693061089404e-06,0.0,2.4153859205605697e-06,5.801577251831067e-07,-0.0010483445835766,-0.0008935291458943,0.2012151084775747,0.1369600359507899,,,,8.598190275741233e-07,1.0,0.025,0.5,0.5,0.025,0.5,0.5,0.675,0.5,0.5,0.675,0.5,0.5,0.025,0.5,0.5,0.325,0.5,0.5,108.0,12_c2_x10_070723,future8_positive,diffusion_physics_consistency,False,False,5.0,1.1428571332843969,,positive expansion; q70 positive CI; publication-ready gate,5.407650608408734,108.0,12_c2_x10_070723,future8_positive,,,False,True,5.0,4.076506084087345,108.0,12_c2_x10_070723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,6.907650608408734
cycle84_rank23_obj2,84.0,9_c2_x10_010723,future8_positive,balanced_future_threshold_robust_fronts,7,0.55,0.85,-6.136413239995928e-07,-2.447960211158605e-07,-1.2047317965356418e-06,0.14285714285714285,6.136413239995928e-07,4.73086806462184e-07,-0.0002663373802081,-0.0001062482730537,0.0149102799367788,0.0025524524208356,0.0155229135378138,0.55,4.336153007930234e-07,4.602315163798391e-07,1.0,0.075,0.25,0.5,0.075,0.25,0.5,0.275,0.25,0.5,0.075,0.25,0.5,0.075,0.25,0.5,0.275,0.25,0.5,84.0,9_c2_x10_010723,future8_positive,diffusion_physics_consistency,False,False,5.0,1.1361501308587034,,radius2 fit quality; q70 positive CI; publication-ready gate,5.360221411891243,84.0,9_c2_x10_010723,future8_positive,,,False,True,5.0,3.6022141189124337,84.0,9_c2_x10_010723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,6.855552953252585
