roi_id,cycleNo,source_stem,front_candidate_rank,object_candidate_rank,sample_index,frame_index,elapsed_s,roi_mean_corrected,signed_delta_mean,signed_delta_p90,active_threshold,active_area_full_px,active_fraction,front_weighted_radius_full_px,front_radius_p90_full_px,front_radius2_weighted_full_px2,validation_score
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,0,6444,0.0,8581.982421875,-11.626535415649414,234.044921875,345.19314990234375,1614,0.043782552083333336,47.99528995140509,97.35127203547191,3521.5727764760754,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,1,6473,291.51024985313416,8586.4560546875,-7.15442419052124,206.34375,345.19314990234375,985,0.026719835069444444,46.91633131501498,98.47236230699359,3384.4462079811224,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,2,6503,593.171028137207,8590.693359375,-2.916316509246826,160.4619140625,345.19314990234375,312,0.008463541666666666,63.46527970078325,103.95689977991782,5150.551983020018,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,3,6532,884.6724944114685,8595.3779296875,1.767020344734192,170.6162109375,345.19314990234375,395,0.010715060763888888,30.61705799380887,90.50100599597198,2193.193539219726,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,4,6562,1186.3839688301086,8598.0146484375,4.405167579650879,170.0576171875,345.19314990234375,684,0.0185546875,16.23469807935508,46.628597864239985,826.4619713395164,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,5,6592,1488.4060838222504,8602.4609375,8.851236343383789,223.35546875,345.19314990234375,1278,0.03466796875,17.158859442921212,44.781588884114804,824.8105318578012,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,6,6621,1779.6068727970123,8609.662109375,16.05194664001465,229.0986328125,345.19314990234375,1466,0.03976779513888889,16.38986651751292,37.44218925380456,731.9280461005635,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,7,6651,2081.5768823623657,8613.1806640625,19.571266174316406,224.94873046875,345.19314990234375,1535,0.04163953993055555,15.723490599374978,35.195559176249404,652.0878362803552,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,8,6681,2383.476872444153,8621.76171875,28.152111053466797,250.02099609375,345.19314990234375,1856,0.050347222222222224,17.04563998394017,37.14959167972527,744.0814524166044,1.1201096634850307
cycle62_front4_obj1,62.0,7_c2_x10_290623,4,1,9,6710,2675.7169165611267,8629.44921875,35.83979797363281,261.95703125,345.19314990234375,2354,0.06385633680555555,18.85986637481199,50.421759472162265,883.4948007082198,1.1201096634850307
