roi_id,cycleNo,source_stem,front_candidate_rank,object_candidate_rank,sample_index,frame_index,elapsed_s,roi_mean_corrected,signed_delta_mean,signed_delta_p90,active_threshold,active_area_full_px,active_fraction,front_weighted_radius_full_px,front_radius_p90_full_px,front_radius2_weighted_full_px2,validation_score
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,0,3878,0.0,8937.564453125,-30.47383689880371,228.16455078125,384.2351912109375,799,0.021674262152777776,52.167125708200096,97.67831447465925,3825.469268756207,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,1,3940,625.4110052585602,8954.51953125,-13.518342018127441,200.89453125,384.2351912109375,429,0.011637369791666666,42.23807722007619,91.49032282135107,2782.8951158521695,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,2,4003,1259.5579640865326,8968.6435546875,0.6057853102684021,157.1689453125,384.2351912109375,194,0.005262586805555556,54.43630380626581,101.09564521115549,4144.019948517125,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,3,4065,1883.3759639263153,8981.97265625,13.93449878692627,179.6181640625,384.2351912109375,1210,0.03282335069444445,16.808632912016638,25.44199175689611,408.5706633437716,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,4,4128,2517.7407281398773,8997.529296875,29.492441177368164,255.28369140625,384.2351912109375,2321,0.0629611545138889,18.6617477002173,29.51721789572735,516.8810665389396,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,5,4190,3142.6757340431213,9017.69921875,49.66140365600586,354.50341796875,384.2351912109375,3408,0.09244791666666667,20.540776616194254,31.277238707007594,666.3596379572994,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,6,4253,3777.4082202911377,9024.5791015625,56.540889739990234,477.505859375,384.2351912109375,4537,0.1230740017361111,22.882716266886927,33.91543618604638,851.8512941918623,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,7,4315,4400.06717467308,9093.96484375,125.92660522460938,261.9085449218755,384.2351912109375,2761,0.07489691840277778,17.466258233770265,25.823727646947866,422.3780124555265,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,8,4378,5035.86220741272,9051.2275390625,83.18976593017578,428.8056640625,384.2351912109375,4069,0.1103786892361111,20.65933386428858,31.310907212250136,664.1875671402806,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,9,4440,5660.123172998428,9014.5009765625,46.46329879760742,422.4646484375013,384.2351912109375,4105,0.1113552517361111,22.09193396038959,32.73171498935326,788.0506720947627,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,10,4503,6294.115206241608,8999.09375,31.055837631225586,311.8154296875,384.2351912109375,2805,0.07609049479166667,19.64807628789906,29.786901193685942,596.9674524967219,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,11,4566,6929.018175601959,8980.71875,12.679874420166016,290.2373046875,384.2351912109375,2335,0.06334092881944445,19.916731201505883,28.919892100523096,627.9784465081952,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,12,4628,7553.094175338745,8963.5380859375,-4.500232219696045,273.8342773437527,384.2351912109375,1982,0.053765190972222224,22.349427147301768,30.77046567759069,829.366772042977,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,13,4691,8188.306174993515,8954.9501953125,-13.087957382202148,290.0810546875,384.2351912109375,1830,0.049641927083333336,25.61881583957005,54.88546281742794,1127.5763034292197,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,14,4753,8812.465173006058,8946.6953125,-21.341283798217773,295.8008789062532,384.2351912109375,1984,0.05381944444444445,29.896697879535388,73.57471432598086,1491.3114251113857,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,15,4816,9447.856212615967,8938.4658203125,-29.57174301147461,340.2607421875,384.2351912109375,2633,0.07142469618055555,37.60498269184392,88.70753452020114,2269.486165251875,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,16,4878,10070.840175151825,8927.4111328125,-40.62596130371094,382.39306640625,384.2351912109375,3609,0.097900390625,45.820307676596634,95.38109506563582,3149.916130838232,2.069622233331016
cycle158_front1_obj2,158.0,18_c2_xN_HighHighCOV_170723,1,2,17,4941,10706.332172870636,8917.576171875,-50.46147918701172,383.41611328125043,384.2351912109375,3664,0.0993923611111111,48.00672958062526,96.19773587123123,3347.334322683324,2.069622233331016
