feature_set,transform,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,permutation
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3880208333333333,0.4191810579064922,-0.19396412956888187,0.05828039396517181,34
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5390625,0.5500441159271082,0.06766190566356345,0.5124577574574251,35
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5833333333333333,0.5842983329628881,0.14434539874893537,0.16057993961816142,36
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.34939236111111116,0.4173382046693251,-0.26087423628062795,0.0102532648900836,37
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5138888888888888,0.5052069955505382,0.02405756645815589,0.8160246873550893,38
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3819444444444444,0.4216336086331219,-0.2044893148943251,0.04566210128428483,39
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.49869791666666663,0.48873324031046383,-0.002255396855452115,0.9826004478871208,40
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.529079861111111,0.538254798032143,0.0503705297717639,0.6259940460736577,41
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4184027777777778,0.4547487964851057,-0.14133820294166585,0.1695685125516032,42
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.47916666666666663,0.5028177394786806,-0.03608634968723384,0.7270482664650025,43
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.50390625,0.5495461890792501,0.006766190566356345,0.947833894898991,44
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3845486111111111,0.43613835263968037,-0.19997852118342085,0.05076093887879802,45
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5755208333333333,0.6231774972582574,0.13081301761622266,0.20395013936070033,46
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.38715277777777773,0.4528372268470575,-0.19546772747251662,0.05632008857468819,47
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.45095486111111116,0.47483997559740226,-0.084953281555363,0.4105339816829654,48
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4704861111111111,0.5294721593570076,-0.05112232872358127,0.620842501893922,49
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5685763888888887,0.5881325145364056,0.11878423438714471,0.24904027786387775,50
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5611979166666666,0.546682117388842,0.1060036522062494,0.3039904848328182,51
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4448784722222222,0.504749128466917,-0.09547846688080618,0.3547808246170105,52
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.564670138888889,0.5761621585168433,0.11201804382078838,0.277215860735585,53
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.592013888888889,0.5533617027260012,0.15938137778528277,0.12088041114919881,54
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5091145833333333,0.4996542719537166,0.015787777988164803,0.878657603806071,55
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.37934027777777773,0.4237791729068359,-0.2090001086052293,0.04099535451478212,56
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.38671875,0.43925334610174055,-0.19621952642433396,0.05536038151239773,57
