cycleNo,n_roi,future_any_drop_within_8cycles,past_any_drop_within_8cycles,cycles_to_next_drop,cycles_since_previous_drop,radius2_slope_median_px2_per_s,diffusion_proxy_median_um2_per_s,persistence_particle_mse_fraction_of_full_mean
40.0,3,0,0,20.0,,0.0011306406741123,2.604996113154949e-06,0.9456390620128164
44.0,3,0,0,16.0,,-0.00048127012952,-1.1088463784141226e-06,0.8392288110904451
76.0,3,0,0,10.0,16.0,0.0003649855616665,8.409267340797663e-07,0.9647639708160224
78.0,3,1,0,8.0,18.0,-9.339466645375634e-05,-2.151813115094546e-07,1.0153278215235606
84.0,3,1,0,2.0,24.0,-0.0002663373802081,-6.136413239995928e-07,1.4010006799561154
104.0,3,0,0,12.0,18.0,-0.0008926168145609,-2.0565891407483154e-06,0.953346085725471
108.0,3,1,0,8.0,22.0,-0.000161900485488,-3.730187185644096e-07,1.3536814088096163
110.0,3,1,0,6.0,24.0,-0.0006633483908045,-1.5283546924136028e-06,1.3887764676163643
129.0,3,0,0,27.0,13.0,-0.000145674202857,-3.356333633826293e-07,1.1797688619566378
131.0,3,0,0,25.0,15.0,-0.0009689563801152,-2.2324754997855146e-06,1.6156122360542222
139.0,3,0,0,17.0,23.0,0.0013956179061917,3.215503655865696e-06,1.4125587003405409
140.0,3,0,0,16.0,24.0,0.0003515202615055,8.099026825087033e-07,1.910156037787177
143.0,3,0,0,13.0,27.0,-0.0007617531006464,-1.755079143889532e-06,1.092010671031877
146.0,3,0,0,10.0,30.0,-0.0025193224589635,-5.804518945452093e-06,1.2075225266846523
147.0,3,0,0,9.0,31.0,-0.0030985626073469,-7.139088247327485e-06,1.2211599450508537
148.0,3,1,0,8.0,32.0,-0.001907088840306,-4.3939326880650246e-06,1.4774642048137248
149.0,3,1,0,7.0,33.0,0.0002825828491831,6.51070884517866e-07,1.344147483500472
150.0,3,1,0,6.0,34.0,0.0007317504868457,1.685953121692708e-06,1.3729633191500403
151.0,3,1,0,5.0,35.0,0.0015428954829821,3.5548311927908026e-06,1.563289421986431
152.0,3,1,0,4.0,36.0,0.0025058447891082,5.773466394105487e-06,1.7097487058740553
153.0,3,1,0,3.0,37.0,0.006414430590017,1.4778848079399394e-05,2.0590820646892443
154.0,3,1,0,2.0,38.0,0.0035923752659027,8.276832612639884e-06,1.7125739371614332
155.0,3,1,0,1.0,39.0,0.0031774687687485,7.320888043196729e-06,2.30791734202212
158.0,3,0,1,,2.0,-1.261057282994533e-05,-2.9054759800194044e-08,2.07552163420161
