timing_target,feature,n,spearman_rho,abs_rho,p_value
cycles_since_previous_drop,diffusion_proxy_iqr_um2_per_s,66,0.6440851532365043,0.6440851532365043,5.395338915243071e-09
cycles_since_previous_drop,radius2_slope_iqr_px2_per_s,66,0.6440851532365043,0.6440851532365043,5.395338915243071e-09
cycles_since_previous_drop,velocity_particle_mse_fraction_of_full_mean,66,0.5176659447170306,0.5176659447170306,8.539292711310872e-06
cycles_since_previous_drop,diffusion_proxy_abs_median_um2_per_s,66,0.4924323191833522,0.4924323191833522,2.670764379590297e-05
cycles_since_previous_drop,phase_slope_iqr_per_s,66,0.4793133447143502,0.4793133447143502,4.667275148090996e-05
cycles_since_previous_drop,velocity_particle_to_nonparticle_mse_ratio_mean,66,0.4587874851384476,0.4587874851384476,0.00010692984010383572
cycles_since_previous_drop,velocity_particle_mse_mean,66,0.45150614045708753,0.45150614045708753,0.0001417171662931832
cycles_since_previous_drop,q70_radius2_slope_bootstrap_p95_px2_per_s,66,0.44014473194565523,0.44014473194565523,0.0002172101374943586
cycles_since_previous_drop,persistence_particle_mse_fraction_of_full_mean,66,0.4209370468379298,0.4209370468379298,0.00043251484542839157
cycles_since_previous_drop,persistence_particle_mse_mean,66,0.41905394045481953,0.41905394045481953,0.0004617250168612826
cycles_since_previous_drop,diffusion_proxy_median_um2_per_s,66,0.3997834851343237,0.3997834851343237,0.0008821220244543598
cycles_since_previous_drop,radius2_slope_median_px2_per_s,66,0.3997834851343237,0.3997834851343237,0.0008821220244543598
cycles_since_previous_drop,phase_slope_abs_median_per_s,66,0.3969588255596583,0.3969588255596583,0.0009668240633667571
cycles_since_previous_drop,default_q70_diffusion_proxy_um2_per_s,66,0.39375754470837065,0.39375754470837065,0.00107165648800382
cycles_since_previous_drop,q70_radius2_slope_bootstrap_p50_px2_per_s,66,0.3876688340696473,0.3876688340696473,0.0012997853163298626
cycles_since_previous_drop,persistence_particle_to_nonparticle_mse_ratio_mean,66,0.3732944553452384,0.3732944553452384,0.002020940286836364
cycles_since_previous_drop,radius2_slope_negative_fraction,66,-0.2988226957361134,0.2988226957361134,0.014800171151412397
cycles_since_previous_drop,radius2_slope_positive_fraction,66,0.2988226957361134,0.2988226957361134,0.014800171151412397
cycles_since_previous_drop,roi_mean_delta_last_minus_first,66,-0.28328197023256446,0.28328197023256446,0.021174719669940858
cycles_since_previous_drop,object_mean_residual,66,-0.2797668383174252,0.2797668383174252,0.022903118428995176
cycles_since_previous_drop,q70_radius2_slope_bootstrap_p05_px2_per_s,66,0.2667734042739639,0.2667734042739639,0.03036663953887927
cycles_since_previous_drop,roi_norm_mean_delta_last_minus_first,66,-0.24838173193225294,0.24838173193225294,0.044331632217195424
cycles_since_previous_drop,q70_phase_slope_bootstrap_p95,66,0.2255333744838476,0.2255333744838476,0.06864173796405788
cycles_since_previous_drop,persistence_accepted_area_fraction_median,66,-0.20501179450160575,0.20501179450160575,0.09867896270446609
cycles_since_previous_drop,velocity_accepted_area_fraction_median,66,-0.20501179450160575,0.20501179450160575,0.09867896270446609
cycles_since_previous_drop,q70_phase_slope_bootstrap_p50,66,0.18354010214048716,0.18354010214048716,0.1401693200049916
cycles_since_previous_drop,phase_slope_median_per_s,66,0.18058990214028098,0.18058990214028098,0.14676653217368474
cycles_since_previous_drop,threshold_robust_phase_score,66,-0.09873192537041425,0.09873192537041425,0.4302837017999415
cycles_since_previous_drop,threshold_robust_diffusion_score,66,-0.0643241979415137,0.0643241979415137,0.6078676863669331
cycles_since_previous_drop,object_mean_abs_z,66,-0.062142510642641,0.062142510642641,0.6201189937043248
cycles_since_previous_drop,phase_slope_negative_fraction,66,-0.06079884244973937,0.06079884244973937,0.6277162257484521
cycles_since_previous_drop,phase_slope_positive_fraction,66,0.06079884244973937,0.06079884244973937,0.6277162257484521
cycles_since_previous_drop,q70_phase_slope_bootstrap_p05,66,-0.0594433914935162,0.0594433914935162,0.6354193082465888
cycles_to_next_drop,persistence_particle_mse_fraction_of_full_mean,69,-0.49320534829022095,0.49320534829022095,1.664695820884183e-05
cycles_to_next_drop,velocity_particle_mse_fraction_of_full_mean,69,-0.4418733006745461,0.4418733006745461,0.00014408970183444938
cycles_to_next_drop,persistence_particle_to_nonparticle_mse_ratio_mean,69,-0.4144485771625315,0.4144485771625315,0.0003995013564841103
cycles_to_next_drop,q70_radius2_slope_bootstrap_p95_px2_per_s,69,-0.39768597060709154,0.39768597060709154,0.0007149064556960294
cycles_to_next_drop,velocity_particle_to_nonparticle_mse_ratio_mean,69,-0.3905412530588713,0.3905412530588713,0.0009078802557761719
cycles_to_next_drop,diffusion_proxy_median_um2_per_s,69,-0.3761968585966752,0.3761968585966752,0.0014438475408130051
cycles_to_next_drop,radius2_slope_median_px2_per_s,69,-0.3761968585966752,0.3761968585966752,0.0014438475408130051
cycles_to_next_drop,q70_radius2_slope_bootstrap_p50_px2_per_s,69,-0.3749877525500533,0.3749877525500533,0.0015000136846544999
cycles_to_next_drop,default_q70_diffusion_proxy_um2_per_s,69,-0.3721298655307651,0.3721298655307651,0.0016406672806675308
cycles_to_next_drop,persistence_particle_mse_mean,69,-0.3570709993137471,0.3570709993137471,0.00259678290727135
cycles_to_next_drop,diffusion_proxy_iqr_um2_per_s,69,-0.34448530455572823,0.34448530455572823,0.003749319567186708
cycles_to_next_drop,radius2_slope_iqr_px2_per_s,69,-0.34448530455572823,0.34448530455572823,0.003749319567186708
cycles_to_next_drop,velocity_particle_mse_mean,69,-0.3395389616377297,0.3395389616377297,0.004314316677089927
cycles_to_next_drop,q70_radius2_slope_bootstrap_p05_px2_per_s,69,-0.3134882222696034,0.3134882222696034,0.008717686878085476
cycles_to_next_drop,radius2_slope_negative_fraction,69,0.24726148312024993,0.24726148312024993,0.04052967790366907
cycles_to_next_drop,radius2_slope_positive_fraction,69,-0.24726148312024993,0.24726148312024993,0.04052967790366907
cycles_to_next_drop,diffusion_proxy_abs_median_um2_per_s,69,-0.21335225786300846,0.21335225786300846,0.07837590400193903
cycles_to_next_drop,q70_phase_slope_bootstrap_p95,69,-0.20356949075852226,0.20356949075852226,0.09340558059041103
cycles_to_next_drop,q70_phase_slope_bootstrap_p50,69,-0.19301729253345848,0.19301729253345848,0.11205736739331838
cycles_to_next_drop,phase_slope_median_per_s,69,-0.18543290005919386,0.18543290005919386,0.1271482132865283
cycles_to_next_drop,phase_slope_negative_fraction,69,0.18216193610477147,0.18216193610477147,0.13411443679368182
cycles_to_next_drop,phase_slope_positive_fraction,69,-0.18216193610477147,0.18216193610477147,0.13411443679368182
cycles_to_next_drop,roi_mean_delta_last_minus_first,69,0.16812069984619862,0.16812069984619862,0.16732401288200915
cycles_to_next_drop,persistence_accepted_area_fraction_median,69,0.12910190863780435,0.12910190863780435,0.2904013500103829
cycles_to_next_drop,velocity_accepted_area_fraction_median,69,0.12910190863780435,0.12910190863780435,0.2904013500103829
cycles_to_next_drop,object_mean_residual,69,0.12854995650220938,0.12854995650220938,0.2924860605721628
cycles_to_next_drop,threshold_robust_diffusion_score,69,0.1172286909882534,0.1172286909882534,0.33740873862304965
cycles_to_next_drop,roi_norm_mean_delta_last_minus_first,69,0.11552458681814627,0.11552458681814627,0.34452718779993585
cycles_to_next_drop,threshold_robust_phase_score,69,0.10280030896494466,0.10280030896494466,0.4005981786057688
cycles_to_next_drop,q70_phase_slope_bootstrap_p05,69,-0.10145498918472788,0.10145498918472788,0.40682394669069916
cycles_to_next_drop,phase_slope_abs_median_per_s,69,0.0489138355224311,0.0489138355224311,0.6898010335193575
cycles_to_next_drop,phase_slope_iqr_per_s,69,-0.044681964359254485,0.044681964359254485,0.7154414955102704
cycles_to_next_drop,object_mean_abs_z,69,0.03484423788901272,0.03484423788901272,0.7762290770216835
