source_stem,n_roi,n_cycles,future_any_drop_within_8cycles,future_any_drop_within_16cycles,persistence_mse_mean,velocity_mse_mean,temporal_energy_mean,roi_norm_mean_delta_last_minus_first,stage_drift_xy_recomputed
10_c2_x10_030723,4,2,0.0,0.0,0.00011331317182339262,0.00032746848592069,0.010581606533378363,-0.0005333125591278076,0.21514689136495624
11_c2_x10_050723,6,3,0.0,4.0,5.424066572838152e-05,0.00015520442684646696,0.007202117781465252,0.0002725546558698018,0.24625791841911546
12_c2_x10_070723,8,4,8.0,8.0,8.179217411452555e-05,0.0002210486818512436,0.00834030838450417,-0.0002170223742723465,0.21502662064469313
14_c2_x10_HighCOV_110723,8,4,0.0,0.0,9.80361064648605e-05,0.00022225760949368123,0.008679534017574042,8.415617048740387e-05,0.24915816397084234
15_c2_x5_HighCOV_120723,6,3,0.0,0.0,0.00019234825352517268,0.0003882314534469818,0.009469800085450212,0.0014438529809315999,0.27028547134071484
16_c2_x10_HighHighCOV_130723,8,4,0.0,6.0,0.0002279005420859903,0.0004841401751036756,0.010960407147649676,-0.0011447183787822723,0.23682925476397432
17_c2_x10_HighHighCOV_150723,6,3,6.0,6.0,0.001015411796591555,0.0020144955099870763,0.019438712236781914,-0.00018516058723131815,0.25507288865111205
2_c2_x14_200623,8,4,0.0,0.0,6.974213874855195e-05,0.0001903581196529558,0.007709370867814869,0.0003686603158712387,0.2164869367910982
4_c2_x10_240623,8,4,0.0,0.0,6.771452581233461e-05,0.00019583720040827757,0.007960528251715004,-0.00019870232790708542,0.2516181122202214
5_c2_x10_260623,6,3,0.0,0.0,8.656201559157732e-05,0.00024780356519234675,0.009023086866363883,0.0004912105699380239,0.25642394943436475
6_c2_x10_270623_2,8,4,4.0,8.0,7.84062599450408e-05,0.00022621996049565496,0.00871901132632047,-0.00015349313616752625,0.24719271971624424
7_c2_x10_290623,4,2,2.0,2.0,7.019092845439445e-05,0.00020348154612293,0.00815691554453224,-4.536285996437073e-05,0.23589808454944333
8_c2_x10_300623,8,4,0.0,6.0,0.0001012071043078322,0.0002874740430343081,0.009771759156137705,-9.291060268878937e-05,0.22308855187298482
9_c2_x10_010723,8,4,8.0,8.0,7.05368593116873e-05,0.00019060340855503455,0.007970298058353364,0.0003997441381216049,0.27001985840106263
