heldout_event_reference_cycle,method,alpha,target_coverage,group,n,global_quantile,local_quantile,coverage_global,coverage_local,mean_excess_over_global,mean_excess_over_local,median_error
60.0,low_rank_dmd,0.1,0.9,all,448,0.0303896404802799,0.0303896404802799,0.7723214285714286,0.7723214285714286,0.0009268655059193877,0.0009268655059193877,0.025921075604856
60.0,low_rank_dmd,0.1,0.9,near_transition,116,0.0303896404802799,0.0303108990192413,0.7672413793103449,0.7672413793103449,0.0012462783829662247,0.0012646061368286581,0.0255869925022125
60.0,low_rank_dmd,0.1,0.9,far_from_transition,332,0.0303896404802799,0.0304117407649755,0.7740963855421686,0.7771084337349398,0.000815263416348806,0.0008103060311671496,0.02610305510461325
60.0,low_rank_dmd,0.1,0.9,event_roi,192,0.0303896404802799,0.0303896404802799,0.6979166666666666,0.6979166666666666,0.0011208665479595402,0.0011208665479595402,0.0271764621138572
60.0,low_rank_dmd,0.1,0.9,control_roi,256,0.0303896404802799,0.0303896404802799,0.828125,0.828125,0.0007813647243892732,0.0007813647243892732,0.022970366291701752
60.0,low_rank_dmd,0.05,0.95,all,448,0.0332579351961612,0.0332579351961612,0.8325892857142857,0.8325892857142857,0.00036851694208703294,0.00036851694208703294,0.025921075604856
60.0,low_rank_dmd,0.05,0.95,near_transition,116,0.0332579351961612,0.0342992581427097,0.7931034482758621,0.8706896551724138,0.0006422994272976137,0.0004920344157465555,0.0255869925022125
60.0,low_rank_dmd,0.05,0.95,far_from_transition,332,0.0332579351961612,0.0332450419664382,0.8463855421686747,0.8463855421686747,0.00027285800147128784,0.00027483858796488084,0.02610305510461325
60.0,low_rank_dmd,0.05,0.95,event_roi,192,0.0332579351961612,0.0332579351961612,0.765625,0.765625,0.0003683888547432988,0.0003683888547432988,0.0271764621138572
60.0,low_rank_dmd,0.05,0.95,control_roi,256,0.0332579351961612,0.0332579351961612,0.8828125,0.8828125,0.00036861300759483356,0.00036861300759483356,0.022970366291701752
60.0,persistence,0.1,0.9,all,448,0.0093400804325938,0.0093400804325938,0.8147321428571429,0.8147321428571429,0.0006243583359589218,0.0006243583359589218,0.0073007785249501
60.0,persistence,0.1,0.9,near_transition,116,0.0093400804325938,0.0094084460288286,0.8448275862068966,0.8448275862068966,0.00034397592414812245,0.00033336746955996377,0.00695175048895175
60.0,persistence,0.1,0.9,far_from_transition,332,0.0093400804325938,0.0093090021982789,0.8042168674698795,0.8012048192771084,0.0007223232750253458,0.0007284219230872953,0.0074672433547675
60.0,persistence,0.1,0.9,event_roi,192,0.0093400804325938,0.0093400804325938,0.78125,0.78125,0.0006577913106108656,0.0006577913106108656,0.007457765284925651
60.0,persistence,0.1,0.9,control_roi,256,0.0093400804325938,0.0093400804325938,0.83984375,0.83984375,0.000599283604969964,0.000599283604969964,0.0071017097216099
60.0,persistence,0.05,0.95,all,448,0.0118299070745706,0.0118299070745706,0.9017857142857143,0.9017857142857143,0.00021240513472418768,0.00021240513472418768,0.0073007785249501
60.0,persistence,0.05,0.95,near_transition,116,0.0118299070745706,0.0118614714592695,0.9655172413793104,0.9741379310344828,2.7921516448259472e-05,2.701594173137415e-05,0.00695175048895175
60.0,persistence,0.05,0.95,far_from_transition,332,0.0118299070745706,0.0118299070745706,0.8795180722891566,0.8795180722891566,0.0002768632664109578,0.0002768632664109578,0.0074672433547675
60.0,persistence,0.05,0.95,event_roi,192,0.0118299070745706,0.0118299070745706,0.8802083333333334,0.8802083333333334,0.000187676996574738,0.000187676996574738,0.007457765284925651
60.0,persistence,0.05,0.95,control_roi,256,0.0118299070745706,0.0118299070745706,0.91796875,0.91796875,0.00023095123833627497,0.00023095123833627497,0.0071017097216099
60.0,velocity,0.1,0.9,all,448,0.0157012417912483,0.0157012417912483,0.8035714285714286,0.8035714285714286,0.0009873083784311416,0.0009873083784311416,0.011910750530660149
