method,x_calibration_feature,y_physics_feature,n,spearman_rho,p_value
velocity,near_transition_fraction,front_quality_score_first,52,0.15308083801619368,0.2786093428723709
low_rank_dmd,mae_max,high_fraction_slope_per_s_first,52,0.14010074276444975,0.32187185133450097
persistence,mae_max,front_quality_score_first,52,0.1331853496115427,0.34656708297666994
velocity,mae_mean,q70_max_abs_rate_per_s_first,52,-0.1322462221463331,0.35000864509775087
persistence,mae_mean,cumulative_abs_first_last_first,52,0.1269529582515154,0.3697974101257406
velocity,q90_undercoverage_rate,roi_norm_total_variation_first,52,0.1236430098757726,0.38250714293613414
velocity,mae_mean,roi_norm_total_variation_first,52,0.11363442329036114,0.42248759977049183
velocity,mae_max,first_last_corr_first,52,-0.10842653461965338,0.4441952858460718
low_rank_dmd,q90_undercoverage_rate,high_fraction_slope_per_s_first,52,-0.09392135984937913,0.5077924599796202
velocity,q90_undercoverage_rate,q70_max_abs_rate_per_s_first,52,0.09253088442657575,0.5141228732885136
velocity,mae_mean,cumulative_abs_first_last_first,52,0.08033808588747544,0.5712851926449529
persistence,mae_mean,first_last_corr_first,52,-0.07845983095705626,0.5803443759541498
velocity,mae_mean,front_quality_score_first,52,0.07786220438828652,0.5832404661415593
velocity,q90_undercoverage_rate,high_fraction_slope_per_s_first,52,0.07521280812475743,0.596157369790926
persistence,mae_mean,front_quality_score_first,52,0.07461794587210792,0.5990748480168231
persistence,mae_mean,q70_max_abs_rate_per_s_first,52,-0.05506701955092631,0.6982118558203873
velocity,mae_max,front_quality_score_first,52,0.054042516861606764,0.7035661030934507
velocity,mae_mean,q70_transformed_fraction_delta_first,52,-0.053018014172287194,0.7089346404867313
low_rank_dmd,mae_mean,high_fraction_slope_per_s_first,52,0.05182276103474772,0.7152156810926311
persistence,near_transition_fraction,high_fraction_slope_per_s_first,52,0.04718245007348436,0.739774701187325
low_rank_dmd,near_transition_fraction,high_fraction_slope_per_s_first,52,0.04718245007348436,0.739774701187325
velocity,near_transition_fraction,high_fraction_slope_per_s_first,52,0.04718245007348436,0.739774701187325
velocity,mae_mean,first_last_corr_first,52,-0.0430291129514215,0.761977598631224
persistence,near_transition_fraction,roi_norm_total_variation_first,52,0.02922120820976181,0.8370731854833794
low_rank_dmd,near_transition_fraction,roi_norm_total_variation_first,52,0.02922120820976181,0.8370731854833794
velocity,near_transition_fraction,roi_norm_total_variation_first,52,0.02922120820976181,0.8370731854833794
persistence,mae_mean,q70_transformed_fraction_delta_first,52,0.011781780927174933,0.933933302733478
