method,alpha,target_coverage,group,n,coverage_global_weighted,coverage_local_weighted,coverage_global_gap,coverage_local_gap,mean_excess_over_global,mean_excess_over_local,median_error_weighted
low_rank_dmd,0.05,0.95,all,1664,0.9206730769230769,0.9206730769230769,-0.029326923076923084,-0.029326923076923084,0.0003238511092674296,0.0003238511092674296,0.02184444927395534
low_rank_dmd,0.05,0.95,control_roi,896,0.9631696428571429,0.9631696428571429,0.01316964285714295,0.01316964285714295,0.00011259108682030087,0.00011259108682030087,0.02067109370338061
low_rank_dmd,0.05,0.95,event_roi,768,0.87109375,0.87109375,-0.07890624999999996,-0.07890624999999996,0.0005703211354557465,0.0005703211354557465,0.022666678065434032
low_rank_dmd,0.05,0.95,far_from_transition,1224,0.9248366013071896,0.9248366013071896,-0.025163398692810368,-0.025163398692810368,0.00033693536629084896,0.0003408540734181244,0.021886311313198237
low_rank_dmd,0.05,0.95,near_transition,440,0.9090909090909091,0.9409090909090909,-0.040909090909090895,-0.009090909090909038,0.0002874530851840994,0.00016041320155967353,0.022110825103961555
persistence,0.05,0.95,all,1664,0.9549278846153846,0.9549278846153846,0.004927884615384626,0.004927884615384626,0.000148995957995514,0.000148995957995514,0.00674199391729551
persistence,0.05,0.95,control_roi,896,0.9631696428571429,0.9631696428571429,0.01316964285714295,0.01316964285714295,0.00018695549910522198,0.00018695549910522198,0.006616033281066529
persistence,0.05,0.95,event_roi,768,0.9453125,0.9453125,-0.004687499999999956,-0.004687499999999956,0.00010470982670085468,0.00010470982670085468,0.006824651325587137
persistence,0.05,0.95,far_from_transition,1224,0.9477124183006536,0.9477124183006536,-0.002287581699346397,-0.002287581699346397,0.0001702934451815152,0.00016838661090659527,0.0067742125403586
persistence,0.05,0.95,near_transition,440,0.975,0.9522727272727273,0.025000000000000022,0.002272727272727315,8.975022091445613e-05,0.00010232626756822411,0.006654676947403991
velocity,0.05,0.95,all,1664,0.9423076923076923,0.9423076923076923,-0.007692307692307665,-0.007692307692307665,0.00017294385179411528,0.00017294385179411528,0.011077793977724789
velocity,0.05,0.95,control_roi,896,0.9642857142857143,0.9642857142857143,0.014285714285714346,0.014285714285714346,0.000207403263110401,0.000207403263110401,0.010946327221712864
velocity,0.05,0.95,event_roi,768,0.9166666666666666,0.9166666666666666,-0.033333333333333326,-0.033333333333333326,0.00013274120525844855,0.00013274120525844855,0.0111912896391004
velocity,0.05,0.95,far_from_transition,1224,0.9387254901960784,0.9379084967320261,-0.011274509803921529,-0.012091503267973813,0.0002060537043885847,0.00020376780508633792,0.011119204807685629
velocity,0.05,0.95,near_transition,440,0.9522727272727273,0.9590909090909091,0.002272727272727315,0.00909090909090915,8.083826184950023e-05,7.908904332328837e-05,0.011071752557869617
low_rank_dmd,0.1,0.9,all,1664,0.890625,0.890625,-0.009375000000000022,-0.009375000000000022,0.0005850882388096163,0.0005850882388096163,0.02184444927395534
low_rank_dmd,0.1,0.9,control_roi,896,0.9419642857142857,0.9419642857142857,0.041964285714285676,0.041964285714285676,0.0002483047137502573,0.0002483047137502573,0.02067109370338061
low_rank_dmd,0.1,0.9,event_roi,768,0.8307291666666666,0.8307291666666666,-0.06927083333333339,-0.06927083333333339,0.0009780023513788684,0.0009780023513788684,0.022666678065434032
low_rank_dmd,0.1,0.9,far_from_transition,1224,0.8905228758169934,0.8913398692810458,-0.009477124183006613,-0.008660130718954218,0.0005904761861303668,0.0005933933136558627,0.021886311313198237
low_rank_dmd,0.1,0.9,near_transition,440,0.8909090909090909,0.8909090909090909,-0.00909090909090915,-0.00909090909090915,0.0005700999489900739,0.0005659311459484403,0.022110825103961555
persistence,0.1,0.9,all,1664,0.8972355769230769,0.8972355769230769,-0.0027644230769231504,-0.0027644230769231504,0.00032317597651853957,0.00032317597651853957,0.00674199391729551
persistence,0.1,0.9,control_roi,896,0.9363839285714286,0.9363839285714286,0.03638392857142858,0.03638392857142858,0.0003104161005467158,0.0003104161005467158,0.006616033281066529
persistence,0.1,0.9,event_roi,768,0.8515625,0.8515625,-0.04843750000000002,-0.04843750000000002,0.0003380624984856674,0.0003380624984856674,0.006824651325587137
persistence,0.1,0.9,far_from_transition,1224,0.8970588235294118,0.8929738562091504,-0.002941176470588225,-0.007026143790849648,0.00035270700289021493,0.00035943442672563774,0.0067742125403586
persistence,0.1,0.9,near_transition,440,0.8977272727272727,0.9,-0.002272727272727315,0.0,0.00024102603043006088,0.00023782842326909383,0.006654676947403991
velocity,0.1,0.9,all,1664,0.8984375,0.8984375,-0.0015625000000000222,-0.0015625000000000222,0.00044325088674667984,0.00044325088674667984,0.011077793977724789
velocity,0.1,0.9,control_roi,896,0.9375,0.9375,0.03749999999999998,0.03749999999999998,0.00041002872499770185,0.00041002872499770185,0.010946327221712864
velocity,0.1,0.9,event_roi,768,0.8528645833333334,0.8528645833333334,-0.04713541666666665,-0.04713541666666665,0.0004820100754538208,0.0004820100754538208,0.0111912896391004
velocity,0.1,0.9,far_from_transition,1224,0.8986928104575164,0.8978758169934641,-0.0013071895424836555,-0.00212418300653594,0.0004903458719281757,0.000488746005834802,0.011119204807685629
velocity,0.1,0.9,near_transition,440,0.8977272727272727,0.9181818181818182,-0.002272727272727315,0.018181818181818188,0.0003122412006963367,0.0002451009328731066,0.011071752557869617
