rollout_front_review_score,roi_id,cycleNo,source_stem,event_relative_bin,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mode,one_step_hybrid_mse,latent_linear_gain_vs_persistence_history,fallback_frame_fraction,transport_mechanism_score,front_kinetic_score,q65_phase_fraction_delta,has_visual_assets
2.573771539135514,source_balanced_cycle141_rank22_obj2_16_c2_x10_HighHighCOV_130723,141.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,0.0,1.0,1,0.0008399977357507,0.0707300117690677,0.0104166666666666,0.6869468674150486,0.3227093446601942,0.000506329113924,False
2.5217946845794392,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,40.0,5_c2_x10_260623,far_pre_event_17_32,0.0,0.0,0,8.63395935098848e-05,-0.0822442679964306,0.09375,0.5332560300364078,0.5163834951456311,-0.0122242314647377,False
2.494277526285047,source_balanced_cycle124_rank15_obj1_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,0.0,0.0,1,0.0003768443783101,-18.98380233695478,0.0,0.6241305749393204,0.6320691747572815,-0.0062206148282097,False
2.4939033294392523,source_balanced_cycle72_rank58_obj2_8_c2_x10_300623,72.0,8_c2_x10_300623,post_event_1_16,0.0,1.0,0,7.010487419875929e-05,0.5805806849196414,0.2604166666666667,0.4065625,0.5140625000000001,-0.0039783001808318,False
2.48661105432243,source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,post_event_1_16,0.0,1.0,0,5.372110331531774e-05,0.3922634759096147,0.3645833333333333,0.4738652912621359,0.4601486650485437,-0.0161301989150089,False
2.459878796728972,source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,28.0,4_c2_x10_240623,far_pre_event_17_32,0.0,0.0,1,4.93536184659658e-05,0.6465155782997571,0.4479166666666667,0.579453125,0.525,-0.0062929475587704,False
2.4278895297897196,source_balanced_cycle10_rank34_obj2_2_c2_x14_200623,10.0,2_c2_x14_200623,no_near_event_control,0.0,0.0,0,7.157930030754313e-05,0.0525738879136235,0.1145833333333333,0.5478856947815535,0.1985740291262136,0.004122965641953,False
2.4169191734813085,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,1.0,1.0,0,5.371555298303835e-05,0.3423711272673529,0.3958333333333333,0.6032133014765372,0.5722542475728155,-7.23065798987621e-05,True
2.40095648364486,source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,0.0,0.0,1,6.702644523005269e-07,0.0630645631790073,0.4791666666666667,0.5552343750000001,0.5515625000000001,0.0033273056057865,False
2.400682681074766,source_balanced_cycle10_rank34_obj1_2_c2_x14_200623,10.0,2_c2_x14_200623,no_near_event_control,0.0,0.0,0,4.612641326910514e-05,0.1391930044921172,0.21875,0.43837890625,0.4234375,-0.0010849909584086,False
2.3833053446261685,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,82.0,9_c2_x10_010723,near_pre_event_1_8,1.0,1.0,0,3.2415079264499424e-05,0.1840116550475716,0.2708333333333333,0.7006661483616504,0.720555218446602,-7.233273056050926e-05,False
2.3598769713785046,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,1.0,1.0,1,1.1977464221308572e-05,0.1336958985370487,0.3958333333333333,0.8000324256674758,0.7628640776699029,-0.0011573236889693,True
2.3232878212616823,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1.0,1.0,1,0.0062052285805888,0.751272709272965,0.375,0.6226920256877022,0.6516535194174757,0.0181555153707052,True
2.3190256279205608,source_balanced_cycle133_rank19_obj1_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,0.0,0.0,0,0.0005214270499579,-0.1277350449803858,0.0,0.3931942126820388,0.3866049757281553,-0.0161301989150091,False
2.296738098714953,source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,104.0,11_c2_x10_050723,mid_pre_event_9_16,0.0,1.0,0,3.603382131252933e-05,0.4071395880243247,0.3333333333333333,0.4294298012742719,0.4577973300970874,-0.0067269439421338,False
2.2705169392523366,source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,post_event_1_16,0.0,1.0,1,1.4807450783468754e-06,0.060888090719107,0.0208333333333333,0.5340039062499999,0.5546875,0.0099095840867993,False
2.2571736273364484,source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,54.0,6_c2_x10_270623_2,near_pre_event_1_8,1.0,1.0,0,3.278788561151313e-05,0.4333817667881314,0.46875,0.5922244766383495,0.537257281553398,0.0004339963833634,False
2.2378249123831777,source_balanced_cycle141_rank22_obj1_16_c2_x10_HighHighCOV_130723,141.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,0.0,1.0,1,0.0019369512662979,0.1608657561812099,0.4479166666666667,0.6576594736043688,0.1547785194174757,0.0002893309222423,False
2.223660192757009,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,42.0,5_c2_x10_260623,far_pre_event_17_32,0.0,0.0,0,7.979687344745251e-05,0.3107565050442779,0.2291666666666666,0.4179289290048544,0.4974969660194175,-0.0169981916817359,False
2.2103351343457946,source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,mid_pre_event_9_16,0.0,1.0,1,2.3505854591209816e-05,0.1211493851290797,0.7395833333333334,0.4905363824838187,0.8739684466019417,-0.0122242314647377,True
2.198306074766355,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1.0,1.0,0,0.001651112874218,0.4990901745852357,0.4375,0.7853588314118123,0.9134405339805826,0.0237251356238698,True
