rollout_feature,physics_feature,transform,n,spearman_rho,spearman_p,abs_rho
persistence_rollout_hybrid_mse,observable_tail_score,raw,128,0.43658354173103286,2.579552152285639e-07,0.43658354173103286
persistence_rollout_hybrid_mse,observable_tail_score,source_residual,128,0.42140684634331277,7.285428386574524e-07,0.42140684634331277
fallback_frame_fraction,observable_tail_score,source_residual,128,0.4021271366647005,2.5373700572416112e-06,0.4021271366647005
persistence_rollout_history_mse,observable_tail_score,source_residual,128,0.3990242655626316,3.079544714671192e-06,0.3990242655626316
persistence_rollout_hybrid_mse,abs_radial_flow_mean,raw,128,0.3883747120377501,5.8988752149721995e-06,0.3883747120377501
persistence_rollout_history_mse,abs_radial_flow_mean,raw,128,0.3871842984510616,6.33458294453944e-06,0.3871842984510616
fallback_frame_fraction,observable_tail_score,raw,128,0.3714356648131271,1.5848364725819585e-05,0.3714356648131271
persistence_rollout_history_mse,observable_tail_score,raw,128,0.3694885952640371,1.769311824786654e-05,0.3694885952640371
one_step_hybrid_mse,abs_radial_flow_mean,raw,128,0.3565604100777938,3.6107914654965664e-05,0.3565604100777938
fallback_frame_fraction,q65_phase_fraction_slope,raw,128,0.35073736082684687,4.929847637640817e-05,0.35073736082684687
fallback_frame_fraction,masked_minus_bg_slope,raw,128,0.35052193077376176,4.986387334393755e-05,0.35052193077376176
one_step_hybrid_mse,observable_tail_score,source_residual,128,0.33248161633589146,0.0001258847847490951,0.33248161633589146
fallback_frame_fraction,kinetic_evidence_score,raw,128,0.330561618255247,0.0001384653936446578,0.330561618255247
latent_linear_gain_vs_persistence_history,masked_minus_bg_slope,raw,107,0.35953779321195684,0.0001427204430859141,0.35953779321195684
persistence_rollout_hybrid_mse,transport_mechanism_score,raw,128,0.32529105457463575,0.00017927010554915135,0.32529105457463575
fallback_frame_fraction,front_kinetic_concordance_score,raw,103,0.35511670549937907,0.0002325195796761068,0.35511670549937907
persistence_rollout_hybrid_mse,qc_review_score,raw,128,0.3181072117316581,0.00025301245078661734,0.3181072117316581
one_step_hybrid_mse,observable_tail_score,raw,128,0.31461100756374444,0.00029828063417493473,0.31461100756374444
persistence_rollout_history_mse,qc_review_score,raw,128,0.31294988739598195,0.0003223172896873451,0.31294988739598195
fallback_frame_fraction,masked_minus_bg_slope,source_residual,128,0.31164230745425897,0.00034248468983970776,0.31164230745425897
persistence_rollout_history_mse,q75_phase_fraction_delta,source_residual,128,-0.3106366912893265,0.00035878131387654386,0.3106366912893265
fallback_frame_fraction,front_kinetic_score,raw,128,0.3099693775810159,0.000369987834782546,0.3099693775810159
persistence_rollout_history_mse,transport_mechanism_score,raw,128,0.3089410915579488,0.0003878907378552526,0.3089410915579488
persistence_rollout_hybrid_mse,abs_radial_flow_mean,source_residual,128,0.30551080705924516,0.00045355909380473934,0.30551080705924516
persistence_rollout_hybrid_mse,abs_radial_flow_mean_source_residual,source_residual,128,0.30551080705924516,0.00045355909380473934,0.30551080705924516
fallback_frame_fraction,kinetic_evidence_score,source_residual,128,0.30498391964877886,0.0004645091700585322,0.30498391964877886
one_step_hybrid_mse,q65_phase_fraction_slope,raw,128,-0.3029552019987398,0.0005089860181922931,0.3029552019987398
persistence_rollout_hybrid_mse,transport_mechanism_score,source_residual,128,0.30076371353105547,0.0005614145382759849,0.30076371353105547
latent_linear_gain_vs_persistence_history,kinetic_evidence_score,raw,107,0.32534251617636195,0.0006276825603271449,0.32534251617636195
fallback_frame_fraction,transport_mechanism_score,raw,128,0.2941395772803202,0.0007515844871827774,0.2941395772803202
persistence_rollout_history_mse,abs_radial_flow_mean,source_residual,128,0.29241444500679104,0.0008099949646500247,0.29241444500679104
persistence_rollout_history_mse,abs_radial_flow_mean_source_residual,source_residual,128,0.29241444500679104,0.0008099949646500247,0.29241444500679104
persistence_rollout_history_mse,transport_mechanism_score,source_residual,128,0.28992217076490645,0.0009017494622962886,0.28992217076490645
fallback_frame_fraction,q65_phase_fraction_slope,source_residual,128,0.28531778325554086,0.0010966976571188632,0.28531778325554086
latent_linear_gain_vs_persistence_hybrid,masked_minus_bg_slope,raw,108,0.2921688781913149,0.0021534050107224747,0.2921688781913149
latent_linear_gain_vs_persistence_hybrid,observable_tail_score,source_residual,108,0.29208436045664793,0.002160104948161429,0.29208436045664793
fallback_frame_fraction,front_kinetic_score,source_residual,128,0.2680265767628394,0.0022222786065269925,0.2680265767628394
persistence_rollout_history_mse,q65_phase_fraction_slope,raw,128,-0.2648615424719365,0.0025167457787583316,0.2648615424719365
latent_linear_gain_vs_persistence_hybrid,q55_phase_fraction_delta,raw,108,0.28554414258700417,0.002739404774406817,0.28554414258700417
fallback_frame_fraction,transport_mechanism_score,source_residual,128,0.2625527925463016,0.002753316079997825,0.2625527925463016
one_step_hybrid_mse,qc_review_score,raw,128,0.26130713148072926,0.0028891251238138023,0.26130713148072926
persistence_rollout_hybrid_mse,transport_source_residual_score,source_residual,128,0.26077538799974065,0.0029489166153357877,0.26077538799974065
latent_linear_gain_vs_persistence_history,transport_mechanism_score,raw,107,0.28180121585127904,0.003276028339903583,0.28180121585127904
persistence_rollout_hybrid_mse,q75_phase_fraction_delta,source_residual,128,-0.25271549475333616,0.0040024370953551085,0.25271549475333616
one_step_hybrid_mse,abs_radial_flow_mean,source_residual,128,0.25040773718909404,0.004360748024564982,0.25040773718909404
one_step_hybrid_mse,abs_radial_flow_mean_source_residual,source_residual,128,0.25040773718909404,0.004360748024564982,0.25040773718909404
persistence_rollout_history_mse,transport_source_residual_score,source_residual,128,0.2486608681610301,0.0046507998789369395,0.2486608681610301
one_step_hybrid_mse,transport_mechanism_score,source_residual,128,0.24725170983241726,0.004897227291741131,0.24725170983241726
fallback_frame_fraction,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,source_residual,87,0.29751885441617226,0.005132371445722032,0.29751885441617226
fallback_frame_fraction,qc_review_score,source_residual,128,0.2442372186989109,0.005463948383679405,0.2442372186989109
latent_linear_gain_vs_persistence_hybrid,transport_mechanism_score,raw,108,0.2655188536576236,0.005481597819991982,0.2655188536576236
